"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","85.53","85.00","85.96","84.96","1.13M","0.53%"
"05-11-2024","85.08","83.69","85.74","82.00","2.63M","0.21%"
"04-11-2024","84.90","87.00","87.00","83.47","1.57M","-2.39%"
"01-11-2024","86.98","87.45","88.36","86.00","842.92K","0.16%"
"31-10-2024","86.84","83.70","87.35","83.33","3.34M","3.85%"
"30-10-2024","83.62","84.65","85.70","83.30","1.67M","-1.38%"
"29-10-2024","84.79","82.00","85.20","80.41","3.61M","4.24%"
"28-10-2024","81.34","81.10","82.89","79.22","3.87M","3.18%"
"25-10-2024","78.83","81.19","81.20","77.61","2.45M","-2.15%"
"24-10-2024","80.56","82.00","82.36","79.73","2.49M","-0.82%"
"23-10-2024","81.23","79.27","82.44","79.01","4.46M","-0.90%"
"22-10-2024","81.97","84.70","85.23","81.56","2.18M","-3.09%"
"21-10-2024","84.58","87.53","88.27","84.23","2.00M","-3.37%"
"18-10-2024","87.53","88.20","88.20","85.02","2.32M","-0.56%"
"17-10-2024","88.02","90.20","90.49","87.75","1.64M","-2.42%"
"16-10-2024","90.20","88.35","91.50","88.35","2.40M","1.28%"
"15-10-2024","89.06","90.19","90.76","87.71","1.57M","-0.90%"
"14-10-2024","89.87","89.92","91.10","89.01","1.74M","-0.06%"
"11-10-2024","89.92","88.25","90.55","88.25","1.87M","1.14%"
"10-10-2024","88.91","89.90","91.29","88.60","2.17M","-0.15%"
"09-10-2024","89.04","91.00","92.37","88.70","2.50M","-1.47%"
"08-10-2024","90.37","85.10","91.06","85.10","4.44M","4.46%"
"07-10-2024","86.51","90.95","91.91","85.90","6.17M","-4.30%"
"04-10-2024","90.40","89.50","92.00","87.87","4.06M","0.81%"
"03-10-2024","89.67","91.46","92.30","89.33","5.34M","-3.41%"
"01-10-2024","92.84","94.55","96.00","92.25","5.10M","-1.73%"
"30-09-2024","94.47","93.73","95.29","91.50","5.24M","0.79%"
"27-09-2024","93.73","92.60","96.50","92.36","21.11M","3.10%"
"26-09-2024","90.91","93.16","95.00","89.91","13.59M","-2.77%"
"25-09-2024","93.50","98.64","99.60","92.34","14.70M","-4.54%"
"24-09-2024","97.95","104.00","105.40","97.50","33.72M","-7.26%"
"23-09-2024","105.62","93.99","105.81","92.58","121.16M","19.78%"
"20-09-2024","88.18","87.55","89.00","87.55","2.56M","0.73%"
"19-09-2024","87.54","87.10","89.25","86.27","4.43M","0.63%"
"18-09-2024","86.99","87.39","87.60","86.01","1.89M","0.21%"
"17-09-2024","86.81","86.16","88.30","84.96","4.08M","0.52%"
"16-09-2024","86.36","84.60","86.90","83.82","2.39M","3.09%"
"13-09-2024","83.77","84.59","84.65","83.70","1.18M","-0.48%"
"12-09-2024","84.17","84.35","84.74","83.21","942.52K","0.24%"
"11-09-2024","83.97","86.60","86.70","83.50","1.40M","-2.54%"
"10-09-2024","86.16","82.60","86.85","82.60","3.10M","4.46%"
"09-09-2024","82.48","83.40","83.40","81.11","1.07M","-0.06%"
"06-09-2024","82.53","84.25","84.80","82.00","1.55M","-1.79%"
"05-09-2024","84.03","84.90","85.00","83.69","2.29M","-0.28%"
"04-09-2024","84.27","84.00","87.30","83.25","3.12M","0.57%"
"03-09-2024","83.79","83.89","84.84","83.50","813.02K","-0.12%"
"02-09-2024","83.89","84.36","85.00","83.70","830.92K","-0.58%"
"30-08-2024","84.38","84.55","85.57","83.75","4.03M","0.51%"
"29-08-2024","83.95","86.75","87.27","83.01","1.65M","-3.59%"
"28-08-2024","87.08","87.00","89.19","86.11","3.90M","0.05%"
"27-08-2024","87.04","85.00","87.73","84.78","2.87M","2.41%"
"26-08-2024","84.99","85.00","85.90","84.03","2.20M","0.51%"
"23-08-2024","84.56","86.79","86.79","83.71","1.31M","-2.36%"
"22-08-2024","86.60","86.20","87.80","86.20","1.69M","0.69%"
"21-08-2024","86.01","84.70","89.70","83.87","8.32M","1.64%"
"20-08-2024","84.62","85.00","85.15","83.50","786.33K","0.31%"
"19-08-2024","84.36","85.00","85.39","83.40","902.90K","0.30%"
"16-08-2024","84.11","86.21","86.21","84.00","1.00M","-0.59%"
"14-08-2024","84.61","81.46","85.15","80.85","3.13M","3.87%"
"13-08-2024","81.46","81.10","82.00","81.01","944.82K","-0.15%"
"12-08-2024","81.58","81.00","82.47","80.34","770.51K","0.38%"
"09-08-2024","81.27","81.80","82.00","81.03","623.13K","0.27%"
"08-08-2024","81.05","81.80","81.80","80.45","757.51K","0.27%"
"07-08-2024","80.83","82.40","82.40","80.00","1.50M","0.55%"
"06-08-2024","80.39","81.00","82.20","80.00","1.02M","0.34%"
"05-08-2024","80.12","81.00","81.48","79.99","2.00M","-3.00%"
"02-08-2024","82.60","82.20","83.99","81.36","1.40M","-1.87%"
"01-08-2024","84.17","84.75","85.39","83.85","1.25M","-0.66%"
"31-07-2024","84.73","82.60","85.95","82.53","3.11M","2.80%"
"30-07-2024","82.42","84.95","84.95","82.30","1.56M","-1.67%"
"29-07-2024","83.82","84.00","84.95","83.01","2.14M","1.83%"
"26-07-2024","82.31","81.00","82.74","81.00","1.42M","1.93%"
"25-07-2024","80.75","80.21","81.37","80.21","740.76K","-1.31%"
"24-07-2024","81.82","81.51","83.55","81.24","1.45M","-0.23%"
"23-07-2024","82.01","79.85","82.50","78.30","1.42M","2.45%"
"22-07-2024","80.05","80.00","80.70","78.71","1.51M","-1.32%"
"19-07-2024","81.12","80.50","82.04","79.82","1.56M","0.02%"
"18-07-2024","81.10","81.31","82.20","80.21","1.30M","-0.26%"
"16-07-2024","81.31","81.65","82.50","81.11","1.07M","-0.89%"
"15-07-2024","82.04","82.44","82.44","81.02","1.20M","0.17%"
"12-07-2024","81.90","81.80","82.50","81.36","1.27M","-0.04%"
"11-07-2024","81.93","82.75","83.14","81.32","2.54M","-0.53%"
"10-07-2024","82.37","83.19","83.74","81.21","1.79M","-0.97%"
"09-07-2024","83.18","84.20","84.20","82.82","985.04K","-0.92%"
"08-07-2024","83.95","83.05","84.27","81.90","1.74M","0.59%"
"05-07-2024","83.46","83.00","83.78","82.23","1.27M","0.25%"
"04-07-2024","83.25","83.85","83.95","82.21","1.48M","-0.45%"
"03-07-2024","83.63","83.90","83.90","82.71","694.77K","1.10%"
"02-07-2024","82.72","84.30","84.35","82.40","1.12M","-1.39%"
"01-07-2024","83.89","82.34","84.15","82.34","767.79K","1.88%"
"28-06-2024","82.34","83.57","83.93","82.13","1.01M","-0.31%"
"27-06-2024","82.60","84.95","85.36","82.35","1.87M","-2.09%"
"26-06-2024","84.36","85.00","85.77","84.10","1.38M","-0.67%"
"25-06-2024","84.93","85.63","86.54","84.62","1.74M","-0.81%"
"24-06-2024","85.62","85.00","87.50","84.00","1.60M","0.47%"
"21-06-2024","85.22","87.20","87.27","85.00","1.62M","-1.89%"
"20-06-2024","86.86","86.59","87.50","85.48","3.98M","0.67%"
"19-06-2024","86.28","86.70","87.75","85.30","1.91M","-0.22%"
"18-06-2024","86.47","86.75","87.30","85.75","3.44M","0.32%"
"14-06-2024","86.19","85.39","86.59","85.00","1.62M","1.29%"
"13-06-2024","85.09","85.40","86.75","84.79","2.05M","0.27%"
"12-06-2024","84.86","84.93","86.35","84.61","1.43M","-0.12%"
"11-06-2024","84.96","85.02","85.63","84.01","1.05M","-0.07%"
"10-06-2024","85.02","84.95","86.55","83.10","2.47M","0.50%"
"07-06-2024","84.60","84.20","84.85","83.10","1.20M","1.62%"
"06-06-2024","83.25","82.50","84.85","82.45","1.30M","1.46%"
"05-06-2024","82.05","82.10","82.35","79.00","1.36M","2.50%"
"04-06-2024","80.05","82.45","82.70","77.05","2.36M","-2.91%"
"03-06-2024","82.45","85.00","87.35","81.90","1.40M","1.54%"
"31-05-2024","81.20","81.25","81.70","80.50","1.19M","-0.06%"
"30-05-2024","81.25","81.90","82.45","81.05","686.53K","-1.10%"
"29-05-2024","82.15","81.80","82.40","81.50","566.87K","0.24%"
"28-05-2024","81.95","83.90","83.90","81.65","1.03M","-0.97%"
"27-05-2024","82.75","84.00","84.00","82.50","878.90K","-0.84%"
"24-05-2024","83.45","83.00","84.25","82.75","1.45M","1.46%"
"23-05-2024","82.25","83.00","83.25","82.00","925.71K","-0.66%"
"22-05-2024","82.80","82.20","83.70","81.90","1.49M","1.35%"
"21-05-2024","81.70","83.50","83.50","81.40","1.15M","-1.09%"
"18-05-2024","82.60","82.60","82.60","82.60","","0.85%"
"17-05-2024","81.90","82.30","82.65","81.70","796.04K","0.49%"
"16-05-2024","81.50","83.00","83.55","81.00","2.03M","-1.03%"
"15-05-2024","82.35","82.40","83.10","81.85","2.44M","0.92%"
"14-05-2024","81.60","82.40","82.40","80.75","1.04M","0.43%"
"13-05-2024","81.25","83.50","83.95","80.75","1.33M","-1.81%"
"10-05-2024","82.75","82.55","83.15","80.60","1.23M","1.47%"
"09-05-2024","81.55","83.50","84.00","81.00","1.25M","-3.15%"
"08-05-2024","84.20","81.45","84.75","80.40","3.94M","3.76%"
"07-05-2024","81.15","84.15","84.30","80.10","6.58M","-2.87%"
"06-05-2024","83.55","86.50","86.80","83.20","3.90M","-2.57%"
