"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","854.80","849.20","861.40","846.20","15.00M","0.66%"
"05-11-2024","849.20","829.85","851.40","826.25","26.25M","2.33%"
"04-11-2024","829.85","822.70","837.50","807.10","14.50M","1.05%"
"01-11-2024","821.20","822.40","825.60","818.90","1.64M","0.12%"
"31-10-2024","820.20","820.00","828.00","813.55","13.40M","-0.27%"
"30-10-2024","822.45","828.00","833.00","821.05","15.98M","-1.23%"
"29-10-2024","832.70","796.00","834.85","790.50","28.27M","5.13%"
"28-10-2024","792.05","783.80","803.95","783.55","13.76M","1.42%"
"25-10-2024","780.95","798.00","800.75","772.00","9.72M","-1.71%"
"24-10-2024","794.55","786.05","797.00","784.65","5.61M","1.09%"
"23-10-2024","786.00","790.00","792.60","779.80","13.87M","-0.56%"
"22-10-2024","790.40","814.00","816.85","787.50","16.65M","-2.89%"
"21-10-2024","813.95","824.70","826.45","809.00","10.36M","-0.79%"
"18-10-2024","820.40","811.10","822.60","802.90","11.70M","1.15%"
"17-10-2024","811.05","809.50","819.50","806.00","18.58M","0.70%"
"16-10-2024","805.45","802.80","809.00","802.05","6.49M","0.10%"
"15-10-2024","804.65","805.50","807.50","801.60","6.25M","-0.06%"
"14-10-2024","805.15","802.00","809.25","800.80","8.97M","0.68%"
"11-10-2024","799.75","797.20","802.70","793.00","14.32M","0.33%"
"10-10-2024","797.10","799.00","804.45","795.00","10.24M","-0.04%"
"09-10-2024","797.40","786.70","804.35","782.05","18.76M","2.04%"
"08-10-2024","781.45","772.25","784.40","772.25","8.56M","1.40%"
"07-10-2024","770.65","800.00","804.00","765.40","24.27M","-3.26%"
"04-10-2024","796.65","792.00","809.85","785.25","20.10M","0.32%"
"03-10-2024","794.10","789.90","804.00","784.30","15.94M","-0.36%"
"01-10-2024","796.95","788.00","800.35","788.00","13.28M","1.15%"
"30-09-2024","787.90","801.90","802.60","786.45","15.48M","-1.84%"
"27-09-2024","802.65","801.85","808.00","798.45","15.19M","0.10%"
"26-09-2024","801.85","796.00","803.00","791.60","23.20M","1.10%"
"25-09-2024","793.10","797.90","798.00","788.70","18.47M","-0.65%"
"24-09-2024","798.25","799.25","804.25","796.50","15.18M","-0.45%"
"23-09-2024","801.85","786.00","805.00","784.50","17.31M","2.58%"
"20-09-2024","781.70","794.85","794.85","779.50","21.37M","-1.04%"
"19-09-2024","789.95","795.05","801.35","784.05","10.65M","-0.35%"
"18-09-2024","792.75","783.80","794.75","782.00","18.32M","1.26%"
"17-09-2024","782.90","785.60","787.50","780.55","10.67M","-0.34%"
"16-09-2024","785.55","790.85","795.00","784.40","9.55M","-0.67%"
"13-09-2024","790.85","791.00","795.00","785.10","12.95M","0.39%"
"12-09-2024","787.75","775.00","789.90","772.75","17.58M","2.49%"
"11-09-2024","768.60","780.05","788.00","765.40","20.06M","-1.80%"
"10-09-2024","782.65","788.00","788.80","777.50","12.82M","-0.20%"
"09-09-2024","784.25","785.00","788.20","771.00","21.32M","0.22%"
"06-09-2024","782.50","811.50","812.90","777.00","40.22M","-4.43%"
"05-09-2024","818.75","818.35","822.15","814.40","8.40M","0.28%"
"04-09-2024","816.50","815.45","818.65","813.65","10.79M","-1.01%"
"03-09-2024","824.80","822.15","825.95","816.40","10.55M","0.32%"
"02-09-2024","822.15","817.30","825.40","813.05","11.81M","0.80%"
"30-08-2024","815.60","817.15","820.70","814.35","8.91M","0.14%"
"29-08-2024","814.50","809.55","816.00","806.95","18.25M","0.63%"
"28-08-2024","809.40","814.75","817.20","806.50","10.37M","-0.80%"
"27-08-2024","815.90","817.80","819.45","811.05","12.83M","0.10%"
"26-08-2024","815.05","818.00","823.45","813.80","8.52M","-0.04%"
"23-08-2024","815.35","821.50","822.00","814.50","5.54M","-0.60%"
"22-08-2024","820.30","819.00","823.90","817.10","7.83M","0.58%"
"21-08-2024","815.55","820.30","821.00","811.20","14.61M","-0.58%"
"20-08-2024","820.30","817.95","823.00","813.35","10.35M","0.81%"
"19-08-2024","813.70","815.00","825.40","812.60","10.15M","0.20%"
"16-08-2024","812.10","803.00","814.90","803.00","11.43M","1.13%"
"14-08-2024","803.00","800.95","809.15","800.40","11.79M","0.68%"
"13-08-2024","797.55","813.50","820.00","795.05","17.59M","-1.85%"
"12-08-2024","812.60","820.60","823.00","811.20","16.12M","-1.42%"
"09-08-2024","824.30","816.00","829.95","809.55","15.32M","2.01%"
"08-08-2024","808.05","812.00","817.80","802.80","14.77M","-0.07%"
"07-08-2024","808.65","809.00","810.70","800.55","17.69M","1.37%"
"06-08-2024","797.70","822.65","826.55","795.65","17.90M","-1.72%"
"05-08-2024","811.65","830.00","831.35","800.00","27.68M","-4.27%"
"02-08-2024","847.85","856.70","858.30","846.15","12.61M","-1.72%"
"01-08-2024","862.65","877.80","881.40","859.45","11.79M","-1.12%"
"31-07-2024","872.40","873.85","874.95","868.00","11.64M","-0.05%"
"30-07-2024","872.80","874.70","880.55","869.00","13.53M","0.14%"
"29-07-2024","871.60","866.05","889.10","863.20","26.58M","1.06%"
"26-07-2024","862.45","844.65","864.25","844.00","12.08M","1.64%"
"25-07-2024","848.50","847.50","850.75","841.20","9.52M","-0.41%"
"24-07-2024","852.00","864.20","868.00","847.20","19.62M","-1.38%"
"23-07-2024","863.90","883.00","884.50","849.10","18.28M","-1.47%"
"22-07-2024","876.80","881.45","895.00","868.00","14.61M","-1.41%"
"19-07-2024","889.35","895.00","899.00","883.30","14.56M","-0.47%"
"18-07-2024","893.55","880.65","894.90","877.50","19.44M","1.46%"
"16-07-2024","880.70","882.30","888.10","874.30","11.89M","-0.07%"
"15-07-2024","881.35","859.70","887.35","859.70","25.39M","2.52%"
"12-07-2024","859.70","856.70","863.00","855.30","11.45M","0.35%"
"11-07-2024","856.70","854.40","858.30","849.75","8.50M","0.91%"
"10-07-2024","849.00","860.10","860.25","843.50","17.34M","-1.43%"
"09-07-2024","861.30","859.90","869.95","856.00","13.59M","0.59%"
"08-07-2024","856.25","859.75","865.00","853.50","10.36M","-0.41%"
"05-07-2024","859.75","838.00","861.25","837.00","24.87M","2.44%"
"04-07-2024","839.30","843.00","844.90","834.30","13.37M","-0.08%"
"03-07-2024","839.95","829.00","843.85","825.00","23.60M","1.67%"
"02-07-2024","826.15","844.00","846.30","823.15","21.14M","-1.88%"
"01-07-2024","841.95","849.35","850.50","839.95","10.97M","-0.82%"
"28-06-2024","848.95","846.90","864.00","844.00","23.64M","0.59%"
"27-06-2024","844.00","843.90","847.40","838.25","20.38M","-0.16%"
"26-06-2024","845.35","839.85","848.80","836.00","16.28M","0.37%"
"25-06-2024","842.25","837.00","845.85","834.30","20.92M","1.15%"
"24-06-2024","832.70","831.50","836.00","821.05","12.72M","-0.43%"
"21-06-2024","836.30","844.90","848.05","828.60","18.99M","-0.88%"
"20-06-2024","843.75","853.00","853.10","842.35","13.99M","-1.04%"
"19-06-2024","852.60","846.80","860.60","841.00","32.93M","0.91%"
"18-06-2024","844.90","841.55","851.50","840.25","14.93M","0.68%"
"14-06-2024","839.20","845.00","849.90","835.10","12.90M","-0.56%"
"13-06-2024","843.90","845.00","845.90","836.10","12.52M","0.57%"
"12-06-2024","839.10","837.00","845.55","833.00","15.07M","0.42%"
"11-06-2024","835.55","836.00","839.60","829.05","14.75M","0.45%"
"10-06-2024","831.80","834.15","845.45","829.20","16.73M","0.22%"
"07-06-2024","829.95","819.90","831.50","810.50","25.06M","1.59%"
"06-06-2024","816.95","800.00","833.35","796.00","40.56M","3.44%"
"05-06-2024","789.75","790.75","795.00","744.05","74.26M","1.88%"
"04-06-2024","775.20","897.00","897.00","731.95","122.38M","-14.40%"
"03-06-2024","905.65","863.55","912.00","856.75","64.27M","9.07%"
"31-05-2024","830.35","830.70","835.00","817.10","22.27M","0.54%"
"30-05-2024","825.85","821.40","836.00","819.30","17.82M","0.39%"
"29-05-2024","822.65","828.40","834.45","819.30","14.52M","-1.02%"
"28-05-2024","831.15","835.70","840.70","823.30","13.82M","-0.31%"
"27-05-2024","833.70","832.60","839.40","823.00","12.30M","0.62%"
"24-05-2024","828.60","830.00","841.25","827.00","12.25M","-0.42%"
"23-05-2024","832.10","824.70","835.50","822.00","17.50M","1.63%"
"22-05-2024","818.75","826.55","826.65","813.55","19.24M","-1.43%"
"21-05-2024","830.65","821.00","836.30","819.60","14.04M","1.18%"
"18-05-2024","821.00","822.00","823.00","819.20","960.45K","0.39%"
"17-05-2024","817.85","814.50","822.45","811.20","12.49M","0.73%"
"16-05-2024","811.95","825.30","826.15","797.35","20.54M","-1.02%"
"15-05-2024","820.30","821.00","825.30","818.05","9.76M","0.26%"
"14-05-2024","818.20","813.00","822.40","807.90","10.91M","1.16%"
"13-05-2024","808.80","819.85","819.85","798.60","15.40M","-1.05%"
"10-05-2024","817.35","827.00","832.05","815.60","20.54M","-0.30%"
