"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","700.05","700.05","704.85","695.05","763.30K","0.73%"
"05-11-2024","694.95","687.40","697.50","680.00","1.29M","0.94%"
"04-11-2024","688.45","694.85","695.65","680.30","1.23M","-0.91%"
"01-11-2024","694.80","687.05","699.00","684.30","175.97K","0.93%"
"31-10-2024","688.40","680.55","699.50","671.15","2.07M","0.64%"
"30-10-2024","684.00","665.00","695.90","665.00","4.39M","-0.18%"
"29-10-2024","685.20","672.95","702.00","659.80","3.88M","2.64%"
"28-10-2024","667.55","693.35","694.00","665.40","2.35M","-3.46%"
"25-10-2024","691.45","712.20","712.25","676.20","4.47M","-2.91%"
"24-10-2024","712.20","707.50","713.45","703.00","544.95K","0.89%"
"23-10-2024","705.90","703.95","713.00","701.30","690.81K","0.28%"
"22-10-2024","703.95","719.50","719.55","702.65","1.44M","-2.09%"
"21-10-2024","718.95","740.15","741.10","714.00","730.99K","-2.86%"
"18-10-2024","740.15","741.50","743.20","730.75","824.22K","0.02%"
"17-10-2024","740.00","741.40","744.15","733.00","2.09M","-0.11%"
"16-10-2024","740.80","735.00","744.30","735.00","1.02M","0.24%"
"15-10-2024","739.05","741.50","741.95","730.55","1.49M","0.20%"
"14-10-2024","737.55","735.20","739.50","731.40","665.46K","0.52%"
"11-10-2024","733.75","739.40","741.00","731.00","490.79K","-0.48%"
"10-10-2024","737.30","743.50","744.10","734.10","1.43M","-0.26%"
"09-10-2024","739.20","736.00","745.45","734.05","919.42K","0.95%"
"08-10-2024","732.25","730.95","736.60","726.55","1.43M","0.18%"
"07-10-2024","730.95","744.05","751.00","724.90","1.48M","-1.64%"
"04-10-2024","743.15","753.50","757.45","739.25","1.44M","-0.88%"
"03-10-2024","749.75","762.00","780.00","745.95","3.07M","-2.66%"
"01-10-2024","770.20","774.00","780.00","767.10","1.65M","-0.45%"
"30-09-2024","773.70","783.00","791.55","772.20","1.08M","-1.60%"
"27-09-2024","786.30","783.00","802.00","782.55","6.11M","0.65%"
"26-09-2024","781.25","771.85","783.00","768.00","1.21M","1.22%"
"25-09-2024","771.85","780.00","781.95","766.65","1.03M","-1.04%"
"24-09-2024","779.95","794.30","797.90","778.15","1.33M","-1.90%"
"23-09-2024","795.05","790.00","799.10","777.00","1.46M","1.03%"
"20-09-2024","786.95","802.00","802.05","780.70","1.48M","-1.03%"
"19-09-2024","795.15","786.00","804.90","777.85","2.42M","1.96%"
"18-09-2024","779.85","789.95","795.20","777.90","1.21M","-1.59%"
"17-09-2024","792.45","800.20","804.25","789.35","1.16M","-1.01%"
"16-09-2024","800.50","805.10","807.40","793.00","887.50K","-0.58%"
"13-09-2024","805.20","808.00","817.40","803.75","3.53M","0.37%"
"12-09-2024","802.25","801.00","806.00","796.55","1.77M","0.68%"
"11-09-2024","796.85","793.90","805.70","792.70","1.77M","0.37%"
"10-09-2024","793.90","805.00","806.15","790.35","2.28M","-1.05%"
"09-09-2024","802.35","800.80","808.75","786.20","4.44M","0.21%"
"06-09-2024","800.65","779.05","812.00","778.90","16.34M","4.29%"
"05-09-2024","767.70","768.55","777.00","764.55","1.58M","-0.11%"
"04-09-2024","768.55","764.95","770.40","754.85","2.26M","0.33%"
"03-09-2024","766.05","748.00","775.95","742.40","9.02M","2.92%"
"02-09-2024","744.35","726.45","748.00","722.60","2.39M","2.92%"
"30-08-2024","723.20","730.00","730.25","721.35","1.80M","0.28%"
"29-08-2024","721.20","730.95","730.95","716.50","1.75M","-1.38%"
"28-08-2024","731.30","739.80","743.70","728.20","1.78M","-0.74%"
"27-08-2024","736.75","720.50","739.95","719.65","3.53M","2.28%"
"26-08-2024","720.35","717.00","723.40","716.05","1.09M","0.52%"
"23-08-2024","716.65","715.95","718.65","714.00","659.58K","0.31%"
"22-08-2024","714.45","713.00","717.00","708.10","1.71M","0.69%"
"21-08-2024","709.55","707.95","714.55","706.55","1.44M","-0.16%"
"20-08-2024","710.70","700.00","712.95","700.00","1.40M","1.54%"
"19-08-2024","699.90","699.50","702.95","697.00","569.45K","0.18%"
"16-08-2024","698.65","692.95","700.00","690.40","815.77K","1.31%"
"14-08-2024","689.65","691.95","695.90","689.00","564.18K","-0.33%"
"13-08-2024","691.90","701.00","707.60","689.15","1.29M","-1.15%"
"12-08-2024","699.95","710.00","710.95","699.05","778.94K","-1.39%"
"09-08-2024","709.80","718.00","721.95","708.50","698.17K","-0.81%"
"08-08-2024","715.60","713.50","717.40","708.40","777.52K","0.24%"
"07-08-2024","713.90","703.05","719.85","699.75","870.80K","2.18%"
"06-08-2024","698.65","703.35","710.00","697.45","783.29K","-0.53%"
"05-08-2024","702.35","708.00","712.90","698.00","1.04M","-1.71%"
"02-08-2024","714.55","716.00","720.55","713.00","1.27M","-0.82%"
"01-08-2024","720.45","725.00","726.25","718.00","560.28K","-0.88%"
"31-07-2024","726.85","722.45","727.75","719.10","1.61M","1.09%"
"30-07-2024","719.00","712.00","724.95","708.10","1.85M","1.57%"
"29-07-2024","707.90","703.00","721.70","702.25","4.44M","-1.91%"
"26-07-2024","721.70","730.40","730.40","718.10","3.00M","-1.20%"
"25-07-2024","730.50","742.00","742.00","724.05","2.37M","-1.76%"
"24-07-2024","743.60","734.50","745.00","726.55","1.83M","1.74%"
"23-07-2024","730.85","730.00","734.00","713.00","2.36M","0.43%"
"22-07-2024","727.75","717.00","728.90","711.60","717.52K","1.27%"
"19-07-2024","718.60","734.85","735.95","716.30","1.51M","-2.03%"
"18-07-2024","733.50","731.00","734.45","722.00","836.57K","0.36%"
"16-07-2024","730.90","738.50","743.75","729.10","1.03M","-1.04%"
"15-07-2024","738.55","740.45","741.65","734.55","539.29K","-0.01%"
"12-07-2024","738.65","742.25","745.90","736.05","858.00K","-0.34%"
"11-07-2024","741.20","750.00","750.00","737.40","1.75M","-0.55%"
"10-07-2024","745.30","730.85","746.55","724.00","2.38M","2.11%"
"09-07-2024","729.90","737.00","737.65","723.60","993.75K","-0.78%"
"08-07-2024","735.65","723.25","740.00","714.35","2.07M","1.90%"
"05-07-2024","721.95","718.90","724.00","714.35","546.70K","0.42%"
"04-07-2024","718.90","716.00","724.55","712.30","1.12M","0.51%"
"03-07-2024","715.25","713.00","717.60","711.15","589.71K","0.58%"
"02-07-2024","711.15","725.00","727.85","708.75","2.60M","-1.64%"
"01-07-2024","723.00","724.00","729.70","722.10","1.19M","-0.22%"
"28-06-2024","724.60","735.00","735.00","721.00","1.23M","-0.79%"
"27-06-2024","730.35","732.00","739.65","728.00","1.23M","-0.23%"
"26-06-2024","732.00","732.00","733.40","725.75","912.11K","0.00%"
"25-06-2024","732.00","729.95","733.40","724.10","1.36M","0.28%"
"24-06-2024","729.95","726.00","733.00","721.05","1.10M","0.63%"
"21-06-2024","725.35","734.90","735.90","723.95","758.06K","-0.98%"
"20-06-2024","732.50","730.00","738.50","728.65","886.20K","0.34%"
"19-06-2024","730.00","730.00","732.00","721.15","968.43K","0.50%"
"18-06-2024","726.35","729.00","732.20","723.00","1.02M","-0.27%"
"14-06-2024","728.35","730.00","733.25","720.80","1.22M","0.18%"
"13-06-2024","727.05","720.00","731.60","719.05","1.99M","1.34%"
"12-06-2024","717.45","712.85","719.00","712.85","561.82K","0.65%"
"11-06-2024","712.80","718.50","719.05","710.95","1.12M","-0.60%"
"10-06-2024","717.10","719.80","720.55","712.00","1.24M","0.22%"
"07-06-2024","715.55","706.00","723.60","704.35","1.96M","1.68%"
"06-06-2024","703.70","703.00","707.00","699.45","755.11K","0.58%"
"05-06-2024","699.65","682.10","701.75","680.25","1.13M","3.28%"
"04-06-2024","677.40","707.00","707.00","647.95","3.67M","-3.94%"
"03-06-2024","705.20","705.00","709.65","698.20","1.75M","1.89%"
"31-05-2024","692.10","695.25","699.90","689.00","1.64M","-0.28%"
"30-05-2024","694.05","696.80","702.50","690.00","1.82M","-0.47%"
"29-05-2024","697.30","704.00","705.35","696.10","665.93K","-1.16%"
"28-05-2024","705.45","703.00","706.85","699.30","1.28M","0.38%"
"27-05-2024","702.80","710.00","711.40","701.60","1.07M","-0.95%"
"24-05-2024","709.55","712.50","713.00","708.60","612.04K","-0.15%"
