"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,603.95","1,633.20","1,638.65","1,600.45","1.35M","-1.79%"
"05-11-2024","1,633.20","1,606.80","1,642.00","1,598.65","978.59K","1.52%"
"04-11-2024","1,608.80","1,637.00","1,641.15","1,588.00","1.47M","-1.23%"
"01-11-2024","1,628.85","1,639.40","1,639.40","1,623.00","53.89K","0.41%"
"31-10-2024","1,622.15","1,630.10","1,641.95","1,613.05","809.11K","-0.12%"
"30-10-2024","1,624.15","1,636.50","1,649.35","1,619.30","1.51M","-2.24%"
"29-10-2024","1,661.35","1,606.00","1,665.80","1,595.90","2.05M","3.45%"
"28-10-2024","1,605.90","1,617.00","1,620.00","1,593.60","2.37M","-0.67%"
"25-10-2024","1,616.75","1,644.85","1,653.30","1,603.95","1.64M","-1.13%"
"24-10-2024","1,635.30","1,724.45","1,724.45","1,623.00","4.32M","-4.70%"
"23-10-2024","1,716.00","1,703.20","1,728.90","1,692.25","952.36K","1.05%"
"22-10-2024","1,698.15","1,701.00","1,726.95","1,672.90","1.29M","-0.80%"
"21-10-2024","1,711.85","1,715.15","1,776.05","1,696.80","1.57M","0.34%"
"18-10-2024","1,706.05","1,706.00","1,717.45","1,680.60","2.05M","0.24%"
"17-10-2024","1,702.00","1,734.00","1,739.00","1,695.75","2.44M","-1.83%"
"16-10-2024","1,733.75","1,725.05","1,749.00","1,724.00","891.55K","0.58%"
"15-10-2024","1,723.75","1,741.95","1,754.95","1,718.50","2.16M","-0.84%"
"14-10-2024","1,738.30","1,738.75","1,743.85","1,717.30","1.35M","0.19%"
"11-10-2024","1,735.05","1,737.50","1,746.75","1,718.60","805.94K","0.03%"
"10-10-2024","1,734.50","1,745.15","1,754.45","1,729.55","784.50K","-0.17%"
"09-10-2024","1,737.40","1,748.05","1,759.00","1,733.05","704.11K","0.54%"
"08-10-2024","1,728.05","1,785.00","1,799.05","1,723.55","2.89M","-3.35%"
"07-10-2024","1,787.95","1,800.00","1,819.85","1,776.00","692.91K","-0.56%"
"04-10-2024","1,798.10","1,805.55","1,850.00","1,782.55","1.55M","-0.41%"
"03-10-2024","1,805.55","1,807.00","1,845.20","1,795.05","1.31M","-1.56%"
"01-10-2024","1,834.20","1,840.20","1,859.30","1,824.30","885.52K","-0.53%"
"30-09-2024","1,844.00","1,892.00","1,893.60","1,838.25","1.47M","-2.05%"
"27-09-2024","1,882.65","1,898.30","1,913.00","1,873.90","1.68M","-0.82%"
"26-09-2024","1,898.30","1,873.00","1,902.05","1,868.50","1.40M","1.86%"
"25-09-2024","1,863.60","1,873.70","1,875.00","1,841.05","1.40M","-0.04%"
"24-09-2024","1,864.35","1,927.10","1,927.95","1,854.60","2.61M","-2.91%"
"23-09-2024","1,920.15","1,882.00","1,925.00","1,880.00","1.02M","2.67%"
"20-09-2024","1,870.25","1,850.00","1,885.00","1,845.00","1.51M","1.59%"
"19-09-2024","1,840.95","1,850.00","1,860.00","1,828.20","776.07K","-0.08%"
"18-09-2024","1,842.45","1,818.20","1,848.95","1,815.05","518.69K","1.28%"
"17-09-2024","1,819.15","1,823.50","1,844.30","1,808.45","844.87K","-0.12%"
"16-09-2024","1,821.25","1,851.00","1,864.80","1,816.10","1.58M","-1.37%"
"13-09-2024","1,846.50","1,869.00","1,871.75","1,841.75","886.11K","-1.57%"
"12-09-2024","1,875.95","1,863.00","1,880.00","1,840.60","1.13M","0.90%"
"11-09-2024","1,859.15","1,845.10","1,871.05","1,844.55","630.09K","0.31%"
"10-09-2024","1,853.45","1,890.00","1,890.00","1,838.75","2.52M","-2.54%"
"09-09-2024","1,901.75","1,900.85","1,932.85","1,894.50","1.85M","0.29%"
"06-09-2024","1,896.30","1,898.10","1,916.85","1,889.45","772.40K","-0.61%"
"05-09-2024","1,907.85","1,919.00","1,919.00","1,900.20","947.10K","-0.23%"
"04-09-2024","1,912.20","1,910.00","1,920.00","1,902.35","952.28K","-0.85%"
"03-09-2024","1,928.65","1,890.00","1,936.00","1,881.75","3.46M","2.11%"
"02-09-2024","1,888.75","1,850.30","1,894.65","1,849.05","2.52M","2.08%"
"30-08-2024","1,850.30","1,839.95","1,869.80","1,837.00","2.13M","0.36%"
"29-08-2024","1,843.70","1,840.00","1,867.75","1,835.50","2.25M","0.00%"
"28-08-2024","1,843.70","1,838.75","1,854.25","1,826.00","724.09K","0.26%"
"27-08-2024","1,838.95","1,788.40","1,848.60","1,784.10","2.24M","2.38%"
"26-08-2024","1,796.25","1,791.00","1,801.45","1,769.35","593.63K","0.39%"
"23-08-2024","1,789.30","1,789.50","1,798.40","1,782.00","858.25K","-0.33%"
"22-08-2024","1,795.25","1,801.00","1,812.40","1,789.85","1.38M","-0.30%"
"21-08-2024","1,800.60","1,761.30","1,804.45","1,750.90","2.97M","2.23%"
"20-08-2024","1,761.30","1,672.80","1,770.80","1,672.75","3.95M","5.37%"
"19-08-2024","1,671.55","1,696.80","1,696.80","1,666.00","632.65K","-1.03%"
"16-08-2024","1,688.90","1,699.00","1,702.10","1,666.15","721.57K","-0.19%"
"14-08-2024","1,692.10","1,696.20","1,707.35","1,673.00","557.47K","0.58%"
"13-08-2024","1,682.40","1,705.00","1,721.30","1,672.05","1.06M","-1.33%"
"12-08-2024","1,705.00","1,722.90","1,730.00","1,692.05","1.02M","-1.17%"
"09-08-2024","1,725.10","1,720.00","1,733.40","1,708.00","804.89K","1.10%"
"08-08-2024","1,706.30","1,671.10","1,715.15","1,670.05","1.29M","1.22%"
"07-08-2024","1,685.70","1,690.05","1,698.90","1,677.10","603.42K","0.67%"
"06-08-2024","1,674.50","1,722.20","1,780.00","1,670.10","1.50M","-2.77%"
"05-08-2024","1,722.20","1,680.00","1,739.35","1,679.95","1.24M","-1.30%"
"02-08-2024","1,744.90","1,760.00","1,768.90","1,731.00","594.52K","-1.26%"
