"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,535.35","3,460.20","3,559.95","3,426.55","59.12K","2.68%"
"05-11-2024","3,442.95","3,459.95","3,488.10","3,385.00","173.63K","-0.54%"
"04-11-2024","3,461.50","3,499.00","3,501.00","3,438.90","107.96K","-0.82%"
"01-11-2024","3,490.20","3,465.80","3,503.35","3,444.05","5.57K","1.58%"
"31-10-2024","3,435.90","3,471.25","3,476.70","3,405.90","76.65K","-0.98%"
"30-10-2024","3,469.90","3,462.15","3,532.60","3,445.55","52.15K","0.52%"
"29-10-2024","3,452.05","3,479.95","3,518.00","3,434.35","69.14K","0.23%"
"28-10-2024","3,444.25","3,588.10","3,625.00","3,430.60","188.21K","-4.44%"
"25-10-2024","3,604.30","3,702.00","3,737.65","3,531.75","116.57K","-2.51%"
"24-10-2024","3,697.00","3,810.00","3,855.70","3,601.00","229.51K","-4.65%"
"23-10-2024","3,877.10","3,825.10","3,887.60","3,747.00","62.01K","-0.35%"
"22-10-2024","3,890.75","3,930.00","3,968.70","3,821.25","85.08K","-1.51%"
"21-10-2024","3,950.50","3,994.00","4,052.25","3,916.00","47.58K","-1.34%"
"18-10-2024","4,004.05","3,990.10","4,047.45","3,930.05","51.35K","-0.16%"
"17-10-2024","4,010.45","4,039.95","4,041.00","3,950.00","56.56K","-0.60%"
"16-10-2024","4,034.55","3,998.95","4,049.90","3,965.50","82.74K","0.72%"
"15-10-2024","4,005.65","4,043.10","4,083.05","3,967.45","93.55K","-0.93%"
"14-10-2024","4,043.10","3,900.00","4,080.00","3,898.35","130.37K","3.71%"
"11-10-2024","3,898.35","3,860.00","3,925.00","3,746.10","108.54K","0.93%"
"10-10-2024","3,862.35","3,870.00","3,914.00","3,827.80","59.67K","0.10%"
"09-10-2024","3,858.60","3,821.35","3,899.00","3,800.60","71.48K","1.48%"
"08-10-2024","3,802.30","3,765.50","3,842.20","3,715.45","94.36K","0.98%"
"07-10-2024","3,765.50","3,870.00","3,898.00","3,742.25","75.07K","-2.70%"
"04-10-2024","3,870.00","3,885.00","3,917.10","3,812.80","110.44K","-0.42%"
"03-10-2024","3,886.50","3,821.10","3,963.30","3,821.10","84.95K","-1.13%"
"01-10-2024","3,930.90","3,861.10","3,946.00","3,855.00","107.96K","0.44%"
"30-09-2024","3,913.70","3,892.85","3,930.00","3,832.10","64.88K","1.38%"
"27-09-2024","3,860.25","3,850.15","3,915.00","3,830.00","49.16K","0.06%"
"26-09-2024","3,857.75","3,925.00","3,937.95","3,850.00","42.39K","-1.37%"
"25-09-2024","3,911.20","3,993.00","3,993.30","3,879.00","30.11K","-1.24%"
"24-09-2024","3,960.20","3,919.90","3,990.00","3,919.85","64.58K","1.38%"
"23-09-2024","3,906.25","3,845.60","3,922.00","3,799.05","63.65K","2.24%"
"20-09-2024","3,820.75","3,815.00","3,858.00","3,799.40","75.84K","0.21%"
"19-09-2024","3,812.90","3,855.00","3,906.35","3,792.45","121.30K","-1.05%"
"18-09-2024","3,853.30","3,851.50","3,880.00","3,752.80","95.57K","0.05%"
"17-09-2024","3,851.50","3,920.05","3,949.00","3,836.40","61.00K","-1.85%"
"16-09-2024","3,923.90","4,030.00","4,040.00","3,865.00","76.19K","-1.14%"
"13-09-2024","3,968.95","3,851.00","3,975.00","3,851.00","70.70K","2.84%"
"12-09-2024","3,859.40","3,803.50","3,880.00","3,803.50","26.36K","1.52%"
"11-09-2024","3,801.70","3,836.00","3,885.70","3,790.00","46.12K","-1.25%"
"10-09-2024","3,849.75","3,865.20","3,962.00","3,825.00","63.99K","-0.37%"
"09-09-2024","3,864.05","3,865.95","3,877.95","3,803.00","66.88K","-0.02%"
"06-09-2024","3,864.90","3,978.00","4,049.00","3,840.00","64.36K","-2.36%"
"05-09-2024","3,958.20","3,846.95","3,988.00","3,834.90","119.28K","3.37%"
"04-09-2024","3,829.10","3,803.35","3,876.45","3,784.05","70.00K","-0.33%"
"03-09-2024","3,841.75","3,884.70","3,899.00","3,830.00","47.11K","-0.68%"
