"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","223.22","217.40","224.00","216.05","2.27M","3.54%"
"05-11-2024","215.59","213.85","216.85","211.10","1.57M","1.08%"
"04-11-2024","213.28","219.86","219.95","211.36","1.41M","-3.08%"
"01-11-2024","220.05","217.50","221.00","217.20","556.22K","1.69%"
"31-10-2024","216.40","216.00","218.00","213.65","1.58M","-0.41%"
"30-10-2024","217.30","208.00","219.65","206.75","3.59M","5.10%"
"29-10-2024","206.75","207.05","208.45","202.05","1.95M","-0.07%"
"28-10-2024","206.90","204.00","208.30","199.30","2.63M","2.05%"
"25-10-2024","202.75","215.80","215.80","201.80","2.57M","-5.28%"
"24-10-2024","214.05","214.35","221.00","213.20","1.87M","-0.02%"
"23-10-2024","214.10","216.00","218.85","206.55","2.97M","-0.88%"
"22-10-2024","216.00","230.40","231.00","214.10","2.49M","-6.47%"
"21-10-2024","230.95","237.50","240.50","230.00","1.44M","-2.04%"
"18-10-2024","235.75","239.70","239.70","232.75","1.51M","-1.61%"
"17-10-2024","239.60","249.35","249.35","238.80","1.75M","-3.43%"
"16-10-2024","248.10","239.25","249.65","237.20","5.28M","3.94%"
"15-10-2024","238.70","240.00","246.00","236.20","2.27M","-0.23%"
"14-10-2024","239.25","245.00","249.00","238.25","1.54M","-1.89%"
"11-10-2024","243.85","245.45","246.95","242.60","756.59K","-0.65%"
"10-10-2024","245.45","242.20","249.95","241.60","1.90M","2.02%"
"09-10-2024","240.60","242.70","246.00","240.00","1.06M","-0.39%"
"08-10-2024","241.55","233.85","243.30","230.45","1.85M","3.20%"
"07-10-2024","234.05","245.15","247.70","232.80","1.72M","-4.18%"
"04-10-2024","244.25","249.90","252.00","242.45","1.55M","-2.26%"
"03-10-2024","249.90","252.55","256.20","249.00","1.38M","-3.98%"
"01-10-2024","260.25","262.80","262.80","257.20","1.18M","-0.34%"
"30-09-2024","261.15","265.10","266.85","260.15","1.31M","-2.43%"
"27-09-2024","267.65","270.00","270.45","264.60","2.09M","-1.00%"
"26-09-2024","270.35","267.00","271.15","262.60","2.71M","1.03%"
"25-09-2024","267.60","268.65","269.40","263.05","2.10M","-0.93%"
"24-09-2024","270.10","267.15","274.25","264.30","4.38M","1.07%"
"23-09-2024","267.25","260.00","270.80","256.50","6.09M","3.55%"
"20-09-2024","258.10","240.80","263.90","236.70","13.07M","7.56%"
"19-09-2024","239.95","248.50","249.95","239.00","2.01M","-2.93%"
"18-09-2024","247.20","244.90","249.70","241.90","1.78M","0.86%"
"17-09-2024","245.10","248.85","248.85","244.30","1.33M","-1.27%"
"16-09-2024","248.25","247.30","254.70","240.25","3.41M","0.85%"
"13-09-2024","246.15","245.60","249.60","245.00","1.39M","0.67%"
"12-09-2024","244.50","248.00","249.60","240.00","2.45M","-0.53%"
"11-09-2024","245.80","254.70","257.80","244.30","2.05M","-3.23%"
"10-09-2024","254.00","252.20","258.50","252.20","1.67M","1.72%"
"09-09-2024","249.70","256.50","257.15","247.00","2.62M","-2.65%"
"06-09-2024","256.50","265.00","265.00","255.65","2.59M","-3.46%"
"05-09-2024","265.70","270.00","270.60","265.00","1.21M","-1.13%"
"04-09-2024","268.75","269.35","274.50","268.00","1.98M","-0.79%"
"03-09-2024","270.90","267.90","276.40","267.60","4.92M","1.44%"
"02-09-2024","267.05","270.45","271.95","262.50","3.19M","-0.80%"
"30-08-2024","269.20","267.40","270.50","262.55","2.42M","0.81%"
"29-08-2024","267.05","271.00","271.00","264.30","1.59M","-1.46%"
"28-08-2024","271.00","273.05","275.50","270.00","1.71M","-0.68%"
"27-08-2024","272.85","274.25","276.75","272.00","1.53M","-0.62%"
"26-08-2024","274.55","277.85","279.90","273.00","1.83M","-0.67%"
"23-08-2024","276.40","275.00","280.80","273.50","3.64M","0.91%"
"22-08-2024","273.90","273.80","275.50","270.60","2.40M","0.55%"
"21-08-2024","272.40","270.50","277.80","269.65","2.44M","0.68%"
"20-08-2024","270.55","275.00","276.80","268.05","2.93M","-1.08%"
"19-08-2024","273.50","272.40","277.90","272.10","2.91M","0.92%"
"16-08-2024","271.00","266.05","274.00","264.95","5.19M","2.44%"
"14-08-2024","264.55","266.70","268.90","259.50","3.23M","-0.11%"
"13-08-2024","264.85","276.45","276.80","263.10","4.86M","-3.34%"
"12-08-2024","274.00","271.95","288.75","266.65","23.10M","6.45%"
"09-08-2024","257.40","261.90","263.40","256.00","2.92M","-0.27%"
"08-08-2024","258.10","265.00","265.30","257.10","3.66M","-2.44%"
"07-08-2024","264.55","258.85","265.95","251.05","5.31M","5.48%"
"06-08-2024","250.80","270.90","273.10","248.35","7.61M","-5.20%"
"05-08-2024","264.55","274.95","276.45","263.00","6.12M","-6.77%"
"02-08-2024","283.75","282.60","285.95","279.05","3.70M","-1.13%"
"01-08-2024","287.00","288.00","296.60","285.50","8.52M","0.10%"
"31-07-2024","286.70","287.30","291.30","285.15","3.58M","0.19%"
"30-07-2024","286.15","283.40","291.40","280.20","13.01M","1.58%"
"29-07-2024","281.70","280.95","292.90","276.85","13.47M","1.28%"
"26-07-2024","278.15","283.05","289.00","277.25","8.17M","-0.98%"
"25-07-2024","280.90","287.90","298.80","279.50","11.55M","-3.39%"
"24-07-2024","290.75","297.80","306.45","289.20","8.76M","-1.32%"
"23-07-2024","294.65","323.00","325.00","278.15","25.23M","-7.55%"
"22-07-2024","318.70","304.00","334.90","301.60","19.83M","4.37%"
"19-07-2024","305.35","310.15","319.60","303.55","10.22M","-1.88%"
"18-07-2024","311.20","320.50","326.55","308.85","9.74M","-3.91%"
"16-07-2024","323.85","334.00","341.00","322.20","8.10M","-2.03%"
"15-07-2024","330.55","347.80","351.90","325.65","13.86M","-4.37%"
"12-07-2024","345.65","347.80","384.20","342.15","63.16M","4.69%"
"11-07-2024","330.15","281.00","330.15","281.00","65.07M","19.99%"
"10-07-2024","275.15","270.45","279.00","256.05","10.38M","2.46%"
"09-07-2024","268.55","273.20","278.50","267.60","4.20M","-1.07%"
"08-07-2024","271.45","269.95","279.00","266.65","5.27M","0.97%"
"05-07-2024","268.85","269.95","276.45","266.55","6.42M","-0.41%"
"04-07-2024","269.95","264.50","274.00","263.00","9.28M","2.53%"
"03-07-2024","263.30","254.50","268.50","254.10","5.76M","3.80%"
"02-07-2024","253.65","258.15","258.90","251.50","1.95M","-1.32%"
"01-07-2024","257.05","252.95","257.75","246.65","3.61M","2.06%"
"28-06-2024","251.85","253.80","260.70","251.10","2.49M","-0.27%"
"27-06-2024","252.52","256.00","261.00","248.36","3.58M","-1.32%"
"26-06-2024","255.90","261.50","262.20","255.00","2.58M","-1.88%"
"25-06-2024","260.79","262.05","267.07","260.00","3.29M","-0.06%"
"24-06-2024","260.94","260.15","268.45","256.60","4.37M","-1.59%"
"21-06-2024","265.15","274.50","275.35","264.00","4.52M","-2.97%"
"20-06-2024","273.27","278.70","279.25","271.18","4.94M","-0.38%"
"19-06-2024","274.32","287.30","288.00","270.17","8.26M","-3.55%"
"18-06-2024","284.42","273.25","289.70","273.25","20.49M","4.84%"
"14-06-2024","271.29","264.20","274.30","259.05","16.02M","3.72%"
"13-06-2024","261.56","261.95","264.70","252.60","5.70M","0.69%"
"12-06-2024","259.78","257.03","267.70","257.03","14.36M","5.63%"
"11-06-2024","245.94","244.00","251.40","241.63","3.65M","1.61%"
"10-06-2024","242.05","247.95","249.40","240.61","2.34M","-1.77%"
"07-06-2024","246.40","243.80","247.80","239.00","3.83M","1.29%"
"06-06-2024","243.25","229.00","247.60","228.45","8.88M","8.21%"
"05-06-2024","224.80","218.05","226.00","203.40","5.40M","4.61%"
"04-06-2024","214.90","255.50","255.50","207.40","10.92M","-17.09%"
"03-06-2024","259.20","265.00","266.80","254.50","7.75M","5.49%"
"31-05-2024","245.70","242.90","251.65","233.85","5.51M","1.68%"
"30-05-2024","241.65","250.90","251.35","240.35","2.54M","-3.78%"
"29-05-2024","251.15","246.00","254.70","244.00","4.24M","1.31%"
"28-05-2024","247.90","261.00","261.00","245.00","4.60M","-4.32%"
"27-05-2024","259.10","266.45","269.65","254.20","5.33M","-1.30%"
"24-05-2024","262.50","261.95","274.70","255.20","11.73M","-0.04%"
"23-05-2024","262.60","240.95","271.50","240.50","33.02M","9.74%"
"22-05-2024","239.30","240.05","243.50","231.80","4.86M","0.19%"
