"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","809.35","787.30","817.80","779.05","223.81K","4.22%"
"05-11-2024","776.55","759.35","787.95","755.40","180.72K","2.51%"
"04-11-2024","757.55","788.25","789.45","751.30","169.71K","-3.69%"
"01-11-2024","786.55","784.75","794.00","782.15","48.64K","0.89%"
"31-10-2024","779.65","768.20","783.10","756.85","96.06K","2.15%"
"30-10-2024","763.25","746.95","778.00","745.00","163.30K","2.70%"
"29-10-2024","743.15","746.65","750.00","729.10","97.90K","0.38%"
"28-10-2024","740.35","730.10","751.60","715.25","196.81K","1.40%"
"25-10-2024","730.10","759.00","759.00","714.20","248.98K","-3.04%"
"24-10-2024","753.00","766.90","772.35","750.65","121.88K","-1.41%"
"23-10-2024","763.80","766.00","775.90","748.00","250.11K","-0.14%"
"22-10-2024","764.90","802.00","802.00","756.60","282.96K","-4.58%"
"21-10-2024","801.60","836.70","836.70","795.00","147.79K","-3.15%"
"18-10-2024","827.70","826.05","839.80","803.10","177.76K","0.10%"
"17-10-2024","826.90","859.05","865.95","823.50","210.48K","-3.73%"
"16-10-2024","858.95","874.00","880.00","850.60","512.66K","-1.27%"
"15-10-2024","870.00","864.60","873.00","857.00","418.13K","1.16%"
"14-10-2024","860.05","857.00","877.90","849.25","224.62K","-0.05%"
"11-10-2024","860.45","863.95","864.80","845.05","278.80K","-0.41%"
"10-10-2024","863.95","832.00","871.00","827.80","944.04K","4.61%"
"09-10-2024","825.85","790.00","829.95","790.00","442.51K","4.98%"
"08-10-2024","786.65","747.00","790.05","739.90","282.98K","5.24%"
"07-10-2024","747.45","794.00","796.95","737.05","470.82K","-6.01%"
"04-10-2024","795.25","788.00","810.00","774.95","295.95K","0.97%"
"03-10-2024","787.60","801.55","808.65","785.00","248.21K","-3.49%"
"01-10-2024","816.10","816.05","830.70","805.35","200.76K","0.01%"
"30-09-2024","816.05","821.90","832.00","812.00","182.50K","-0.71%"
"27-09-2024","821.90","830.00","840.15","818.05","168.92K","-0.86%"
"26-09-2024","829.05","847.30","851.65","822.00","481.79K","-2.15%"
"25-09-2024","847.30","850.00","873.45","840.00","1.22M","-0.73%"
"24-09-2024","853.55","784.00","884.55","777.00","5.56M","9.89%"
"23-09-2024","776.70","782.50","795.15","771.00","193.51K","-0.74%"
"20-09-2024","782.50","754.95","792.00","748.40","1.89M","4.27%"
"19-09-2024","750.45","768.00","777.95","745.00","251.92K","-2.10%"
"18-09-2024","766.55","780.10","788.95","763.00","227.16K","-1.26%"
"17-09-2024","776.35","792.90","798.00","757.95","507.24K","-1.43%"
"16-09-2024","787.65","815.65","817.95","776.45","682.31K","-4.13%"
"13-09-2024","821.60","820.00","834.40","811.20","213.91K","0.41%"
"12-09-2024","818.25","819.80","822.30","807.75","161.81K","0.75%"
"11-09-2024","812.15","822.50","822.50","802.80","153.78K","0.15%"
"10-09-2024","810.95","792.75","816.00","788.00","180.51K","3.07%"
"09-09-2024","786.80","809.00","809.00","776.70","275.29K","-2.82%"
"06-09-2024","809.65","836.00","838.90","802.00","226.26K","-1.72%"
"05-09-2024","823.85","825.20","828.00","813.45","139.40K","0.50%"
"04-09-2024","819.75","828.75","842.75","811.90","271.89K","-1.09%"
"03-09-2024","828.75","828.00","836.45","822.90","205.41K","1.40%"
"02-09-2024","817.30","854.00","854.00","810.05","495.67K","-1.49%"
"30-08-2024","829.65","792.95","835.00","787.50","353.92K","4.63%"
"29-08-2024","792.95","802.00","807.25","781.60","221.23K","-0.68%"
"28-08-2024","798.40","820.00","830.00","793.95","234.18K","-2.26%"
"27-08-2024","816.90","818.05","840.85","811.00","265.75K","0.35%"
"26-08-2024","814.05","807.00","819.00","801.05","188.95K","1.94%"
"23-08-2024","798.55","823.00","824.00","794.60","151.53K","-1.69%"
"22-08-2024","812.25","816.00","820.00","807.60","136.35K","-0.14%"
"21-08-2024","813.40","800.40","819.30","800.40","133.02K","1.80%"
"20-08-2024","799.00","814.00","815.90","785.20","226.38K","-0.88%"
"19-08-2024","806.10","831.60","833.95","801.95","219.99K","-2.10%"
"16-08-2024","823.40","800.95","832.00","800.10","219.21K","3.75%"
"14-08-2024","793.65","799.00","809.40","781.00","164.59K","-0.67%"
"13-08-2024","799.00","828.95","835.90","795.30","143.24K","-2.81%"
"12-08-2024","822.10","828.00","850.00","816.50","185.85K","-1.38%"
"09-08-2024","833.60","840.00","853.00","827.00","282.50K","0.57%"
"08-08-2024","828.90","803.80","835.00","800.55","533.31K","3.67%"
"07-08-2024","799.55","792.00","803.95","784.80","266.25K","1.38%"
"06-08-2024","788.65","792.65","824.85","785.00","1.19M","5.24%"
"05-08-2024","749.35","760.00","788.00","745.00","441.95K","-6.88%"
"02-08-2024","804.75","795.00","816.00","782.55","392.85K","0.13%"
"01-08-2024","803.70","803.80","813.85","760.10","586.67K","0.07%"
"31-07-2024","803.15","797.95","815.35","797.95","134.04K","0.90%"
"30-07-2024","795.95","796.00","803.40","787.30","172.33K","0.10%"
"29-07-2024","795.15","800.00","825.00","787.00","316.11K","-0.20%"
"26-07-2024","796.75","774.00","807.00","771.70","326.79K","3.93%"
"25-07-2024","766.60","744.95","774.00","742.05","211.01K","1.91%"
"24-07-2024","752.20","771.00","787.80","748.00","240.07K","-1.82%"
"23-07-2024","766.15","790.00","796.50","730.00","291.51K","-2.40%"
"22-07-2024","785.00","740.00","789.00","734.45","494.70K","5.97%"
"19-07-2024","740.75","788.00","791.70","735.85","392.06K","-6.22%"
"18-07-2024","789.90","798.85","818.00","786.45","274.18K","-0.98%"
"16-07-2024","797.70","824.05","830.55","784.40","371.01K","-2.73%"
"15-07-2024","820.10","832.80","846.70","816.35","251.51K","-1.09%"
"12-07-2024","829.10","859.00","878.00","826.05","292.99K","-3.22%"
"11-07-2024","856.70","860.00","882.00","852.55","190.44K","-0.20%"
"10-07-2024","858.45","890.75","893.00","840.00","301.05K","-2.60%"
