"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","25,009.15","24,697.00","25,100.00","24,697.00","6.21K","1.27%"
"05-11-2024","24,695.90","24,870.00","25,000.00","24,601.00","8.77K","-0.68%"
"04-11-2024","24,865.30","25,241.05","25,400.00","24,765.20","12.42K","-1.49%"
"01-11-2024","25,241.05","25,349.00","25,351.00","25,083.25","0.61K","0.67%"
"31-10-2024","25,072.15","25,346.50","25,555.00","24,970.60","44.34K","-1.10%"
"30-10-2024","25,351.35","25,100.00","25,508.40","25,020.05","24.31K","0.08%"
"29-10-2024","25,331.75","25,194.00","25,385.30","24,986.10","13.39K","1.10%"
"28-10-2024","25,056.15","24,963.00","25,250.00","24,956.85","15.08K","0.40%"
"25-10-2024","24,956.80","25,170.00","25,182.00","24,719.60","34.09K","-0.43%"
"24-10-2024","25,065.30","24,637.60","25,365.40","24,600.00","71.70K","1.44%"
"23-10-2024","24,710.25","24,434.40","24,844.00","24,350.00","38.39K","1.13%"
"22-10-2024","24,434.40","24,220.00","24,848.00","24,220.00","59.98K","0.56%"
"21-10-2024","24,297.75","24,320.40","24,432.70","23,999.85","29.73K","-0.11%"
"18-10-2024","24,325.25","24,201.00","24,375.00","24,088.05","6.32K","0.33%"
"17-10-2024","24,245.10","24,501.00","24,543.20","24,050.00","18.59K","-0.80%"
"16-10-2024","24,439.55","24,731.00","24,731.00","24,262.55","14.36K","-1.13%"
"15-10-2024","24,718.50","24,651.00","24,966.75","24,581.00","25.59K","0.60%"
"14-10-2024","24,572.20","24,435.00","24,598.00","24,145.00","15.63K","0.97%"
"11-10-2024","24,337.05","24,551.00","24,657.65","24,219.95","16.37K","-1.24%"
"10-10-2024","24,641.80","25,099.95","25,196.90","24,600.00","34.74K","-1.33%"
"09-10-2024","24,975.05","25,580.95","25,580.95","24,856.40","55.68K","-2.38%"
"08-10-2024","25,582.90","25,305.00","25,639.55","25,117.90","26.09K","0.81%"
"07-10-2024","25,376.45","26,034.20","26,168.00","25,240.55","29.71K","-2.53%"
"04-10-2024","26,034.20","26,370.10","26,500.00","25,865.00","35.44K","-0.86%"
"03-10-2024","26,259.20","26,387.85","26,698.90","25,950.30","29.14K","-1.00%"
"01-10-2024","26,523.25","26,392.50","26,580.80","26,199.30","27.91K","0.81%"
"30-09-2024","26,308.90","26,149.00","26,448.25","25,907.70","36.11K","0.23%"
"27-09-2024","26,247.90","26,125.00","26,550.00","25,942.70","64.96K","0.48%"
"26-09-2024","26,123.10","25,900.05","26,195.10","25,763.50","24.90K","0.85%"
"25-09-2024","25,903.65","25,911.65","26,053.95","25,705.40","22.77K","-0.03%"
"24-09-2024","25,911.65","25,958.95","26,200.00","25,771.20","23.22K","-0.18%"
"23-09-2024","25,958.10","25,222.00","26,096.95","24,952.15","33.98K","3.25%"
"20-09-2024","25,141.70","25,000.00","25,272.20","24,751.00","36.90K","0.84%"
"19-09-2024","24,931.70","25,111.00","25,327.25","24,690.70","20.39K","-0.58%"
"18-09-2024","25,076.65","25,450.00","25,496.65","24,909.10","28.05K","-1.42%"
"17-09-2024","25,437.10","25,600.00","25,677.60","25,400.00","13.18K","-0.71%"
"16-09-2024","25,619.40","26,001.00","26,050.00","25,507.70","18.92K","-1.02%"
"13-09-2024","25,883.10","26,079.95","26,144.70","25,814.70","22.52K","-0.52%"
"12-09-2024","26,019.65","25,651.00","26,079.60","25,623.05","20.31K","1.58%"
"11-09-2024","25,614.10","25,725.00","25,849.90","25,543.05","30.92K","-0.43%"
"10-09-2024","25,725.15","25,948.00","25,948.00","25,651.05","18.49K","-0.28%"
"09-09-2024","25,798.60","25,552.00","25,850.95","25,313.30","21.33K","0.73%"
"06-09-2024","25,610.45","25,888.00","25,888.00","25,281.05","36.98K","-0.20%"
"05-09-2024","25,662.25","25,770.75","26,280.00","25,627.65","45.73K","-0.42%"
"04-09-2024","25,770.75","25,400.00","25,866.00","25,355.35","46.48K","1.03%"
"03-09-2024","25,507.60","25,428.00","25,702.35","25,355.00","45.08K","0.32%"
"02-09-2024","25,427.30","25,590.00","25,749.90","25,260.00","60.62K","-0.21%"
"30-08-2024","25,482.00","24,811.00","25,561.90","24,810.00","83.41K","2.66%"
"29-08-2024","24,821.35","24,705.55","24,889.60","24,540.05","41.63K","0.52%"
"28-08-2024","24,692.20","24,820.00","24,900.00","24,605.65","20.95K","-0.49%"
"27-08-2024","24,813.20","24,906.45","25,049.75","24,730.05","23.21K","-0.37%"
"26-08-2024","24,906.45","24,751.00","24,933.80","24,602.20","16.73K","0.81%"
"23-08-2024","24,706.05","25,082.40","25,100.00","24,637.90","28.80K","-1.22%"
"22-08-2024","25,012.40","24,850.00","25,224.95","24,800.45","25.07K","0.82%"
"21-08-2024","24,808.05","24,757.70","24,892.45","24,672.50","11.58K","0.31%"
"20-08-2024","24,730.55","24,960.00","24,960.00","24,600.00","24.73K","-0.48%"
"19-08-2024","24,848.95","24,830.30","24,965.90","24,699.00","28.46K","0.84%"
"16-08-2024","24,642.85","24,375.00","24,700.05","24,279.75","39.02K","1.25%"
"14-08-2024","24,338.95","24,209.45","24,464.95","24,011.10","51.64K","0.55%"
"13-08-2024","24,205.95","24,500.00","24,509.25","24,140.05","41.83K","-0.83%"
"12-08-2024","24,408.35","24,310.00","24,456.40","24,008.45","96.81K","0.46%"
"09-08-2024","24,296.60","24,519.80","24,575.00","23,850.00","100.94K","0.63%"
"08-08-2024","24,143.40","25,050.00","25,050.00","24,027.45","251.87K","-3.81%"
"07-08-2024","25,098.60","26,100.00","26,694.95","24,966.00","325.58K","-3.84%"
"06-08-2024","26,101.35","26,945.00","27,092.60","26,010.00","155.61K","-2.73%"
"05-08-2024","26,834.80","27,000.00","27,049.90","26,376.05","75.14K","-1.69%"
"02-08-2024","27,295.35","27,555.55","27,796.00","27,052.60","39.75K","-1.70%"
"01-08-2024","27,768.50","27,825.00","27,899.80","27,488.05","29.62K","0.10%"
"31-07-2024","27,740.45","27,360.50","27,813.40","27,312.30","51.10K","1.56%"
"30-07-2024","27,314.35","27,414.55","27,490.00","26,960.10","54.59K","0.28%"
"29-07-2024","27,237.90","27,800.00","27,800.00","27,155.00","75.15K","-1.19%"
"26-07-2024","27,566.75","27,651.00","27,870.00","27,320.45","25.29K","0.30%"
"25-07-2024","27,484.35","27,499.95","27,587.45","27,200.00","20.76K","-0.25%"
"24-07-2024","27,552.00","27,971.00","28,099.90","27,251.15","40.24K","-2.17%"
"23-07-2024","28,162.20","27,801.00","28,395.00","27,605.45","90.20K","0.87%"
"22-07-2024","27,919.80","27,207.10","27,993.00","27,001.00","30.48K","2.33%"
"19-07-2024","27,284.15","27,852.00","27,998.10","27,107.95","46.73K","-2.77%"
"18-07-2024","28,061.60","27,800.00","28,197.00","27,672.20","30.73K","0.55%"
"16-07-2024","27,906.80","27,747.00","28,683.20","27,647.45","99.51K","1.05%"
"15-07-2024","27,616.85","27,555.00","27,835.70","26,811.05","65.38K","-0.18%"
"12-07-2024","27,665.50","27,791.00","27,885.00","27,466.00","17.75K","-0.39%"
"11-07-2024","27,772.60","27,877.80","28,001.00","27,600.20","14.65K","-0.48%"
"10-07-2024","27,905.45","27,776.30","27,967.95","27,324.30","42.28K","0.46%"
"09-07-2024","27,776.30","27,340.00","27,850.00","27,207.00","32.65K","2.14%"
"08-07-2024","27,193.25","27,510.00","27,549.60","26,951.95","21.06K","-1.22%"
"05-07-2024","27,528.70","27,445.00","27,573.90","27,297.60","16.96K","0.25%"
"04-07-2024","27,459.05","27,548.00","27,554.90","27,170.00","40.85K","0.27%"
"03-07-2024","27,383.90","27,899.00","27,899.00","27,285.90","68.89K","-1.13%"
"02-07-2024","27,697.75","28,353.40","28,527.30","27,607.65","21.26K","-2.31%"
"01-07-2024","28,353.35","27,994.00","28,614.95","27,750.00","59.36K","1.73%"
"28-06-2024","27,870.40","27,850.00","28,132.40","27,711.10","38.61K","0.14%"
"27-06-2024","27,832.45","27,480.00","28,242.00","27,479.70","65.37K","1.21%"
