"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,186.70","3,187.00","3,200.00","3,136.30","858.93K","0.77%"
"05-11-2024","3,162.30","3,157.60","3,176.00","3,055.00","1.52M","0.46%"
"04-11-2024","3,147.90","3,155.40","3,169.65","3,108.95","968.59K","-0.10%"
"01-11-2024","3,150.95","3,159.00","3,164.00","3,140.00","57.35K","0.38%"
"31-10-2024","3,138.90","3,185.00","3,185.00","3,087.60","1.62M","-1.47%"
"30-10-2024","3,185.80","3,217.05","3,259.70","3,176.95","1.39M","-2.45%"
"29-10-2024","3,265.80","3,242.10","3,285.65","3,162.40","2.18M","0.20%"
"28-10-2024","3,259.30","3,164.00","3,344.15","3,144.00","4.32M","5.39%"
"25-10-2024","3,092.65","3,254.30","3,254.30","3,028.00","3.05M","-4.70%"
"24-10-2024","3,245.10","3,190.00","3,266.00","3,185.55","1.50M","1.48%"
"23-10-2024","3,197.75","3,200.00","3,260.50","3,170.05","1.93M","-1.74%"
"22-10-2024","3,254.50","3,313.30","3,391.00","3,240.00","3.94M","-1.77%"
"21-10-2024","3,313.30","3,356.95","3,383.50","3,272.00","1.13M","-0.94%"
"18-10-2024","3,344.65","3,187.75","3,373.90","3,145.75","1.88M","2.64%"
"17-10-2024","3,258.60","3,379.00","3,385.95","3,245.95","1.65M","-3.89%"
"16-10-2024","3,390.40","3,417.00","3,422.00","3,367.10","321.47K","-0.32%"
"15-10-2024","3,401.15","3,420.00","3,438.60","3,368.60","1.04M","0.17%"
"14-10-2024","3,395.30","3,368.00","3,430.00","3,353.75","768.82K","1.62%"
"11-10-2024","3,341.20","3,350.00","3,357.90","3,308.05","359.92K","0.11%"
"10-10-2024","3,337.65","3,400.00","3,415.95","3,325.90","748.08K","-1.48%"
"09-10-2024","3,387.95","3,354.50","3,480.00","3,340.00","1.31M","1.76%"
"08-10-2024","3,329.30","3,278.00","3,373.05","3,278.00","1.82M","0.91%"
"07-10-2024","3,299.35","3,369.80","3,413.00","3,256.00","1.10M","-1.11%"
"04-10-2024","3,336.30","3,407.00","3,414.50","3,315.50","1.77M","-2.15%"
"03-10-2024","3,409.50","3,570.00","3,574.90","3,400.05","1.61M","-4.51%"
"01-10-2024","3,570.40","3,577.00","3,627.80","3,557.80","676.23K","-0.18%"
"30-09-2024","3,576.95","3,613.95","3,644.95","3,568.00","881.14K","-1.22%"
"27-09-2024","3,621.05","3,618.00","3,652.25","3,595.80","993.44K","-0.20%"
"26-09-2024","3,628.45","3,537.10","3,637.00","3,529.55","1.07M","2.96%"
"25-09-2024","3,524.05","3,516.30","3,539.80","3,458.00","760.33K","0.22%"
"24-09-2024","3,516.30","3,581.50","3,581.50","3,502.00","1.34M","-1.44%"
"23-09-2024","3,567.70","3,550.95","3,612.00","3,540.00","587.01K","1.01%"
"20-09-2024","3,532.10","3,539.00","3,586.00","3,517.00","1.28M","0.19%"
"19-09-2024","3,525.35","3,571.55","3,623.65","3,500.00","1.29M","-1.38%"
"18-09-2024","3,574.70","3,444.50","3,589.95","3,440.00","2.12M","4.38%"
"17-09-2024","3,424.60","3,415.00","3,466.75","3,407.45","1.61M","0.17%"
"16-09-2024","3,418.95","3,378.00","3,439.85","3,362.60","944.96K","1.51%"
"13-09-2024","3,368.25","3,399.70","3,425.00","3,365.00","957.34K","-0.96%"
"12-09-2024","3,400.75","3,300.00","3,412.40","3,295.55","1.83M","3.68%"
"11-09-2024","3,279.90","3,265.05","3,298.00","3,254.10","589.26K","0.61%"
"10-09-2024","3,260.05","3,327.90","3,337.90","3,230.15","1.24M","-1.68%"
"09-09-2024","3,315.70","3,290.00","3,323.20","3,216.10","1.62M","2.47%"
"06-09-2024","3,235.65","3,253.90","3,266.95","3,220.20","611.61K","-0.30%"
"05-09-2024","3,245.50","3,246.95","3,294.00","3,229.15","673.66K","0.05%"
"04-09-2024","3,243.95","3,237.05","3,281.95","3,226.00","693.48K","-0.85%"
"03-09-2024","3,271.60","3,211.00","3,283.05","3,190.05","1.44M","1.44%"
"02-09-2024","3,225.25","3,219.95","3,258.40","3,214.05","633.15K","0.65%"
"30-08-2024","3,204.50","3,200.75","3,224.40","3,177.00","2.21M","0.12%"
"29-08-2024","3,200.50","3,199.00","3,262.00","3,174.55","1.20M","-0.04%"
"28-08-2024","3,201.85","3,225.00","3,248.00","3,191.75","670.44K","-0.85%"
"27-08-2024","3,229.45","3,153.90","3,268.90","3,116.00","1.98M","2.13%"
"26-08-2024","3,162.15","3,140.00","3,179.75","3,111.00","673.21K","1.14%"
"23-08-2024","3,126.55","3,160.00","3,162.30","3,117.70","493.39K","-0.54%"
"22-08-2024","3,143.60","3,165.00","3,166.95","3,123.30","922.14K","-0.49%"
"21-08-2024","3,159.05","3,139.95","3,190.00","3,116.85","1.05M","-0.03%"
"20-08-2024","3,159.85","3,118.00","3,177.00","3,052.30","2.43M","2.74%"
"19-08-2024","3,075.60","3,028.00","3,085.00","3,013.05","1.82M","3.16%"
"16-08-2024","2,981.50","2,913.00","2,991.90","2,902.05","995.22K","2.98%"
"14-08-2024","2,895.10","2,901.00","2,916.60","2,864.00","725.23K","0.13%"
"13-08-2024","2,891.35","2,980.00","2,995.45","2,860.50","1.45M","-2.85%"
"12-08-2024","2,976.10","2,949.95","3,015.00","2,927.60","1.14M","0.61%"
"09-08-2024","2,958.10","2,910.00","2,973.35","2,880.10","913.76K","2.99%"
"08-08-2024","2,872.20","2,920.00","2,920.00","2,858.60","886.81K","-1.81%"
"07-08-2024","2,925.05","2,890.10","2,932.10","2,870.55","797.34K","3.11%"
