"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","7,050.60","6,999.00","7,110.00","6,938.65","252.10K","1.34%"
"05-11-2024","6,957.65","6,950.05","6,998.00","6,820.25","262.96K","0.05%"
"04-11-2024","6,954.00","7,006.90","7,006.90","6,783.20","284.90K","0.07%"
"01-11-2024","6,949.10","6,976.35","7,008.95","6,876.35","17.74K","-0.39%"
"31-10-2024","6,976.30","6,910.00","7,008.15","6,910.00","170.62K","0.67%"
"30-10-2024","6,930.05","6,917.00","7,012.80","6,821.00","195.68K","0.33%"
"29-10-2024","6,907.60","6,790.00","6,919.70","6,670.00","251.36K","2.31%"
"28-10-2024","6,751.35","6,796.45","6,867.20","6,695.00","274.78K","-0.37%"
"25-10-2024","6,776.45","6,880.00","6,897.85","6,656.15","314.83K","-1.04%"
"24-10-2024","6,848.00","6,899.00","6,971.95","6,716.00","462.77K","-0.35%"
"23-10-2024","6,872.05","7,238.00","7,276.65","6,850.95","477.01K","-5.07%"
"22-10-2024","7,238.70","7,481.60","7,481.60","7,210.85","464.52K","-3.25%"
"21-10-2024","7,481.60","7,840.00","7,873.45","7,454.05","226.56K","-4.12%"
"18-10-2024","7,803.00","7,720.10","7,854.60","7,565.00","274.62K","1.11%"
"17-10-2024","7,717.65","7,986.30","8,000.00","7,650.30","388.93K","-3.36%"
"16-10-2024","7,986.30","7,870.05","8,129.90","7,856.05","972.51K","1.48%"
"15-10-2024","7,870.05","7,805.50","7,880.10","7,703.75","350.98K","1.87%"
"14-10-2024","7,725.40","7,780.00","7,785.00","7,674.00","161.51K","-0.32%"
"11-10-2024","7,749.90","7,690.00","7,779.95","7,558.00","220.75K","0.82%"
"10-10-2024","7,686.75","7,700.00","7,739.85","7,591.15","218.83K","0.12%"
"09-10-2024","7,677.20","7,375.00","7,743.10","7,364.90","528.41K","4.14%"
"08-10-2024","7,372.15","7,010.00","7,399.95","6,955.25","333.42K","5.34%"
"07-10-2024","6,998.15","7,305.85","7,337.95","6,976.10","259.01K","-3.43%"
"04-10-2024","7,246.85","7,345.00","7,368.55","7,182.00","277.94K","-1.36%"
