"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,401.45","1,365.80","1,414.00","1,350.95","465.24K","2.99%"
"05-11-2024","1,360.80","1,343.00","1,367.95","1,330.00","370.43K","0.41%"
"04-11-2024","1,355.25","1,381.00","1,381.35","1,344.00","349.73K","-2.26%"
"01-11-2024","1,386.65","1,369.50","1,424.00","1,369.50","34.09K","1.72%"
"31-10-2024","1,363.15","1,380.00","1,387.30","1,353.05","416.48K","-1.68%"
"30-10-2024","1,386.40","1,389.05","1,405.00","1,378.25","370.64K","0.58%"
"29-10-2024","1,378.40","1,368.00","1,414.00","1,340.00","352.17K","0.70%"
"28-10-2024","1,368.80","1,370.00","1,392.40","1,350.10","358.29K","-0.11%"
"25-10-2024","1,370.35","1,405.00","1,412.50","1,351.00","402.75K","-2.50%"
"24-10-2024","1,405.55","1,430.00","1,439.75","1,402.00","371.84K","-1.77%"
"23-10-2024","1,430.90","1,432.00","1,461.20","1,401.00","345.63K","-0.03%"
"22-10-2024","1,431.35","1,480.00","1,490.10","1,411.00","408.57K","-3.49%"
"21-10-2024","1,483.05","1,489.55","1,503.95","1,475.00","248.10K","-0.44%"
"18-10-2024","1,489.55","1,488.10","1,498.00","1,435.00","488.69K","0.30%"
"17-10-2024","1,485.05","1,512.05","1,524.00","1,473.10","389.63K","-1.56%"
"16-10-2024","1,508.65","1,540.55","1,540.55","1,501.00","419.59K","-1.48%"
"15-10-2024","1,531.35","1,510.00","1,544.00","1,492.30","439.31K","1.75%"
"14-10-2024","1,505.00","1,496.30","1,514.00","1,490.00","349.90K","0.96%"
"11-10-2024","1,490.70","1,509.85","1,515.50","1,476.15","355.54K","-1.27%"
"10-10-2024","1,509.85","1,562.75","1,564.40","1,502.00","377.47K","-2.22%"
"09-10-2024","1,544.20","1,570.00","1,594.00","1,541.00","843.90K","0.77%"
"08-10-2024","1,532.35","1,521.00","1,549.95","1,507.35","338.05K","0.13%"
"07-10-2024","1,530.30","1,555.00","1,563.75","1,483.05","590.09K","-0.37%"
"04-10-2024","1,536.05","1,591.85","1,591.85","1,511.00","900.26K","-2.75%"
"03-10-2024","1,579.55","1,591.00","1,608.00","1,561.00","539.65K","-2.07%"
"01-10-2024","1,612.90","1,600.90","1,617.85","1,590.75","502.75K","0.95%"
"30-09-2024","1,597.75","1,605.05","1,610.55","1,588.40","788.83K","0.59%"
"27-09-2024","1,588.30","1,604.90","1,614.50","1,578.00","574.82K","-0.83%"
"26-09-2024","1,601.60","1,575.00","1,647.00","1,575.00","883.89K","1.41%"
"25-09-2024","1,579.30","1,584.65","1,597.85","1,559.10","518.11K","0.39%"
"24-09-2024","1,573.20","1,594.85","1,605.00","1,566.05","652.11K","0.24%"
"23-09-2024","1,569.50","1,535.00","1,581.95","1,519.80","1.26M","2.76%"
"20-09-2024","1,527.40","1,481.00","1,548.00","1,473.15","2.64M","3.29%"
"19-09-2024","1,478.80","1,484.90","1,506.70","1,476.00","571.07K","-0.29%"
"18-09-2024","1,483.05","1,498.85","1,498.85","1,472.30","448.89K","-0.24%"
"17-09-2024","1,486.65","1,484.40","1,499.85","1,469.00","602.93K","0.11%"
"16-09-2024","1,485.05","1,496.00","1,498.85","1,475.65","440.30K","0.22%"
"13-09-2024","1,481.75","1,482.00","1,492.00","1,476.40","451.95K","0.24%"
"12-09-2024","1,478.15","1,465.15","1,481.90","1,459.35","559.57K","0.89%"
"11-09-2024","1,465.15","1,459.50","1,470.30","1,453.25","619.49K","0.02%"
"10-09-2024","1,464.85","1,462.85","1,470.00","1,458.00","532.72K","0.45%"
"09-09-2024","1,458.30","1,448.35","1,464.10","1,433.50","635.60K","1.48%"
"06-09-2024","1,437.10","1,469.00","1,472.90","1,431.00","682.73K","-1.92%"
"05-09-2024","1,465.30","1,444.30","1,468.90","1,440.90","850.72K","2.30%"
