"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","5,145.60","5,065.00","5,167.55","5,056.05","32.57K","1.90%"
"05-11-2024","5,049.85","5,148.50","5,173.80","5,024.00","27.78K","-2.11%"
"04-11-2024","5,158.95","5,192.10","5,226.10","5,086.10","19.00K","-1.54%"
"01-11-2024","5,239.75","5,159.00","5,255.00","5,155.50","3.78K","1.57%"
"31-10-2024","5,158.70","5,109.05","5,213.95","5,102.70","75.69K","0.97%"
"30-10-2024","5,109.05","5,080.00","5,164.60","5,062.00","123.73K","0.57%"
"29-10-2024","5,080.00","5,064.90","5,098.00","4,992.65","12.32K","0.83%"
"28-10-2024","5,038.40","5,092.05","5,092.05","4,992.10","98.33K","-1.11%"
"25-10-2024","5,095.10","5,172.80","5,191.90","5,035.30","27.34K","-1.40%"
"24-10-2024","5,167.65","5,168.90","5,210.10","5,115.55","25.46K","0.02%"
"23-10-2024","5,166.85","5,148.15","5,257.05","5,148.15","20.72K","-0.55%"
"22-10-2024","5,195.30","5,275.00","5,319.40","5,165.00","35.29K","-2.07%"
"21-10-2024","5,305.30","5,357.25","5,365.00","5,271.10","26.80K","-0.72%"
"18-10-2024","5,343.85","5,306.75","5,359.80","5,231.00","56.74K","0.59%"
"17-10-2024","5,312.60","5,440.00","5,444.70","5,290.00","48.13K","-2.23%"
"16-10-2024","5,434.00","5,417.60","5,449.90","5,361.50","22.93K","0.13%"
"15-10-2024","5,427.10","5,439.20","5,440.00","5,381.05","31.08K","0.30%"
"14-10-2024","5,410.70","5,439.90","5,440.00","5,370.10","17.60K","-0.05%"
"11-10-2024","5,413.20","5,407.45","5,437.00","5,330.05","24.44K","0.11%"
"10-10-2024","5,407.45","5,385.00","5,443.45","5,301.10","230.55K","0.61%"
"09-10-2024","5,374.55","5,352.00","5,492.60","5,303.00","152.72K","3.98%"
"08-10-2024","5,168.90","5,163.30","5,235.35","5,116.00","20.62K","0.12%"
"07-10-2024","5,162.50","5,342.00","5,342.00","5,074.10","53.33K","-2.85%"
"04-10-2024","5,314.15","5,436.00","5,450.60","5,301.10","30.35K","-2.24%"
"03-10-2024","5,436.00","5,401.00","5,459.00","5,358.90","90.64K","-0.09%"
"01-10-2024","5,440.95","5,411.00","5,468.95","5,401.00","21.76K","0.09%"
"30-09-2024","5,436.20","5,411.00","5,463.95","5,411.00","41.77K","0.48%"
"27-09-2024","5,410.20","5,487.00","5,500.00","5,401.00","25.63K","-0.24%"
"26-09-2024","5,423.20","5,424.95","5,465.00","5,355.05","31.39K","0.26%"
"25-09-2024","5,408.90","5,450.15","5,520.00","5,357.70","41.05K","0.07%"
"24-09-2024","5,404.95","5,382.90","5,490.00","5,355.00","255.49K","0.41%"
"23-09-2024","5,382.90","5,385.05","5,404.85","5,345.00","14.43K","-0.04%"
"20-09-2024","5,384.85","5,392.20","5,408.80","5,325.05","16.34K","-0.14%"
"19-09-2024","5,392.20","5,409.90","5,430.10","5,255.00","38.97K","0.20%"
"18-09-2024","5,381.60","5,580.00","5,580.00","5,350.00","128.11K","-0.74%"
"17-09-2024","5,421.60","5,459.40","5,470.65","5,413.05","108.48K","-0.69%"
"16-09-2024","5,459.40","5,476.60","5,503.20","5,433.15","39.95K","0.21%"
"13-09-2024","5,447.90","5,447.15","5,465.00","5,403.05","43.87K","0.29%"
"12-09-2024","5,432.20","5,476.20","5,511.55","5,386.05","70.68K","-0.04%"
"11-09-2024","5,434.20","5,299.00","5,550.00","5,277.75","111.94K","2.60%"
"10-09-2024","5,296.35","5,314.15","5,338.15","5,254.10","90.26K","0.67%"
"09-09-2024","5,261.25","5,258.55","5,291.85","5,177.20","17.27K","0.05%"
"06-09-2024","5,258.55","5,305.05","5,362.75","5,245.25","25.29K","-1.13%"
"05-09-2024","5,318.60","5,414.50","5,421.90","5,302.80","25.68K","-1.28%"
"04-09-2024","5,387.55","5,250.00","5,423.95","5,250.00","43.83K","1.64%"
"03-09-2024","5,300.85","5,254.00","5,350.15","5,236.80","45.81K","1.54%"
"02-09-2024","5,220.25","5,284.95","5,310.65","5,198.00","121.89K","-1.12%"
"30-08-2024","5,279.20","5,280.00","5,290.00","5,222.75","58.02K","0.57%"
"29-08-2024","5,249.15","5,216.00","5,270.00","5,180.00","63.36K","0.82%"
"28-08-2024","5,206.35","5,291.80","5,293.50","5,184.10","94.64K","-0.54%"
"27-08-2024","5,234.45","5,276.30","5,312.35","5,216.65","145.39K","-0.78%"
"26-08-2024","5,275.80","5,260.10","5,297.00","5,235.05","78.60K","0.33%"
"23-08-2024","5,258.70","5,289.00","5,316.10","5,241.15","29.09K","-0.56%"
