"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","10,210.85","10,150.45","10,270.00","10,052.50","49.79K","1.93%"
"05-11-2024","10,017.50","9,886.10","10,105.95","9,680.00","118.16K","1.31%"
"04-11-2024","9,887.65","10,370.05","10,370.05","9,830.00","105.71K","-4.92%"
"01-11-2024","10,398.75","10,400.00","10,533.60","10,255.05","8.82K","1.65%"
"31-10-2024","10,230.00","10,520.00","10,520.00","10,172.15","66.01K","-2.99%"
"30-10-2024","10,545.55","10,300.00","10,665.45","10,215.70","40.03K","2.01%"
"29-10-2024","10,337.85","10,254.45","10,400.00","10,061.60","38.93K","0.42%"
"28-10-2024","10,294.40","10,500.00","10,555.05","10,210.00","46.88K","-1.63%"
"25-10-2024","10,464.85","10,508.40","10,525.00","10,185.30","56.00K","0.38%"
"24-10-2024","10,425.50","10,840.00","11,000.00","10,370.70","43.92K","-4.04%"
"23-10-2024","10,864.45","10,779.95","10,969.95","10,530.00","45.35K","0.56%"
"22-10-2024","10,803.80","11,333.95","11,333.95","10,610.00","45.24K","-4.09%"
"21-10-2024","11,264.90","11,421.80","11,624.80","11,177.15","48.93K","-1.37%"
"18-10-2024","11,421.80","11,175.00","11,455.10","10,862.25","44.42K","2.22%"
"17-10-2024","11,173.95","11,420.00","11,570.00","11,025.05","36.45K","-3.02%"
"16-10-2024","11,522.40","11,443.15","11,570.00","11,280.90","44.07K","1.19%"
"15-10-2024","11,386.45","11,235.05","11,537.40","11,126.70","57.28K","0.78%"
"14-10-2024","11,298.10","11,318.00","11,340.95","11,150.00","25.90K","-0.18%"
"11-10-2024","11,318.45","11,306.00","11,392.25","11,208.00","35.27K","0.19%"
"10-10-2024","11,297.25","11,411.00","11,418.70","11,222.00","37.44K","0.53%"
"09-10-2024","11,237.85","11,352.20","11,394.75","11,147.75","41.84K","-0.32%"
"08-10-2024","11,273.40","10,501.00","11,444.00","10,501.00","57.54K","4.72%"
"07-10-2024","10,765.55","10,865.00","10,949.95","10,349.05","63.73K","-1.68%"
"04-10-2024","10,949.90","11,301.00","11,342.55","10,905.00","38.51K","-3.80%"
"03-10-2024","11,382.65","11,305.70","11,435.00","11,250.00","30.26K","-1.34%"
"01-10-2024","11,537.75","11,528.00","11,680.00","11,361.15","23.75K","0.07%"
"30-09-2024","11,529.85","11,735.85","11,830.50","11,400.00","66.31K","-1.76%"
"27-09-2024","11,735.85","11,761.45","12,124.05","10,974.10","178.17K","-0.23%"
"26-09-2024","11,762.65","11,698.80","11,799.35","11,352.50","48.68K","1.04%"
"25-09-2024","11,641.90","11,454.00","11,724.40","11,454.00","56.25K","2.05%"
"24-09-2024","11,407.65","11,019.85","11,555.00","11,001.00","76.22K","3.49%"
"23-09-2024","11,022.50","11,092.10","11,160.00","10,900.00","31.39K","-0.62%"
"20-09-2024","11,090.80","10,883.40","11,299.70","10,849.80","72.95K","2.07%"
"19-09-2024","10,865.50","10,605.00","10,950.00","10,605.00","32.68K","1.16%"
"18-09-2024","10,741.25","10,879.95","10,879.95","10,510.60","26.66K","-0.47%"
"17-09-2024","10,792.35","10,836.90","10,914.95","10,717.10","46.59K","0.23%"
"16-09-2024","10,767.30","11,194.95","11,195.40","10,679.00","40.54K","-3.05%"
"13-09-2024","11,106.10","11,090.00","11,250.00","11,025.00","64.46K","-0.07%"
"12-09-2024","11,114.20","11,055.05","11,298.85","10,910.00","54.65K","0.99%"
"11-09-2024","11,005.35","10,828.00","11,151.00","10,763.55","71.23K","1.76%"
"10-09-2024","10,815.20","10,908.80","11,100.00","10,750.00","50.27K","-0.61%"
"09-09-2024","10,881.50","11,000.00","11,044.00","10,806.85","55.31K","-1.37%"
"06-09-2024","11,032.85","10,879.95","11,195.00","10,806.45","69.78K","1.40%"
"05-09-2024","10,880.35","11,040.45","11,164.35","10,801.00","40.23K","-1.45%"
"04-09-2024","11,040.45","10,765.55","11,091.20","10,713.60","32.36K","1.50%"
"03-09-2024","10,876.85","11,175.00","11,201.05","10,800.00","39.01K","-1.73%"
"02-09-2024","11,068.05","10,729.00","11,130.90","10,627.50","68.92K","3.16%"
"30-08-2024","10,729.00","10,490.00","10,935.00","10,407.65","161.56K","3.09%"
"29-08-2024","10,407.65","10,398.00","10,548.85","10,155.00","67.80K","0.09%"
"28-08-2024","10,398.05","10,480.00","10,588.00","10,303.75","32.64K","-0.54%"
"27-08-2024","10,454.55","10,510.05","10,739.00","10,400.00","74.21K","-0.65%"
"26-08-2024","10,522.50","10,685.00","10,739.95","10,500.00","36.54K","-0.94%"
"23-08-2024","10,622.80","10,493.50","10,696.00","10,401.00","57.00K","2.19%"
"22-08-2024","10,395.50","10,330.00","10,499.95","10,254.05","31.17K","1.37%"
"21-08-2024","10,254.55","10,499.95","10,499.95","10,200.00","27.44K","-2.01%"
"20-08-2024","10,465.10","10,387.25","10,515.65","10,251.00","25.90K","0.75%"
"19-08-2024","10,387.25","10,580.00","10,592.75","10,300.00","31.24K","-1.05%"
"16-08-2024","10,497.45","10,243.90","10,510.00","10,150.00","47.83K","3.30%"
"14-08-2024","10,162.55","10,101.00","10,195.00","9,967.55","82.54K","0.98%"
"13-08-2024","10,063.90","10,330.00","10,343.95","10,000.00","29.94K","-1.19%"
"12-08-2024","10,185.00","10,250.05","10,289.70","10,118.15","40.15K","-1.44%"
"09-08-2024","10,333.60","10,327.00","10,444.00","10,278.05","29.54K","0.53%"
"08-08-2024","10,278.95","10,218.75","10,360.00","10,080.05","101.78K","0.59%"
"07-08-2024","10,218.75","10,600.00","10,608.05","10,138.45","97.57K","0.33%"
"06-08-2024","10,185.00","10,400.00","10,850.00","10,110.15","113.70K","-1.35%"
"05-08-2024","10,324.85","10,350.00","10,435.00","10,100.35","82.27K","-2.93%"
"02-08-2024","10,636.35","10,601.25","10,919.95","10,601.25","55.08K","-0.78%"
"01-08-2024","10,719.95","10,849.00","10,850.00","10,659.90","28.42K","-0.59%"
"31-07-2024","10,783.40","10,876.00","10,897.00","10,649.60","120.61K","-0.76%"
