"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","148.72","143.64","149.06","143.64","3.88M","3.65%"
"05-11-2024","143.48","141.10","143.95","141.00","2.51M","1.04%"
"04-11-2024","142.00","145.39","145.45","139.78","2.96M","-2.24%"
"01-11-2024","145.25","144.22","145.90","144.19","538.89K","0.71%"
"31-10-2024","144.22","145.00","146.41","143.17","2.33M","-0.98%"
"30-10-2024","145.64","143.20","146.37","142.00","3.37M","1.70%"
"29-10-2024","143.20","139.50","143.91","139.50","4.79M","2.07%"
"28-10-2024","140.29","136.00","141.88","134.33","4.66M","3.92%"
"25-10-2024","135.00","140.00","140.49","134.01","4.94M","-2.97%"
"24-10-2024","139.13","140.30","142.36","137.26","3.86M","0.11%"
"23-10-2024","138.98","133.99","140.70","131.13","8.82M","4.38%"
"22-10-2024","133.15","142.10","142.74","132.30","7.42M","-6.35%"
"21-10-2024","142.18","144.95","145.40","141.21","4.62M","-1.35%"
"18-10-2024","144.12","140.00","144.68","136.57","10.54M","2.34%"
"17-10-2024","140.82","147.21","148.25","139.67","7.80M","-4.03%"
"16-10-2024","146.74","148.21","149.11","146.20","4.63M","-1.12%"
"15-10-2024","148.40","151.40","151.89","147.80","4.48M","-1.70%"
"14-10-2024","150.97","154.00","154.32","150.41","3.33M","-1.97%"
"11-10-2024","154.01","153.50","154.94","152.00","3.56M","0.91%"
"10-10-2024","152.62","152.60","155.09","151.60","3.88M","0.97%"
"09-10-2024","151.15","151.40","156.05","150.50","4.13M","0.51%"
"08-10-2024","150.38","148.80","151.63","146.46","5.69M","1.06%"
"07-10-2024","148.80","158.75","159.40","147.12","9.41M","-5.53%"
"04-10-2024","157.51","160.00","161.04","156.00","4.98M","-1.24%"
"03-10-2024","159.48","160.00","160.90","158.20","6.47M","-1.62%"
"01-10-2024","162.11","163.10","164.34","161.80","3.19M","-0.48%"
"30-09-2024","162.89","165.00","165.84","161.48","8.29M","-2.39%"
