"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,823.45","4,914.95","4,995.00","4,760.65","89.46K","-1.96%"
"05-11-2024","4,919.85","4,925.05","5,020.00","4,814.95","99.36K","-1.05%"
"04-11-2024","4,972.05","4,860.00","5,025.00","4,815.00","92.30K","2.08%"
"01-11-2024","4,870.65","4,820.00","4,900.00","4,804.25","3.45K","1.38%"
"31-10-2024","4,804.25","4,849.10","5,015.25","4,762.00","87.35K","-0.81%"
"30-10-2024","4,843.55","4,719.50","4,890.00","4,652.20","45.79K","2.63%"
"29-10-2024","4,719.50","4,716.55","4,747.00","4,581.60","40.78K","1.23%"
"28-10-2024","4,662.30","4,801.05","4,849.95","4,629.00","35.83K","-4.01%"
"25-10-2024","4,857.00","4,715.05","4,940.60","4,633.10","74.65K","3.28%"
"24-10-2024","4,702.60","4,904.95","4,909.10","4,655.00","69.31K","-4.11%"
"23-10-2024","4,904.20","4,915.55","5,009.90","4,830.25","55.98K","-0.97%"
"22-10-2024","4,952.35","5,049.95","5,065.00","4,919.50","88.62K","-2.27%"
"21-10-2024","5,067.30","5,044.00","5,170.05","4,952.95","61.69K","-0.58%"
"18-10-2024","5,097.05","4,857.70","5,269.85","4,712.55","158.84K","5.37%"
"17-10-2024","4,837.35","4,986.00","5,040.50","4,812.05","34.10K","-2.21%"
"16-10-2024","4,946.65","5,075.05","5,075.05","4,927.55","31.63K","-2.58%"
"15-10-2024","5,077.90","5,125.00","5,189.90","5,045.00","60.02K","-0.56%"
"14-10-2024","5,106.40","5,063.25","5,174.95","5,042.25","39.31K","1.19%"
"11-10-2024","5,046.10","5,186.35","5,238.25","5,020.55","29.32K","-2.46%"
"10-10-2024","5,173.45","5,324.00","5,330.00","5,133.45","36.82K","-2.34%"
"09-10-2024","5,297.65","5,369.35","5,399.95","5,254.50","52.36K","-1.34%"
"08-10-2024","5,369.35","5,300.00","5,465.90","5,280.05","99.42K","0.38%"
"07-10-2024","5,349.10","5,345.00","5,406.05","5,165.25","79.72K","0.31%"
"04-10-2024","5,332.80","5,139.00","5,380.00","5,093.05","106.88K","3.49%"
"03-10-2024","5,153.20","5,175.00","5,249.80","5,050.20","50.29K","-1.86%"
"01-10-2024","5,250.85","5,243.00","5,290.55","5,162.00","69.58K","-0.39%"
"30-09-2024","5,271.15","5,339.00","5,389.95","5,217.85","77.72K","-1.27%"
"27-09-2024","5,339.00","5,092.30","5,535.85","5,035.30","298.57K","4.84%"
"26-09-2024","5,092.30","4,945.70","5,150.00","4,861.05","173.68K","2.96%"
"25-09-2024","4,945.70","5,075.00","5,125.00","4,912.50","63.72K","-1.70%"
"24-09-2024","5,031.00","5,000.25","5,050.00","4,936.45","60.43K","0.61%"
"23-09-2024","5,000.30","5,050.00","5,050.00","4,921.00","70.76K","-1.05%"
"20-09-2024","5,053.30","5,005.00","5,100.00","4,925.15","189.86K","1.06%"
"19-09-2024","5,000.50","4,933.75","5,061.65","4,833.55","93.85K","1.14%"
"18-09-2024","4,944.35","4,972.65","4,987.75","4,900.05","27.35K","-0.74%"
"17-09-2024","4,981.25","4,904.20","4,998.45","4,867.00","60.84K","1.59%"
"16-09-2024","4,903.20","4,841.90","4,966.35","4,825.05","44.94K","1.27%"
"13-09-2024","4,841.90","4,885.05","5,039.95","4,811.75","92.84K","-1.34%"
"12-09-2024","4,907.45","4,649.00","4,943.30","4,649.00","213.72K","6.16%"
"11-09-2024","4,622.75","4,753.55","4,800.00","4,600.00","129.33K","-2.25%"
"10-09-2024","4,729.35","4,841.30","4,959.10","4,705.20","90.40K","-2.05%"
"09-09-2024","4,828.40","4,808.50","4,878.00","4,782.10","89.60K","0.57%"
"06-09-2024","4,800.80","4,924.35","4,945.10","4,774.50","111.74K","-2.05%"
"05-09-2024","4,901.45","4,927.25","5,050.00","4,843.15","87.36K","-0.52%"
"04-09-2024","4,927.25","4,849.00","5,000.95","4,780.00","96.01K","1.18%"
"03-09-2024","4,869.55","5,013.30","5,070.00","4,803.15","84.51K","-1.99%"
"02-09-2024","4,968.20","5,050.00","5,133.75","4,926.45","100.52K","-1.63%"
"30-08-2024","5,050.60","4,705.95","5,166.00","4,685.05","583.29K","6.93%"
"29-08-2024","4,723.20","4,645.85","4,800.00","4,607.55","92.17K","1.24%"
"28-08-2024","4,665.50","4,589.65","4,715.70","4,487.10","77.93K","1.89%"
"27-08-2024","4,579.10","4,399.00","4,615.00","4,360.85","87.05K","4.98%"
"26-08-2024","4,361.90","4,287.35","4,390.00","4,268.85","83.82K","1.85%"
"23-08-2024","4,282.75","4,405.65","4,423.35","4,240.55","128.05K","-3.03%"
"22-08-2024","4,416.45","4,204.00","4,437.95","4,201.20","79.70K","5.12%"
"21-08-2024","4,201.20","4,240.00","4,269.80","4,139.10","59.44K","-1.23%"
"20-08-2024","4,253.50","4,110.00","4,299.00","4,107.05","78.03K","3.89%"
"19-08-2024","4,094.05","3,987.25","4,125.00","3,973.10","105.28K","1.93%"
"16-08-2024","4,016.65","3,813.25","4,034.95","3,813.25","54.05K","3.62%"
"14-08-2024","3,876.35","3,882.75","3,909.00","3,765.50","113.35K","0.58%"
"13-08-2024","3,854.05","3,925.00","3,926.70","3,820.00","378.45K","-0.96%"
"12-08-2024","3,891.55","3,800.00","3,908.00","3,732.90","270.65K","2.16%"
"09-08-2024","3,809.30","3,770.05","3,864.90","3,762.65","44.62K","1.04%"
"08-08-2024","3,770.00","3,902.05","3,950.00","3,755.00","99.32K","-3.62%"
"07-08-2024","3,911.60","3,858.45","3,928.60","3,809.90","82.35K","1.89%"
"06-08-2024","3,838.95","4,081.00","4,114.00","3,816.00","240.42K","-4.86%"
"05-08-2024","4,035.10","4,170.00","4,256.95","4,005.00","243.24K","-4.47%"
"02-08-2024","4,223.70","4,340.00","4,405.10","4,200.00","101.76K","-2.41%"
"01-08-2024","4,328.20","4,350.00","4,372.55","4,244.85","38.66K","0.07%"
"31-07-2024","4,325.15","4,343.30","4,364.95","4,300.00","40.93K","-0.42%"
"30-07-2024","4,343.35","4,320.00","4,408.50","4,252.20","153.82K","0.71%"
"29-07-2024","4,312.60","4,380.00","4,418.00","4,299.00","70.63K","-2.35%"
"26-07-2024","4,416.50","4,460.00","4,468.15","4,399.10","20.83K","-1.17%"
"25-07-2024","4,468.85","4,498.05","4,538.00","4,450.00","16.36K","-0.93%"
"24-07-2024","4,510.85","4,571.00","4,633.70","4,480.00","58.79K","-2.92%"
"23-07-2024","4,646.75","4,320.00","4,843.50","4,252.50","180.67K","7.55%"
"22-07-2024","4,320.70","4,212.15","4,459.00","4,135.20","135.26K","2.81%"
"19-07-2024","4,202.45","4,233.40","4,260.10","4,171.35","41.33K","-0.73%"
