"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,666.20","1,607.90","1,695.65","1,591.30","354.19K","4.71%"
"05-11-2024","1,591.30","1,573.35","1,603.55","1,543.65","120.82K","1.61%"
"04-11-2024","1,566.15","1,575.00","1,597.00","1,543.05","203.86K","-2.14%"
"01-11-2024","1,600.45","1,610.00","1,611.85","1,588.20","9.86K","0.76%"
"31-10-2024","1,588.40","1,590.00","1,617.50","1,562.00","230.90K","-1.04%"
"30-10-2024","1,605.10","1,545.55","1,615.00","1,540.00","273.70K","3.45%"
"29-10-2024","1,551.55","1,558.80","1,578.60","1,515.00","317.76K","0.69%"
"28-10-2024","1,540.85","1,532.05","1,574.45","1,516.05","416.90K","-0.55%"
"25-10-2024","1,549.35","1,624.25","1,624.25","1,532.40","183.15K","-3.85%"
"24-10-2024","1,611.40","1,669.00","1,677.75","1,600.00","86.98K","-2.66%"
"23-10-2024","1,655.35","1,673.95","1,690.95","1,630.30","176.96K","-0.80%"
"22-10-2024","1,668.65","1,709.95","1,709.95","1,643.00","211.78K","-2.32%"
"21-10-2024","1,708.30","1,726.10","1,759.85","1,700.00","105.17K","-1.81%"
"18-10-2024","1,739.85","1,731.00","1,754.00","1,697.00","106.10K","-1.00%"
"17-10-2024","1,757.40","1,820.00","1,825.00","1,751.60","76.39K","-3.39%"
"16-10-2024","1,819.10","1,824.00","1,830.65","1,785.40","187.48K","0.31%"
"15-10-2024","1,813.40","1,725.00","1,822.00","1,725.00","291.09K","5.11%"
"14-10-2024","1,725.25","1,701.00","1,739.00","1,701.00","115.40K","0.94%"
"11-10-2024","1,709.10","1,694.00","1,727.05","1,690.90","99.88K","0.44%"
"10-10-2024","1,701.55","1,709.95","1,747.65","1,692.40","206.53K","0.10%"
"09-10-2024","1,699.90","1,768.00","1,769.00","1,692.15","299.04K","-2.92%"
"08-10-2024","1,750.95","1,690.00","1,765.60","1,675.55","387.21K","0.53%"
"07-10-2024","1,741.70","1,772.00","1,778.65","1,707.40","251.45K","-2.74%"
"04-10-2024","1,790.85","1,800.00","1,836.80","1,766.30","165.08K","-1.75%"
"03-10-2024","1,822.80","1,838.10","1,860.00","1,760.00","212.36K","-2.25%"
"01-10-2024","1,864.75","1,922.05","1,941.90","1,850.25","182.34K","-3.90%"
"30-09-2024","1,940.40","1,979.90","1,979.90","1,916.30","149.79K","-1.38%"
"27-09-2024","1,967.55","1,984.20","2,014.20","1,951.55","181.99K","-1.43%"
"26-09-2024","1,996.15","2,009.95","2,037.00","1,975.00","199.34K","-0.96%"
"25-09-2024","2,015.40","1,985.00","2,040.00","1,942.25","173.55K","1.00%"
"24-09-2024","1,995.50","2,040.00","2,044.00","1,982.00","138.19K","-2.42%"
"23-09-2024","2,044.90","2,000.20","2,070.00","2,000.00","355.61K","2.88%"
"20-09-2024","1,987.65","1,886.95","2,028.50","1,855.00","675.96K","6.23%"
"19-09-2024","1,871.10","1,880.00","1,894.90","1,810.00","255.22K","0.05%"
"18-09-2024","1,870.20","1,870.00","1,895.00","1,822.05","483.26K","1.19%"
"17-09-2024","1,848.20","1,775.30","1,869.70","1,745.00","281.53K","4.03%"
"16-09-2024","1,776.55","1,770.90","1,815.00","1,760.00","152.24K","0.15%"
"13-09-2024","1,773.90","1,743.00","1,832.85","1,742.95","421.17K","1.80%"
"12-09-2024","1,742.45","1,760.50","1,772.00","1,732.20","88.05K","-1.72%"
"11-09-2024","1,772.90","1,723.00","1,780.00","1,699.20","479.41K","2.20%"
"10-09-2024","1,734.70","1,680.20","1,744.95","1,672.95","136.58K","4.28%"
"09-09-2024","1,663.55","1,690.50","1,723.95","1,653.00","111.86K","-2.72%"
"06-09-2024","1,710.15","1,699.00","1,723.85","1,681.25","150.55K","-0.66%"
"05-09-2024","1,721.55","1,762.00","1,762.00","1,712.00","77.00K","-1.69%"
"04-09-2024","1,751.15","1,730.05","1,759.95","1,717.00","71.43K","0.93%"
"03-09-2024","1,734.95","1,736.00","1,786.90","1,723.15","183.62K","-0.15%"
"02-09-2024","1,737.60","1,690.00","1,744.85","1,685.55","311.70K","2.83%"
"30-08-2024","1,689.75","1,705.00","1,720.90","1,678.00","295.71K","-0.94%"
"29-08-2024","1,705.75","1,725.05","1,729.90","1,691.00","178.17K","-0.96%"
"28-08-2024","1,722.20","1,713.50","1,730.00","1,688.10","75.04K","0.52%"
"27-08-2024","1,713.30","1,725.80","1,748.00","1,703.05","217.78K","-0.03%"
"26-08-2024","1,713.85","1,700.00","1,749.95","1,681.25","175.88K","1.53%"
"23-08-2024","1,687.95","1,693.00","1,709.85","1,679.00","78.45K","-0.34%"
"22-08-2024","1,693.65","1,697.00","1,708.95","1,675.35","67.01K","0.25%"
"21-08-2024","1,689.45","1,712.50","1,712.50","1,681.55","198.95K","-0.66%"
"20-08-2024","1,700.60","1,708.00","1,731.40","1,695.00","57.79K","-0.89%"
"19-08-2024","1,715.90","1,730.00","1,738.00","1,695.95","93.13K","-0.15%"
"16-08-2024","1,718.50","1,698.00","1,728.00","1,697.65","209.45K","1.41%"
"14-08-2024","1,694.65","1,696.80","1,708.65","1,676.00","117.14K","-0.13%"
"13-08-2024","1,696.80","1,725.70","1,730.00","1,675.00","154.82K","-0.47%"
"12-08-2024","1,704.75","1,708.00","1,734.95","1,676.55","284.28K","-0.21%"
"09-08-2024","1,708.40","1,670.00","1,774.90","1,670.00","343.97K","0.98%"
"08-08-2024","1,691.75","1,732.20","1,732.20","1,671.10","160.21K","-1.36%"
"07-08-2024","1,715.10","1,845.00","1,845.00","1,705.00","257.03K","-1.98%"
"06-08-2024","1,749.70","1,747.00","1,785.95","1,700.70","314.11K","0.96%"
"05-08-2024","1,733.10","1,671.80","1,777.25","1,597.00","639.82K","0.08%"
"02-08-2024","1,731.70","1,757.25","1,780.00","1,711.10","354.62K","-3.16%"
"01-08-2024","1,788.20","1,786.00","1,800.95","1,775.00","214.48K","-0.67%"
"31-07-2024","1,800.20","1,830.00","1,832.00","1,786.00","286.66K","-1.66%"
"30-07-2024","1,830.60","1,809.00","1,838.00","1,780.00","200.84K","2.11%"
"29-07-2024","1,792.80","1,808.90","1,824.00","1,780.00","222.76K","-0.38%"
"26-07-2024","1,799.55","1,829.00","1,832.70","1,778.75","1.44M","-3.38%"
"25-07-2024","1,862.45","1,802.25","1,867.95","1,802.25","98.55K","2.08%"
"24-07-2024","1,824.45","1,774.00","1,932.50","1,774.00","362.08K","2.84%"
"23-07-2024","1,774.00","1,775.00","1,871.00","1,751.30","345.55K","-1.13%"
"22-07-2024","1,794.35","1,822.00","1,844.95","1,771.45","152.79K","-2.85%"
"19-07-2024","1,846.90","1,934.95","1,934.95","1,825.80","71.96K","-4.37%"
"18-07-2024","1,931.35","1,979.95","1,979.95","1,892.75","160.76K","-1.71%"
"16-07-2024","1,964.90","1,889.90","1,979.75","1,889.90","192.54K","4.13%"
"15-07-2024","1,887.05","1,951.85","1,979.40","1,880.00","117.47K","-3.32%"
"12-07-2024","1,951.85","2,027.00","2,027.00","1,940.00","94.55K","-3.22%"
"11-07-2024","2,016.70","2,049.00","2,049.00","1,995.05","62.79K","-0.58%"
"10-07-2024","2,028.55","2,008.55","2,045.00","1,985.30","84.19K","1.00%"
"09-07-2024","2,008.55","2,025.00","2,057.00","1,992.50","54.98K","-0.74%"
"08-07-2024","2,023.50","2,025.00","2,074.95","2,009.00","76.64K","0.11%"
"05-07-2024","2,021.20","2,050.00","2,155.35","2,005.00","242.37K","-0.87%"
"04-07-2024","2,038.85","1,949.90","2,050.00","1,949.90","191.76K","4.73%"
"03-07-2024","1,946.75","2,003.00","2,003.00","1,930.05","172.90K","-2.25%"
"02-07-2024","1,991.50","1,908.95","2,010.95","1,905.55","200.19K","4.34%"
"01-07-2024","1,908.70","1,960.00","1,984.80","1,896.05","397.40K","-2.45%"
"28-06-2024","1,956.65","2,013.55","2,053.00","1,924.60","407.63K","-2.83%"
"27-06-2024","2,013.55","2,047.95","2,070.00","1,990.00","91.60K","-1.68%"
"26-06-2024","2,047.95","2,046.00","2,060.00","2,020.55","122.38K","0.05%"
"25-06-2024","2,046.95","2,017.25","2,058.10","2,001.05","213.38K","2.68%"
"24-06-2024","1,993.50","2,063.50","2,063.50","1,961.35","162.44K","-3.18%"
"21-06-2024","2,058.90","2,050.00","2,069.35","2,042.00","84.93K","0.57%"
"20-06-2024","2,047.25","2,039.10","2,075.00","2,025.00","114.98K","1.42%"
"19-06-2024","2,018.65","2,075.75","2,094.80","2,001.20","355.75K","-3.97%"
"18-06-2024","2,102.11","2,144.26","2,154.96","2,087.80","253.55K","-0.98%"
"14-06-2024","2,122.99","2,127.71","2,157.69","2,114.13","116.33K","0.87%"
"13-06-2024","2,104.59","2,053.74","2,160.80","2,053.74","794.08K","4.84%"
"12-06-2024","2,007.50","2,011.40","2,025.02","1,975.92","228.83K","-0.19%"
"11-06-2024","2,011.40","2,009.21","2,048.87","1,997.28","105.62K","0.11%"
"10-06-2024","2,009.21","2,030.38","2,118.42","1,996.31","151.83K","-1.04%"
"07-06-2024","2,030.38","1,932.02","2,076.12","1,922.34","564.54K","6.99%"
"06-06-2024","1,897.81","1,790.84","1,922.34","1,790.84","246.42K","6.99%"
"05-06-2024","1,773.81","1,761.79","1,795.80","1,658.42","204.35K","0.92%"
"04-06-2024","1,757.60","1,882.43","1,882.43","1,508.28","548.98K","-6.78%"
"03-06-2024","1,885.35","1,932.02","1,932.02","1,859.07","152.84K","1.96%"
"31-05-2024","1,849.14","1,832.40","1,870.36","1,801.74","136.45K","1.74%"
"30-05-2024","1,817.56","1,806.51","1,848.36","1,775.36","135.66K","-0.44%"
"29-05-2024","1,825.59","1,855.22","1,859.07","1,814.30","82.58K","-1.60%"
"28-05-2024","1,855.22","1,957.47","1,966.38","1,834.06","242.16K","-4.65%"
"27-05-2024","1,945.79","1,920.29","2,037.87","1,914.70","562.16K","2.69%"
"24-05-2024","1,894.74","1,834.74","1,929.39","1,820.14","374.10K","3.28%"
"23-05-2024","1,834.64","1,760.76","1,848.07","1,755.75","405.07K","4.65%"
"22-05-2024","1,753.07","1,733.31","1,766.60","1,720.81","259.51K","1.94%"
"21-05-2024","1,719.64","1,752.00","1,752.00","1,679.98","455.55K","-6.09%"
