"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","631.75","604.10","637.70","604.10","569.27K","5.13%"
"05-11-2024","600.90","607.45","613.15","597.85","156.15K","-1.48%"
"04-11-2024","609.95","614.00","614.80","598.55","187.75K","-0.90%"
"01-11-2024","615.50","617.00","624.00","612.00","29.68K","0.57%"
"31-10-2024","612.00","610.00","626.45","606.20","365.77K","1.19%"
"30-10-2024","604.80","591.95","609.90","591.20","161.39K","1.43%"
"29-10-2024","596.25","592.10","600.30","588.00","120.28K","-0.21%"
"28-10-2024","597.50","585.85","602.95","579.20","226.08K","2.49%"
"25-10-2024","583.00","603.65","610.15","580.50","233.47K","-3.78%"
"24-10-2024","605.90","612.50","615.95","601.55","213.73K","-0.13%"
"23-10-2024","606.70","596.20","613.95","582.05","592.34K","3.79%"
"22-10-2024","584.55","609.00","610.00","576.50","357.77K","-3.95%"
"21-10-2024","608.60","611.85","613.60","598.15","364.97K","0.55%"
"18-10-2024","605.30","614.60","614.60","603.30","288.60K","-2.40%"
"17-10-2024","620.20","626.75","633.80","617.00","249.14K","-1.14%"
"16-10-2024","627.35","609.00","630.00","605.10","942.69K","2.08%"
"15-10-2024","614.55","622.40","622.40","602.70","504.27K","-1.09%"
"14-10-2024","621.35","611.05","624.90","591.10","934.34K","2.25%"
"11-10-2024","607.70","573.30","619.00","573.30","2.45M","6.16%"
"10-10-2024","572.45","585.00","592.00","570.30","562.96K","-0.95%"
"09-10-2024","577.95","582.70","597.90","574.40","793.71K","0.14%"
"08-10-2024","577.15","585.00","590.50","573.50","829.18K","-2.00%"
"07-10-2024","588.95","605.50","610.55","584.75","1.42M","-2.24%"
"04-10-2024","602.45","613.70","622.00","600.65","477.50K","-1.83%"
"03-10-2024","613.70","632.45","632.45","611.20","922.26K","-3.33%"
"01-10-2024","634.85","625.55","637.30","625.55","180.75K","0.60%"
"30-09-2024","631.05","630.85","639.15","625.10","930.28K","0.13%"
"27-09-2024","630.25","639.90","647.00","627.15","1.30M","-0.23%"
"26-09-2024","631.70","638.00","638.20","628.55","231.62K","-0.92%"
"25-09-2024","637.55","643.00","655.00","628.75","262.91K","-0.66%"
"24-09-2024","641.80","642.00","648.80","635.50","249.57K","-0.02%"
"23-09-2024","641.95","647.00","650.95","639.00","205.43K","-0.74%"
"20-09-2024","646.75","652.90","656.95","637.90","544.32K","0.31%"
"19-09-2024","644.75","662.00","669.95","636.90","530.63K","-1.24%"
"18-09-2024","652.85","670.00","671.60","646.20","533.25K","-2.00%"
"17-09-2024","666.15","682.95","686.85","661.05","1.36M","-2.09%"
"16-09-2024","680.35","685.90","686.00","673.50","319.44K","-0.82%"
"13-09-2024","685.95","683.00","691.00","677.00","463.05K","1.17%"
"12-09-2024","678.00","684.00","685.70","672.75","504.89K","0.00%"
"11-09-2024","678.00","660.00","685.60","660.00","597.01K","1.43%"
"10-09-2024","668.45","662.15","672.35","650.10","711.63K","1.20%"
"09-09-2024","660.50","691.00","691.00","653.20","795.00K","-4.18%"
"06-09-2024","689.30","681.95","697.20","676.00","1.83M","2.10%"
"05-09-2024","675.15","673.70","683.80","669.10","552.17K","0.99%"
"04-09-2024","668.50","669.00","677.90","664.00","541.79K","-1.12%"
"03-09-2024","676.10","664.00","677.00","659.00","891.49K","1.65%"
"02-09-2024","665.15","665.55","672.70","654.75","522.42K","-0.09%"
"30-08-2024","665.75","663.00","672.00","648.70","1.72M","1.35%"
"29-08-2024","656.90","645.95","678.95","641.40","10.08M","5.19%"
"28-08-2024","624.50","632.65","645.00","620.50","1.12M","-0.83%"
"27-08-2024","629.75","625.00","632.00","619.85","411.68K","1.49%"
"26-08-2024","620.50","621.05","632.40","618.40","1.18M","0.34%"
"23-08-2024","618.40","630.00","631.20","615.00","1.05M","-1.30%"
"22-08-2024","626.55","618.75","631.70","617.70","497.57K","1.94%"
"21-08-2024","614.60","625.00","625.90","611.60","948.07K","-1.13%"
"20-08-2024","621.65","635.00","639.20","616.30","786.76K","-1.04%"
"19-08-2024","628.20","627.00","644.00","624.30","1.07M","2.04%"
"16-08-2024","615.65","614.90","621.95","608.50","802.32K","2.09%"
"14-08-2024","603.05","590.50","609.95","587.00","1.18M","3.30%"
"13-08-2024","583.80","607.20","609.00","579.35","880.36K","-3.35%"
"12-08-2024","604.05","600.75","609.80","591.40","691.71K","0.41%"
"09-08-2024","601.60","626.20","632.95","596.05","962.54K","-2.70%"
"08-08-2024","618.30","646.35","646.35","615.00","585.94K","-3.38%"
"07-08-2024","639.95","659.55","664.20","636.70","582.71K","-1.43%"
"06-08-2024","649.25","634.10","661.60","631.40","915.14K","3.61%"
"05-08-2024","626.60","645.00","659.00","622.00","1.06M","-4.68%"
"02-08-2024","657.35","665.50","674.65","643.10","1.72M","-1.02%"
"01-08-2024","664.15","730.00","730.00","657.20","4.63M","-9.87%"
"31-07-2024","736.85","745.00","760.20","721.05","1.13M","-2.14%"
"30-07-2024","753.00","736.05","763.70","717.25","992.86K","3.19%"
"29-07-2024","729.70","745.00","753.00","725.50","527.22K","-1.14%"
"26-07-2024","738.10","714.05","750.00","711.80","1.43M","3.37%"
"25-07-2024","714.05","720.00","728.60","709.55","935.94K","-3.20%"
"24-07-2024","737.65","683.50","752.40","680.10","4.25M","7.92%"
"23-07-2024","683.50","666.95","706.00","639.45","1.50M","3.04%"
"22-07-2024","663.35","661.80","674.40","650.00","1.15M","0.20%"
"19-07-2024","662.00","702.85","713.80","657.00","1.53M","-4.66%"
"18-07-2024","694.35","674.00","701.50","665.25","2.94M","2.39%"
"16-07-2024","678.15","688.00","695.10","673.50","701.16K","-0.97%"
"15-07-2024","684.80","703.00","744.70","678.30","2.90M","-3.62%"
"12-07-2024","710.50","628.00","740.00","628.00","9.37M","13.76%"
"11-07-2024","624.55","615.10","630.00","612.00","377.64K","1.54%"
"10-07-2024","615.05","627.00","627.30","607.75","264.97K","-1.95%"
"09-07-2024","627.30","635.00","637.90","624.00","329.90K","-0.94%"
"08-07-2024","633.25","638.30","645.55","617.00","599.58K","-0.47%"
"05-07-2024","636.25","648.00","648.90","631.00","582.60K","-1.75%"
"04-07-2024","647.60","635.00","657.30","627.25","1.60M","3.54%"
"03-07-2024","625.45","633.30","642.40","622.90","596.09K","-0.75%"
"02-07-2024","630.20","624.00","634.90","613.60","1.05M","1.40%"
"01-07-2024","621.50","595.00","625.00","592.35","1.18M","4.90%"
"28-06-2024","592.45","591.80","598.65","587.00","462.03K","0.59%"
"27-06-2024","589.00","587.50","609.65","578.10","1.15M","0.61%"
"26-06-2024","585.45","582.15","588.05","574.80","448.76K","1.56%"
"25-06-2024","576.45","590.10","593.15","575.00","482.19K","-2.02%"
"24-06-2024","588.35","604.90","604.90","578.70","890.97K","-2.77%"
"21-06-2024","605.10","610.05","635.90","597.15","2.63M","0.41%"
"20-06-2024","602.60","567.95","605.00","565.00","2.09M","6.93%"
"19-06-2024","563.55","559.25","567.60","552.05","382.85K","0.77%"
"18-06-2024","559.25","569.70","574.45","557.05","578.24K","-0.92%"
"14-06-2024","564.45","576.80","578.00","563.00","393.12K","-1.62%"
"13-06-2024","573.75","584.95","586.00","572.00","619.07K","-0.95%"
"12-06-2024","579.25","579.70","584.90","576.10","315.24K","0.77%"
"11-06-2024","574.80","585.85","588.00","572.10","333.02K","-1.89%"
"10-06-2024","585.85","591.00","591.70","573.35","818.68K","-0.03%"
"07-06-2024","586.05","545.00","590.00","542.90","3.81M","8.05%"
"06-06-2024","542.40","520.00","544.40","516.80","1.01M","5.66%"
"05-06-2024","513.35","501.00","514.60","491.10","885.37K","2.47%"
"04-06-2024","501.00","505.00","508.00","469.60","806.49K","-0.55%"
"03-06-2024","503.75","534.80","535.55","501.15","1.53M","-2.23%"
"31-05-2024","515.25","520.65","525.00","509.65","587.05K","-0.54%"
"30-05-2024","518.05","538.75","539.20","515.00","382.94K","-3.84%"
"29-05-2024","538.75","545.30","547.75","534.25","620.05K","-0.96%"
"28-05-2024","543.95","554.00","554.85","531.90","857.03K","-0.84%"
"27-05-2024","548.55","522.70","552.00","515.45","1.43M","5.89%"
"24-05-2024","518.05","524.75","527.50","516.70","322.34K","-0.85%"
"23-05-2024","522.50","523.00","533.80","519.55","534.08K","0.62%"
"22-05-2024","519.30","527.50","529.25","511.65","1.04M","-0.96%"
"21-05-2024","524.35","539.90","539.95","522.00","721.86K","-2.20%"
"18-05-2024","536.15","535.95","538.35","534.00","68.40K","0.18%"
"17-05-2024","535.20","535.00","538.00","528.95","1.27M","0.62%"
"16-05-2024","531.90","535.00","539.00","525.65","666.96K","0.77%"
"15-05-2024","527.85","512.50","540.00","511.15","2.10M","3.54%"
"14-05-2024","509.80","509.05","512.10","498.10","1.05M","0.84%"
"13-05-2024","505.55","522.00","522.00","502.05","955.46K","-2.37%"
"10-05-2024","517.80","525.95","527.75","496.50","3.36M","-0.14%"
"09-05-2024","518.55","545.45","564.70","515.15","4.43M","-3.98%"
"08-05-2024","540.05","552.00","569.00","530.00","8.44M","-15.38%"
"07-05-2024","638.20","660.20","660.45","630.00","469.63K","-3.33%"
"06-05-2024","660.20","670.00","672.25","656.00","258.45K","-1.79%"
"03-05-2024","672.25","682.30","685.00","666.45","200.67K","-1.47%"
"02-05-2024","682.30","698.90","698.90","677.05","418.85K","-1.28%"
"30-04-2024","691.15","696.00","705.00","678.05","926.70K","-0.44%"
"29-04-2024","694.20","684.60","697.00","678.50","272.63K","1.93%"
"26-04-2024","681.05","672.00","690.15","670.50","281.98K","1.26%"
"25-04-2024","672.60","675.00","683.25","665.55","325.99K","0.13%"
"24-04-2024","671.70","667.00","675.00","662.95","217.92K","1.66%"
"23-04-2024","660.70","671.00","675.65","658.55","316.35K","-1.25%"
"22-04-2024","669.05","675.00","679.55","664.70","330.47K","-0.45%"
"19-04-2024","672.05","675.00","676.00","656.55","1.35M","-1.40%"
"18-04-2024","681.60","692.00","703.50","677.05","803.08K","-2.63%"
"16-04-2024","700.00","709.90","710.05","698.00","608.39K","-1.93%"
"15-04-2024","713.75","721.00","723.20","702.25","461.16K","-1.86%"
"12-04-2024","727.25","739.95","745.45","723.20","375.81K","-1.42%"
"10-04-2024","737.75","757.05","760.10","728.25","1.19M","-2.74%"
"09-04-2024","758.55","768.00","769.70","749.25","639.28K","-0.25%"
"08-04-2024","760.45","748.90","763.00","744.65","1.44M","2.48%"
"05-04-2024","742.05","747.60","753.60","738.05","911.37K","-1.02%"
"04-04-2024","749.70","750.15","753.90","738.25","587.89K","0.49%"
"03-04-2024","746.05","735.00","748.55","726.20","672.22K","2.19%"
"02-04-2024","730.05","717.10","736.00","713.60","573.13K","1.94%"
"01-04-2024","716.15","722.00","729.50","711.50","1.12M","-0.86%"
"28-03-2024","722.35","750.00","750.10","720.00","443.18K","-2.81%"
"27-03-2024","743.20","751.50","752.00","736.30","195.95K","-0.59%"
"26-03-2024","747.60","738.00","750.40","729.10","335.34K","0.68%"
"22-03-2024","742.55","742.00","755.15","731.05","953.41K","-0.87%"
"21-03-2024","749.05","730.00","763.00","722.00","774.08K","2.80%"
"20-03-2024","728.65","753.10","756.00","725.00","998.44K","-2.86%"
"19-03-2024","750.10","750.40","753.90","733.65","291.23K","0.62%"
"18-03-2024","745.45","731.50","749.10","723.35","351.46K","1.91%"
"15-03-2024","731.50","728.00","747.40","718.25","528.37K","0.48%"
"14-03-2024","728.00","737.00","741.20","704.05","964.09K","-1.66%"
"13-03-2024","740.30","754.20","757.70","705.95","937.98K","-1.84%"
"12-03-2024","754.20","777.70","782.45","743.60","585.80K","-3.66%"
"11-03-2024","782.85","793.00","793.45","765.00","277.16K","-0.79%"
"07-03-2024","789.05","812.40","816.95","785.00","507.79K","-1.99%"
"06-03-2024","805.10","825.00","825.00","774.95","660.31K","-2.14%"
"05-03-2024","822.70","811.00","834.80","803.20","430.08K","0.72%"
"04-03-2024","816.85","822.60","826.15","797.85","408.79K","-0.63%"
"02-03-2024","822.00","830.70","830.70","820.35","21.09K","0.58%"
"01-03-2024","817.30","815.00","825.00","806.55","379.86K","0.78%"
"29-02-2024","810.95","840.00","840.80","793.15","1.03M","-3.55%"
"28-02-2024","840.80","860.20","864.95","826.70","359.86K","-1.96%"
"27-02-2024","857.65","854.15","870.00","837.45","434.50K","1.20%"
"26-02-2024","847.50","839.35","852.00","818.70","338.11K","0.97%"
"23-02-2024","839.35","846.90","846.90","831.55","178.70K","-0.57%"
"22-02-2024","844.20","833.85","852.55","826.00","407.89K","1.29%"
"21-02-2024","833.45","821.15","859.90","821.15","785.56K","1.50%"
"20-02-2024","821.15","850.00","865.65","815.00","735.12K","-2.50%"
"19-02-2024","842.20","802.00","848.00","801.45","1.18M","5.61%"
"16-02-2024","797.45","815.20","820.75","786.00","331.85K","-1.88%"
"15-02-2024","812.70","782.95","827.00","780.00","551.87K","4.57%"
"14-02-2024","777.20","781.00","788.65","762.75","213.47K","-0.44%"
"13-02-2024","780.65","786.50","786.50","745.30","546.44K","-0.40%"
"12-02-2024","783.80","797.55","808.70","775.10","243.21K","-1.62%"
"09-02-2024","796.70","802.45","814.00","777.50","267.82K","-0.19%"
"08-02-2024","798.25","806.55","810.05","787.70","429.35K","-0.88%"
"07-02-2024","805.30","830.00","830.70","802.15","392.44K","-2.18%"
"06-02-2024","823.25","825.00","838.10","813.45","969.43K","1.86%"
"05-02-2024","808.25","768.40","815.00","762.15","2.23M","5.19%"
"02-02-2024","768.40","744.95","774.00","710.50","750.59K","0.49%"
"01-02-2024","764.65","769.90","778.00","752.90","398.38K","-0.44%"
"31-01-2024","768.00","736.85","770.00","735.50","725.18K","4.55%"
"30-01-2024","734.60","742.50","751.60","730.40","259.38K","-0.78%"
"29-01-2024","740.35","748.45","754.10","733.50","295.15K","-1.09%"
"25-01-2024","748.50","754.25","757.75","738.55","249.95K","-0.76%"
"24-01-2024","754.25","736.00","759.85","718.50","580.24K","1.99%"
"23-01-2024","739.55","762.00","766.45","734.15","449.92K","-2.81%"
"20-01-2024","760.95","776.00","776.00","758.00","181.02K","-1.20%"
"19-01-2024","770.20","768.20","776.50","756.50","478.11K","0.57%"
"18-01-2024","765.85","759.65","770.00","732.45","417.64K","0.82%"
"17-01-2024","759.65","756.70","762.40","745.05","410.79K","-0.70%"
"16-01-2024","765.00","762.10","771.25","751.05","628.16K","0.41%"
"15-01-2024","761.85","764.70","779.50","756.00","1.41M","0.84%"
"12-01-2024","755.50","717.00","763.80","713.20","3.21M","6.42%"
"11-01-2024","709.95","709.00","714.90","701.50","301.15K","0.56%"
"10-01-2024","706.00","705.00","709.25","696.60","504.11K","0.21%"
"09-01-2024","704.55","704.35","710.00","694.55","420.68K","0.55%"
"08-01-2024","700.70","719.00","719.90","699.25","467.04K","-2.05%"
"05-01-2024","715.35","712.05","716.55","702.00","543.17K","1.45%"
"04-01-2024","705.15","710.00","714.35","702.35","356.68K","-0.10%"
"03-01-2024","705.85","705.05","718.80","697.05","745.26K","-0.54%"
"02-01-2024","709.65","728.80","728.80","708.00","447.14K","-1.83%"
"01-01-2024","722.90","736.00","739.90","720.40","1.07M","-2.67%"
"29-12-2023","742.75","738.90","746.05","730.00","469.16K","2.12%"
"28-12-2023","727.35","746.95","747.60","725.00","410.11K","-1.73%"
"27-12-2023","740.15","752.00","753.75","735.55","385.10K","-0.59%"
"26-12-2023","744.55","749.90","753.35","732.55","628.56K","-0.71%"
