"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","709.35","692.00","716.55","690.00","1.94M","2.97%"
"05-11-2024","688.90","687.80","697.75","675.25","1.18M","0.00%"
"04-11-2024","688.90","700.85","700.85","680.45","696.83K","-1.19%"
"01-11-2024","697.20","686.45","720.00","686.45","321.86K","1.68%"
"31-10-2024","685.70","683.00","691.00","669.80","984.89K","0.07%"
"30-10-2024","685.25","682.00","692.65","679.00","2.15M","-0.14%"
"29-10-2024","686.20","691.80","703.30","670.55","1.18M","-0.67%"
"28-10-2024","690.85","699.25","709.80","684.05","4.61M","-1.20%"
"25-10-2024","699.25","727.50","732.30","695.00","2.65M","-4.14%"
"24-10-2024","729.45","664.00","744.90","663.75","27.59M","13.25%"
"23-10-2024","644.10","630.15","654.70","629.05","1.61M","1.38%"
"22-10-2024","635.35","639.00","649.70","632.05","3.99M","0.28%"
"21-10-2024","633.55","637.30","639.00","626.85","2.15M","-0.59%"
"18-10-2024","637.30","648.60","653.70","635.00","1.56M","-1.74%"
"17-10-2024","648.60","663.55","665.40","643.20","2.59M","-2.11%"
"16-10-2024","662.55","659.00","666.55","652.90","1.22M","0.88%"
"15-10-2024","656.80","665.95","669.95","655.20","1.14M","-0.50%"
"14-10-2024","660.10","666.65","668.25","656.60","1.69M","-0.75%"
"11-10-2024","665.10","675.00","677.00","661.50","761.20K","-0.85%"
"10-10-2024","670.80","675.00","682.00","665.00","2.57M","-0.34%"
"09-10-2024","673.10","682.00","694.00","670.60","1.57M","-0.05%"
"08-10-2024","673.45","668.60","680.95","666.15","1.55M","-0.30%"
"07-10-2024","675.45","694.00","694.50","664.30","3.10M","-3.06%"
"04-10-2024","696.80","711.00","711.00","686.55","1.98M","-1.39%"
"03-10-2024","706.60","716.25","722.65","703.00","1.38M","-3.34%"
"01-10-2024","731.05","742.00","745.70","728.15","1.34M","-1.66%"
"30-09-2024","743.40","734.00","746.30","728.65","864.48K","1.08%"
"27-09-2024","735.45","743.95","743.95","730.85","1.18M","-1.16%"
