"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","214.63","211.00","216.25","208.73","435.52K","2.28%"
"05-11-2024","209.84","202.55","211.60","202.50","515.66K","2.30%"
"04-11-2024","205.13","214.51","216.75","202.30","1.33M","-5.01%"
"01-11-2024","215.94","217.00","218.58","215.06","113.73K","0.02%"
"31-10-2024","215.90","216.70","216.94","213.35","314.35K","0.06%"
"30-10-2024","215.78","210.21","223.94","210.21","928.08K","1.99%"
"29-10-2024","211.58","209.05","213.90","206.12","365.39K","1.44%"
"28-10-2024","208.58","206.90","211.56","204.70","279.46K","1.50%"
"25-10-2024","205.49","207.10","210.00","202.10","368.54K","-1.10%"
"24-10-2024","207.77","208.40","210.57","206.25","231.85K","-0.12%"
"23-10-2024","208.02","208.55","211.43","203.70","507.97K","-0.02%"
"22-10-2024","208.06","210.90","210.92","206.10","644.65K","-0.59%"
"21-10-2024","209.29","217.00","218.20","207.74","1.07M","-2.92%"
"18-10-2024","215.59","210.02","218.79","206.20","799.45K","2.65%"
"17-10-2024","210.02","213.00","213.80","209.52","200.56K","-1.54%"
"16-10-2024","213.30","211.10","214.70","211.10","227.23K","0.09%"
"15-10-2024","213.10","215.70","216.85","211.20","447.96K","-1.20%"
"14-10-2024","215.69","213.19","221.75","211.34","938.60K","1.18%"
"11-10-2024","213.18","206.31","223.39","205.23","2.26M","3.42%"
"10-10-2024","206.14","208.00","209.00","205.44","148.69K","-0.51%"
"09-10-2024","207.19","206.90","209.61","205.00","397.17K","0.63%"
"08-10-2024","205.90","202.00","207.00","198.70","268.31K","1.96%"
"07-10-2024","201.95","211.00","212.21","200.00","491.95K","-4.02%"
"04-10-2024","210.40","209.50","214.75","205.83","379.30K","0.47%"
"03-10-2024","209.42","212.20","213.99","208.83","350.95K","-2.96%"
"01-10-2024","215.81","217.50","217.50","213.65","211.22K","-0.06%"
"30-09-2024","215.94","212.46","218.00","209.70","658.44K","1.64%"
"27-09-2024","212.46","212.99","216.93","211.71","475.40K","-0.10%"
"26-09-2024","212.67","216.00","217.23","211.99","483.75K","-1.66%"
"25-09-2024","216.26","219.00","221.00","215.74","247.53K","-1.31%"
"24-09-2024","219.12","218.50","220.85","217.00","383.89K","0.68%"
"23-09-2024","217.64","219.94","220.22","217.20","831.13K","-0.35%"
"20-09-2024","218.41","219.80","221.98","217.60","306.46K","0.07%"
"19-09-2024","218.25","221.40","221.90","215.26","629.88K","-0.68%"
"18-09-2024","219.74","225.00","225.65","217.70","588.07K","-2.00%"
"17-09-2024","224.23","225.65","228.00","223.51","367.24K","-0.15%"
"16-09-2024","224.57","227.30","227.65","223.40","299.46K","-0.66%"
"13-09-2024","226.06","226.75","230.80","225.00","563.27K","0.31%"
"12-09-2024","225.36","226.00","231.00","223.95","630.98K","0.55%"
"11-09-2024","224.12","231.00","232.95","222.99","535.41K","-2.93%"
"10-09-2024","230.89","235.49","236.00","229.20","732.64K","-0.06%"
"09-09-2024","231.02","225.72","235.35","221.10","1.15M","2.35%"
"06-09-2024","225.72","228.50","232.27","224.09","1.21M","0.53%"
"05-09-2024","224.54","226.90","227.73","223.19","409.56K","-0.54%"
"04-09-2024","225.76","220.77","228.36","220.14","751.54K","2.26%"
"03-09-2024","220.77","228.35","231.50","220.00","848.72K","-2.95%"
"02-09-2024","227.49","222.60","229.40","219.79","790.84K","2.77%"
"30-08-2024","221.36","225.77","227.83","220.50","537.77K","-1.95%"
"29-08-2024","225.77","229.10","229.10","224.35","357.45K","-1.53%"
"28-08-2024","229.27","233.20","234.98","228.30","510.75K","-1.56%"
"27-08-2024","232.91","232.15","236.60","230.94","780.13K","0.12%"
"26-08-2024","232.64","224.01","239.85","224.00","4.14M","4.42%"
"23-08-2024","222.80","218.00","229.66","213.78","2.21M","3.68%"
"22-08-2024","214.90","214.65","216.16","212.02","439.90K","0.43%"
"21-08-2024","213.97","213.10","216.70","213.10","369.95K","0.26%"
"20-08-2024","213.41","214.00","217.09","212.65","417.46K","0.43%"
"19-08-2024","212.50","215.00","218.29","208.50","594.16K","-0.37%"
"16-08-2024","213.29","216.44","216.79","210.83","299.26K","-0.43%"
"14-08-2024","214.22","215.01","216.61","212.56","255.55K","-0.69%"
"13-08-2024","215.70","215.80","220.84","212.83","352.37K","0.26%"
"12-08-2024","215.14","217.23","219.99","214.10","312.46K","-1.63%"
"09-08-2024","218.71","221.15","221.20","215.91","359.49K","-0.05%"
"08-08-2024","218.82","216.02","221.90","213.85","570.33K","1.48%"
"07-08-2024","215.62","216.90","218.84","212.10","689.22K","1.29%"
"06-08-2024","212.88","221.00","221.00","210.13","526.87K","-1.91%"
"05-08-2024","217.02","222.49","225.35","214.50","747.18K","-4.08%"
"02-08-2024","226.24","224.25","231.29","222.97","490.63K","-0.44%"
"01-08-2024","227.25","232.05","232.76","226.00","374.37K","-1.00%"
"31-07-2024","229.54","228.10","235.40","228.10","626.28K","0.68%"
"30-07-2024","227.99","226.55","228.70","225.20","427.59K","0.44%"
"29-07-2024","226.98","226.90","228.49","225.00","367.62K","0.14%"
"26-07-2024","226.66","229.00","232.00","225.50","410.14K","-0.13%"
"25-07-2024","226.95","226.52","229.06","224.65","554.93K","-1.08%"
"24-07-2024","229.43","221.50","233.00","221.50","613.31K","2.80%"
"23-07-2024","223.18","224.70","224.70","215.01","367.87K","-0.07%"
"22-07-2024","223.33","220.80","226.90","217.30","320.24K","1.05%"
"19-07-2024","221.00","230.00","230.69","219.91","574.43K","-4.40%"
"18-07-2024","231.18","237.09","237.40","230.00","502.05K","-2.49%"
"16-07-2024","237.09","237.40","238.30","234.80","259.04K","-0.03%"
"15-07-2024","237.16","236.80","239.49","234.42","305.94K","0.53%"
"12-07-2024","235.90","239.50","241.55","235.00","474.53K","-0.79%"
"11-07-2024","237.79","241.00","244.00","235.10","450.71K","-0.78%"
"10-07-2024","239.65","242.20","246.95","236.00","585.50K","-2.02%"
"09-07-2024","244.58","245.01","248.00","242.80","503.35K","0.03%"
"08-07-2024","244.51","252.10","253.19","243.00","1.04M","-2.75%"
"05-07-2024","251.43","242.93","258.00","241.01","2.25M","3.50%"
"04-07-2024","242.93","241.00","245.00","238.04","663.80K","1.11%"
"03-07-2024","240.27","235.25","245.49","235.25","1.01M","2.20%"
"02-07-2024","235.09","241.10","242.49","233.10","757.62K","-2.55%"
"01-07-2024","241.23","242.00","243.81","239.35","485.27K","0.35%"
"28-06-2024","240.39","244.00","246.32","239.00","506.83K","-1.82%"
"27-06-2024","244.85","247.65","250.55","238.10","1.14M","-1.13%"
"26-06-2024","247.65","242.40","250.00","237.44","1.55M","2.99%"
"25-06-2024","240.45","243.00","246.39","237.00","1.15M","-0.20%"
"24-06-2024","240.94","236.11","242.00","233.52","754.81K","1.34%"
"21-06-2024","237.75","241.00","245.14","234.25","1.55M","-0.15%"
"20-06-2024","238.11","232.00","241.40","231.25","1.53M","2.20%"
"19-06-2024","232.98","235.00","238.28","231.50","977.42K","-1.24%"
"18-06-2024","235.90","234.50","238.37","229.75","1.18M","0.70%"
"14-06-2024","234.27","235.90","241.70","231.56","2.62M","-0.06%"
"13-06-2024","234.40","224.00","238.80","220.00","2.95M","5.41%"
"12-06-2024","222.36","219.80","225.40","219.65","1.06M","1.56%"
"11-06-2024","218.94","219.20","223.73","217.80","1.58M","0.39%"
"10-06-2024","218.08","222.00","229.60","215.25","2.49M","-1.23%"
"07-06-2024","220.80","220.95","226.60","218.85","1.45M","0.43%"
"06-06-2024","219.85","210.50","220.45","210.50","974.87K","4.69%"
"05-06-2024","210.00","204.10","213.00","196.10","700.19K","3.24%"
"04-06-2024","203.40","207.00","209.00","201.15","980.35K","-3.92%"
"03-06-2024","211.70","216.00","216.00","207.30","595.96K","2.84%"
"31-05-2024","205.85","208.80","208.80","202.50","326.33K","0.05%"
"30-05-2024","205.75","212.00","213.75","204.50","487.39K","-2.97%"
"29-05-2024","212.05","213.90","215.00","211.10","484.03K","-0.70%"
"28-05-2024","213.55","219.70","220.00","212.00","502.77K","-2.00%"
"27-05-2024","217.90","222.45","227.50","217.00","1.12M","-2.57%"
"24-05-2024","223.65","216.00","223.65","215.25","1.25M","5.00%"
"23-05-2024","213.00","211.75","215.00","209.90","487.82K","0.73%"
"22-05-2024","211.45","216.25","216.95","208.00","658.21K","-2.02%"
"21-05-2024","215.80","220.80","220.80","214.15","402.55K","-1.55%"
"18-05-2024","219.20","217.25","221.00","216.80","126.90K","1.34%"
"17-05-2024","216.30","219.00","220.00","215.60","460.92K","-1.07%"
"16-05-2024","218.65","220.00","222.40","217.00","507.20K","0.57%"
"15-05-2024","217.40","220.00","220.70","216.00","522.64K","-0.91%"
"14-05-2024","219.40","216.80","225.25","215.00","1.30M","2.26%"
"13-05-2024","214.55","222.50","223.10","213.15","613.20K","-2.03%"
"10-05-2024","219.00","215.90","220.75","210.00","772.70K","3.23%"
"09-05-2024","212.15","223.40","229.70","210.00","2.22M","-3.70%"
"08-05-2024","220.30","211.00","220.75","211.00","1.18M","4.78%"
"07-05-2024","210.25","213.50","223.40","208.20","2.04M","-1.87%"
"06-05-2024","214.25","222.00","227.00","214.25","2.27M","-4.99%"
"03-05-2024","225.50","238.55","239.50","225.50","2.44M","-4.99%"
"02-05-2024","237.35","220.70","243.80","220.70","12.16M","2.17%"
"30-04-2024","232.30","232.30","232.30","232.30","410.80K","-4.99%"
"29-04-2024","244.50","244.50","253.70","244.50","4.76M","-4.99%"
"26-04-2024","257.35","257.35","257.35","257.35","592.87K","-5.00%"
"25-04-2024","270.90","270.90","283.70","270.90","14.32M","-5.00%"
"24-04-2024","285.15","285.15","285.15","285.15","216.78K","-5.00%"
"23-04-2024","300.15","300.15","300.15","300.15","119.88K","-5.00%"
"22-04-2024","315.95","315.95","315.95","315.95","92.82K","-4.99%"
"19-04-2024","332.55","332.55","332.55","332.55","63.34K","-5.00%"
"18-04-2024","350.05","350.05","350.05","350.05","83.39K","-4.99%"
"16-04-2024","368.45","368.45","368.45","368.45","62.49K","-5.00%"
"15-04-2024","387.85","387.85","387.85","387.85","43.22K","-5.00%"
"12-04-2024","408.25","408.25","408.25","408.25","55.14K","-4.99%"
"10-04-2024","429.70","429.70","429.70","429.70","65.30K","-5.00%"
"09-04-2024","452.30","472.80","472.80","437.30","534.77K","-0.66%"
"08-04-2024","455.30","455.30","455.30","455.30","464.12K","4.99%"
"05-04-2024","433.65","419.00","433.65","410.00","770.56K","5.00%"
"04-04-2024","413.00","398.00","413.00","396.00","593.64K","5.00%"
"03-04-2024","393.35","383.95","395.00","375.00","289.89K","2.37%"
"02-04-2024","384.25","382.90","387.00","374.00","140.92K","1.32%"
"01-04-2024","379.25","365.20","386.00","365.20","214.75K","2.97%"
"28-03-2024","368.30","370.25","374.00","363.10","151.45K","-1.02%"
"27-03-2024","372.10","373.00","375.00","365.00","516.69K","1.40%"
"26-03-2024","366.95","376.80","384.00","363.00","213.19K","-2.61%"
"22-03-2024","376.80","367.00","384.00","361.00","152.03K","2.60%"
"21-03-2024","367.25","361.00","368.30","356.85","152.65K","4.10%"
"20-03-2024","352.80","360.00","363.90","345.80","132.87K","-1.74%"
"19-03-2024","359.05","369.00","381.15","354.00","340.17K","-1.09%"
"18-03-2024","363.00","342.55","363.00","340.90","153.33K","4.99%"
"15-03-2024","345.75","350.00","353.75","334.50","252.99K","-1.21%"
"14-03-2024","350.00","351.05","368.00","339.45","234.63K","-2.04%"
"13-03-2024","357.30","376.00","376.00","357.30","215.81K","-5.00%"
"12-03-2024","376.10","395.00","396.00","376.10","234.56K","-5.00%"
"11-03-2024","395.90","389.10","402.50","387.00","389.74K","1.54%"
"07-03-2024","389.90","391.55","395.00","381.15","162.27K","-0.52%"
"06-03-2024","391.95","391.55","393.50","375.00","290.03K","0.03%"
