"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","43.84","43.35","43.97","43.11","9.02M","1.46%"
"05-11-2024","43.21","41.21","43.50","41.21","16.70M","2.49%"
"04-11-2024","42.16","43.40","43.44","41.80","7.79M","-2.86%"
"01-11-2024","43.40","43.24","43.50","43.20","1.87M","0.98%"
"31-10-2024","42.98","42.50","43.55","42.01","12.51M","1.30%"
"30-10-2024","42.43","41.44","42.90","41.07","14.10M","2.66%"
"29-10-2024","41.33","41.65","42.25","40.55","15.11M","1.05%"
"28-10-2024","40.90","40.00","41.15","39.32","12.62M","2.82%"
"25-10-2024","39.78","41.01","41.23","39.20","13.15M","-3.05%"
"24-10-2024","41.03","41.52","41.85","40.82","9.68M","-1.18%"
"23-10-2024","41.52","40.71","42.04","39.81","19.76M","2.06%"
"22-10-2024","40.68","42.81","43.00","40.27","17.86M","-4.53%"
"21-10-2024","42.61","44.52","45.05","42.50","15.24M","-4.20%"
"18-10-2024","44.48","44.70","44.82","43.64","14.95M","-0.98%"
"17-10-2024","44.92","46.25","46.47","44.70","12.23M","-2.67%"
"16-10-2024","46.15","46.48","46.98","45.69","13.37M","-0.86%"
"15-10-2024","46.55","47.00","47.47","46.12","22.82M","-1.73%"
"14-10-2024","47.37","47.83","48.04","47.20","10.68M","-0.55%"
"11-10-2024","47.63","48.00","48.63","47.48","11.40M","-1.28%"
"10-10-2024","48.25","48.30","48.77","47.81","15.04M","0.17%"
"09-10-2024","48.17","49.50","49.95","48.05","24.29M","-1.99%"
"08-10-2024","49.15","47.30","49.68","46.66","44.31M","3.91%"
"07-10-2024","47.30","51.45","51.45","47.00","51.20M","-6.85%"
"04-10-2024","50.78","51.65","52.70","50.01","63.70M","-1.34%"
"03-10-2024","51.47","52.86","54.49","51.11","69.36M","-4.44%"
"01-10-2024","53.86","54.47","56.50","53.32","130.50M","-1.12%"
"30-09-2024","54.47","53.15","55.11","52.38","147.72M","2.68%"
"27-09-2024","53.05","49.29","53.88","49.29","253.43M","10.25%"
"26-09-2024","48.12","49.09","49.09","48.00","8.79M","-1.68%"
"25-09-2024","48.94","47.60","49.95","47.50","35.56M","2.84%"
"24-09-2024","47.59","47.75","48.35","47.52","7.73M","-0.25%"
"23-09-2024","47.71","48.00","48.40","47.52","7.96M","0.40%"
"20-09-2024","47.52","47.70","48.17","47.24","9.10M","0.68%"
"19-09-2024","47.20","48.05","48.50","46.44","9.82M","-0.32%"
"18-09-2024","47.35","47.07","49.90","47.01","15.43M","0.79%"
"17-09-2024","46.98","48.00","48.04","46.90","5.95M","-2.29%"
"16-09-2024","48.08","47.68","48.65","47.26","20.79M","3.00%"
"13-09-2024","46.68","46.98","47.34","46.56","4.16M","-0.66%"
"12-09-2024","46.99","47.00","47.43","46.11","7.97M","0.56%"
"11-09-2024","46.73","47.50","47.52","46.50","4.30M","-1.25%"
"10-09-2024","47.32","47.02","47.58","46.95","4.85M","1.07%"
