"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,343.05","2,334.50","2,351.95","2,301.00","305.08K","1.91%"
"05-11-2024","2,299.15","2,242.00","2,305.20","2,235.50","334.19K","2.33%"
"04-11-2024","2,246.70","2,249.00","2,259.00","2,220.25","321.16K","-0.25%"
"01-11-2024","2,252.30","2,243.15","2,259.95","2,242.00","19.85K","0.41%"
"31-10-2024","2,243.15","2,262.60","2,267.20","2,225.05","402.89K","-0.83%"
"30-10-2024","2,261.95","2,252.35","2,282.55","2,244.15","480.09K","0.07%"
"29-10-2024","2,260.45","2,251.00","2,275.00","2,226.05","227.84K","0.14%"
"28-10-2024","2,257.25","2,214.95","2,269.95","2,206.90","405.46K","2.28%"
"25-10-2024","2,206.90","2,246.40","2,257.55","2,190.00","720.09K","-2.23%"
"24-10-2024","2,257.30","2,210.00","2,268.75","2,158.45","1.24M","0.40%"
"23-10-2024","2,248.20","2,167.30","2,329.90","2,167.30","1.70M","3.22%"
"22-10-2024","2,178.10","2,258.80","2,288.00","2,146.50","837.88K","-4.38%"
"21-10-2024","2,277.95","2,331.95","2,336.00","2,256.75","1.46M","-2.05%"
"18-10-2024","2,325.70","2,262.95","2,333.35","2,259.95","601.74K","2.77%"
"17-10-2024","2,262.95","2,206.30","2,292.00","2,206.30","1.24M","-1.87%"
"16-10-2024","2,306.10","2,342.05","2,358.20","2,287.15","1.14M","-1.93%"
"15-10-2024","2,351.40","2,348.00","2,355.00","2,334.80","288.55K","0.36%"
"14-10-2024","2,342.85","2,359.00","2,363.60","2,319.00","317.28K","-0.25%"
"11-10-2024","2,348.75","2,349.00","2,365.65","2,327.75","216.68K","0.28%"
"10-10-2024","2,342.30","2,345.00","2,364.95","2,329.00","303.85K","0.33%"
"09-10-2024","2,334.60","2,339.00","2,357.05","2,321.60","375.50K","0.27%"
"08-10-2024","2,328.40","2,300.00","2,345.00","2,298.80","314.63K","0.89%"
"07-10-2024","2,307.80","2,350.35","2,366.95","2,292.30","327.40K","-1.81%"
"04-10-2024","2,350.35","2,421.90","2,434.00","2,345.00","450.52K","-2.92%"
"03-10-2024","2,421.00","2,450.00","2,499.50","2,412.50","358.95K","-2.43%"
"01-10-2024","2,481.35","2,494.00","2,494.00","2,428.50","724.12K","-0.66%"
"30-09-2024","2,497.85","2,474.95","2,519.95","2,470.10","520.87K","1.47%"
"27-09-2024","2,461.55","2,459.00","2,498.85","2,450.15","3.00M","0.13%"
"26-09-2024","2,458.25","2,454.45","2,477.15","2,434.40","994.12K","0.27%"
"25-09-2024","2,451.75","2,432.50","2,462.40","2,414.25","1.06M","0.79%"
"24-09-2024","2,432.50","2,441.00","2,458.85","2,426.50","490.48K","-0.31%"
"23-09-2024","2,439.95","2,435.00","2,452.70","2,411.20","943.18K","0.84%"
"20-09-2024","2,419.70","2,410.00","2,440.80","2,403.00","733.74K","0.74%"
"19-09-2024","2,402.00","2,395.10","2,411.15","2,360.30","641.71K","0.57%"
"18-09-2024","2,388.35","2,425.50","2,447.90","2,372.60","575.36K","-1.76%"
"17-09-2024","2,431.15","2,436.90","2,460.65","2,401.10","927.27K","-0.24%"
