"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","481.40","482.10","486.15","476.35","1.62M","0.19%"
"05-11-2024","480.50","490.00","491.00","472.75","2.60M","-1.70%"
"04-11-2024","488.80","513.40","514.95","478.05","3.03M","-4.48%"
"01-11-2024","511.75","508.00","518.95","506.25","138.71K","1.55%"
"31-10-2024","503.95","517.95","519.95","500.50","1.56M","-2.31%"
"30-10-2024","515.85","519.95","524.40","500.65","2.42M","-3.80%"
"29-10-2024","536.25","540.10","543.90","530.00","677.27K","-0.95%"
"28-10-2024","541.40","539.50","548.95","528.05","787.88K","0.27%"
"25-10-2024","539.95","545.95","550.70","530.10","1.13M","-1.05%"
"24-10-2024","545.70","548.45","552.65","543.50","287.61K","0.05%"
"23-10-2024","545.45","552.50","552.90","541.30","929.92K","-0.13%"
"22-10-2024","546.15","543.80","555.55","539.00","885.34K","0.66%"
"21-10-2024","542.55","556.40","562.50","539.60","1.22M","-1.44%"
"18-10-2024","550.45","549.65","552.10","540.10","422.00K","0.15%"
"17-10-2024","549.65","553.90","554.00","545.50","682.79K","-0.48%"
"16-10-2024","552.30","564.80","566.30","546.10","977.03K","-1.77%"
"15-10-2024","562.25","550.00","569.40","548.70","1.61M","2.26%"
"14-10-2024","549.80","547.60","554.85","547.15","1.01M","0.40%"
"11-10-2024","547.60","564.95","567.00","543.40","1.35M","-3.29%"
"10-10-2024","566.25","571.00","571.95","562.55","1.30M","-1.98%"
"09-10-2024","577.70","575.00","584.00","569.05","1.02M","1.21%"
"08-10-2024","570.80","573.00","573.00","561.25","879.84K","-0.16%"
"07-10-2024","571.70","581.00","583.10","565.50","755.82K","-1.46%"
"04-10-2024","580.15","590.20","593.75","573.55","676.60K","-1.67%"
"03-10-2024","590.00","598.00","603.85","577.40","1.28M","-2.47%"
"01-10-2024","604.95","602.50","606.50","600.50","366.41K","-0.35%"
"30-09-2024","607.10","610.00","613.45","600.40","653.36K","-1.28%"
"27-09-2024","614.95","612.00","618.70","606.10","719.98K","0.98%"
"26-09-2024","609.00","607.80","613.55","601.40","763.60K","0.61%"
"25-09-2024","605.30","604.00","606.80","596.20","518.02K","0.20%"
"24-09-2024","604.10","613.80","613.80","601.50","1.30M","-0.94%"
"23-09-2024","609.85","610.00","616.80","603.30","527.77K","-1.41%"
"20-09-2024","618.60","607.00","622.95","603.05","1.04M","2.15%"
"19-09-2024","605.60","606.95","616.70","603.00","1.01M","0.26%"
"18-09-2024","604.05","608.45","614.25","601.05","982.52K","-0.73%"
"17-09-2024","608.50","621.95","625.40","605.35","605.54K","-1.21%"
"16-09-2024","615.95","620.00","622.70","606.10","441.77K","-0.32%"
"13-09-2024","617.90","616.70","624.90","612.95","942.53K","0.68%"
"12-09-2024","613.70","620.95","625.85","610.25","420.06K","-1.14%"
"11-09-2024","620.75","622.00","627.30","617.00","794.26K","-0.14%"
"10-09-2024","621.60","627.55","627.55","617.50","1.02M","-1.03%"
"09-09-2024","628.05","644.90","647.00","621.50","1.34M","-1.20%"
"06-09-2024","635.70","639.15","646.25","631.25","934.61K","-0.17%"
"05-09-2024","636.80","638.25","642.30","630.95","1.97M","1.04%"
"04-09-2024","630.25","637.95","645.25","627.05","1.91M","-1.18%"
"03-09-2024","637.75","623.00","644.95","623.00","4.16M","2.82%"
"02-09-2024","620.25","637.00","639.80","615.10","852.61K","-1.34%"
"30-08-2024","628.65","611.60","640.70","603.00","5.31M","4.06%"
"29-08-2024","604.15","610.80","616.45","601.05","524.52K","-1.00%"
"28-08-2024","610.25","615.00","626.60","606.35","1.71M","-0.21%"
"27-08-2024","611.55","610.00","616.00","600.20","4.21M","0.82%"
"26-08-2024","606.60","613.00","614.00","600.00","3.84M","0.76%"
"23-08-2024","602.05","615.00","615.95","594.00","2.21M","-1.27%"
"22-08-2024","609.80","603.35","622.40","603.35","2.13M","1.36%"
"21-08-2024","601.60","599.90","605.30","591.00","852.64K","0.76%"
"20-08-2024","597.05","590.00","601.95","585.35","607.69K","1.79%"
"19-08-2024","586.55","590.00","590.00","580.10","600.73K","1.02%"
"16-08-2024","580.60","584.00","584.00","573.35","699.66K","1.33%"
"14-08-2024","573.00","584.45","584.50","567.40","192.57K","-1.10%"
"13-08-2024","579.35","587.20","587.45","576.90","217.47K","-0.67%"
"12-08-2024","583.25","581.20","590.95","573.00","444.52K","0.60%"
"09-08-2024","579.80","596.00","598.40","575.15","547.24K","-1.30%"
"08-08-2024","587.45","581.85","596.00","579.60","778.20K","1.26%"
"07-08-2024","580.15","573.00","584.00","564.30","500.54K","1.60%"
"06-08-2024","571.00","583.00","588.30","569.20","632.82K","-1.51%"
"05-08-2024","579.75","580.90","589.95","566.00","1.12M","-1.95%"
"02-08-2024","591.25","598.00","598.95","590.05","311.87K","-1.82%"
"01-08-2024","602.20","611.85","617.50","598.10","600.33K","-0.64%"
