"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","588.25","577.00","592.15","573.10","895.10K","2.14%"
"05-11-2024","575.95","579.00","583.45","572.00","645.00K","-1.41%"
"04-11-2024","584.20","599.20","603.10","573.40","717.78K","-2.50%"
"01-11-2024","599.20","592.00","603.35","587.95","353.65K","2.48%"
"31-10-2024","584.70","574.00","594.30","572.90","533.01K","1.20%"
"30-10-2024","577.75","564.00","592.00","563.50","994.51K","1.59%"
"29-10-2024","568.70","560.00","575.00","545.40","1.39M","-0.25%"
"28-10-2024","570.10","565.00","577.45","555.15","1.47M","2.03%"
"25-10-2024","558.75","568.65","569.70","542.40","1.68M","-1.75%"
"24-10-2024","568.70","600.20","603.75","568.70","1.08M","-4.99%"
"23-10-2024","598.60","580.05","603.95","566.60","2.30M","1.84%"
"22-10-2024","587.80","608.15","615.95","587.80","1.63M","-4.99%"
"21-10-2024","618.70","632.00","638.00","611.80","1.55M","-2.06%"
"18-10-2024","631.70","621.00","638.85","606.25","2.11M","1.63%"
"17-10-2024","621.55","636.95","641.70","611.00","4.60M","1.62%"
"16-10-2024","611.65","595.00","611.65","587.65","5.34M","5.00%"
"15-10-2024","582.55","564.85","582.55","552.30","4.03M","4.99%"
"14-10-2024","554.85","569.00","588.00","546.15","3.46M","-2.04%"
"11-10-2024","566.40","596.00","596.00","562.20","3.59M","-0.22%"
"10-10-2024","567.65","546.70","567.65","541.25","686.71K","4.99%"
"09-10-2024","540.65","539.85","553.80","536.00","1.75M","1.00%"
"08-10-2024","535.30","519.30","542.20","504.05","3.03M","3.08%"
"07-10-2024","519.30","552.25","557.00","519.30","2.62M","-4.99%"
"04-10-2024","546.60","571.00","571.80","541.05","4.52M","-3.96%"
"03-10-2024","569.15","580.25","601.00","569.15","3.15M","-5.00%"
"01-10-2024","599.10","614.00","625.80","585.60","7.33M","-2.81%"
"30-09-2024","616.40","649.90","652.75","616.35","4.00M","-4.99%"
"27-09-2024","648.75","643.00","665.00","623.00","27.72M","0.98%"
"26-09-2024","642.45","669.00","671.25","633.00","1.95M","-3.39%"
"25-09-2024","665.00","669.95","680.00","661.10","710.09K","0.08%"
"24-09-2024","664.45","695.00","699.80","660.55","1.40M","-3.04%"
"23-09-2024","685.30","710.00","721.45","684.60","2.17M","-4.90%"
"20-09-2024","720.60","705.20","722.65","693.55","1.57M","4.70%"
"19-09-2024","688.25","720.00","722.70","675.55","1.45M","-3.21%"
"18-09-2024","711.10","734.95","745.60","708.00","1.11M","-3.02%"
