"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","564.20","570.65","573.45","561.30","405.79K","-0.47%"
"05-11-2024","566.85","563.65","571.85","558.05","420.53K","1.11%"
"04-11-2024","560.65","570.55","575.30","556.20","335.12K","-1.74%"
"01-11-2024","570.60","578.90","578.90","566.05","79.61K","-0.47%"
"31-10-2024","573.30","564.75","581.00","556.90","1.05M","1.37%"
"30-10-2024","565.55","551.50","567.90","548.35","824.38K","2.25%"
"29-10-2024","553.10","519.90","564.25","519.90","3.12M","7.52%"
"28-10-2024","514.40","499.90","539.45","492.45","944.71K","4.02%"
"25-10-2024","494.50","517.35","520.75","490.35","400.82K","-4.16%"
"24-10-2024","515.95","524.50","524.75","510.35","268.61K","-0.33%"
"23-10-2024","517.65","500.00","524.70","492.10","389.77K","3.07%"
"22-10-2024","502.25","527.20","528.95","500.00","341.23K","-4.76%"
"21-10-2024","527.35","552.00","553.00","524.00","329.95K","-3.77%"
"18-10-2024","548.00","562.00","563.70","546.00","376.25K","-3.21%"
"17-10-2024","566.15","572.00","577.95","561.35","562.66K","-0.91%"
"16-10-2024","571.35","553.10","573.35","550.60","1.26M","3.30%"
"15-10-2024","553.10","540.15","559.70","540.15","681.99K","2.52%"
"14-10-2024","539.50","546.00","547.95","536.45","153.68K","-1.03%"
"11-10-2024","545.10","548.00","550.00","541.10","148.59K","0.18%"
"10-10-2024","544.10","542.05","552.60","539.60","209.58K","0.85%"
"09-10-2024","539.50","552.90","552.90","537.50","233.37K","-1.56%"
"08-10-2024","548.05","518.00","552.45","518.00","492.59K","5.06%"
"07-10-2024","521.65","552.00","554.30","518.90","309.65K","-5.25%"
"04-10-2024","550.55","555.00","562.70","539.40","379.57K","0.37%"
"03-10-2024","548.50","560.00","564.80","543.95","315.16K","-3.04%"
"01-10-2024","565.70","557.90","577.25","557.00","728.28K","1.60%"
"30-09-2024","556.80","553.25","562.80","550.05","217.55K","-0.59%"
"27-09-2024","560.10","548.65","568.50","546.10","1.25M","2.09%"
"26-09-2024","548.65","556.40","557.05","545.20","232.94K","-1.11%"
"25-09-2024","554.80","563.50","569.90","553.00","276.48K","-1.56%"
"24-09-2024","563.60","572.20","574.90","559.00","761.25K","-0.55%"
"23-09-2024","566.70","563.00","573.70","553.45","957.34K","1.40%"
"20-09-2024","558.90","586.50","591.70","554.20","1.56M","-4.71%"
"19-09-2024","586.50","604.00","606.00","572.85","581.32K","-2.42%"
"18-09-2024","601.05","614.90","615.60","594.05","482.50K","-2.03%"
"17-09-2024","613.50","593.15","628.00","581.20","3.13M","3.57%"
