"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","759.75","749.95","770.00","744.10","268.03K","1.99%"
"05-11-2024","744.95","741.85","751.55","730.05","302.17K","0.13%"
"04-11-2024","743.95","756.00","756.00","729.75","479.94K","-1.30%"
"01-11-2024","753.75","749.00","770.05","740.15","85.19K","0.21%"
"31-10-2024","752.20","745.85","765.00","734.20","767.80K","0.87%"
"30-10-2024","745.70","745.00","751.80","739.80","243.93K","0.53%"
"29-10-2024","741.75","732.35","744.40","726.20","161.65K","1.37%"
"28-10-2024","731.75","723.55","734.00","718.25","169.48K","1.13%"
"25-10-2024","723.55","741.00","741.05","721.00","188.13K","-1.97%"
"24-10-2024","738.10","741.00","749.75","732.05","309.01K","-0.25%"
"23-10-2024","739.95","750.20","753.60","737.05","453.27K","-1.29%"
"22-10-2024","749.60","755.50","757.25","745.00","463.77K","-0.71%"
"21-10-2024","754.95","760.00","766.45","747.55","434.69K","-0.66%"
"18-10-2024","759.95","765.00","765.00","756.60","465.46K","-0.67%"
"17-10-2024","765.10","777.00","777.35","762.20","767.75K","-1.47%"
"16-10-2024","776.50","779.00","786.45","773.65","393.08K","-0.31%"
"15-10-2024","778.90","791.00","795.50","777.10","413.47K","-1.07%"
"14-10-2024","787.30","788.90","791.70","781.30","260.85K","0.44%"
"11-10-2024","783.85","787.80","795.65","781.00","332.67K","-0.86%"
"10-10-2024","790.65","812.00","817.95","788.00","293.02K","-2.32%"
"09-10-2024","809.40","800.05","812.95","796.15","272.15K","1.30%"
"08-10-2024","799.05","791.85","814.00","786.05","346.05K","0.52%"
"07-10-2024","794.90","811.85","817.60","786.10","247.44K","-2.09%"
"04-10-2024","811.85","821.00","827.95","804.40","511.89K","-1.12%"
"03-10-2024","821.05","840.00","852.15","807.25","742.61K","-3.37%"
"01-10-2024","849.65","833.10","853.00","832.80","476.07K","1.99%"
"30-09-2024","833.10","836.00","839.95","824.40","230.93K","-0.23%"
"27-09-2024","835.05","835.00","853.70","829.20","735.45K","0.18%"
"26-09-2024","833.55","838.45","841.85","820.70","926.66K","-0.01%"
"25-09-2024","833.60","832.00","836.90","827.55","411.67K","0.48%"
"24-09-2024","829.60","823.00","838.75","819.40","568.38K","1.16%"
"23-09-2024","820.10","808.15","823.95","808.05","277.88K","1.60%"
