"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,323.95","1,351.00","1,352.75","1,312.50","225.82K","-0.77%"
"05-11-2024","1,334.20","1,326.00","1,353.95","1,313.80","483.08K","1.03%"
"04-11-2024","1,320.60","1,334.10","1,334.10","1,302.35","169.94K","-0.49%"
"01-11-2024","1,327.15","1,309.00","1,335.00","1,309.00","34.82K","1.05%"
"31-10-2024","1,313.40","1,281.85","1,325.00","1,266.70","421.94K","2.79%"
"30-10-2024","1,277.75","1,279.50","1,298.00","1,258.65","97.03K","-0.10%"
"29-10-2024","1,279.00","1,266.90","1,286.50","1,250.00","95.77K","0.96%"
"28-10-2024","1,266.90","1,262.40","1,299.00","1,223.75","265.89K","1.36%"
"25-10-2024","1,249.90","1,260.85","1,270.45","1,223.05","270.85K","-1.10%"
"24-10-2024","1,263.85","1,250.00","1,269.90","1,244.60","91.12K","1.10%"
"23-10-2024","1,250.10","1,243.90","1,307.75","1,231.30","360.64K","-0.49%"
"22-10-2024","1,256.30","1,276.80","1,289.30","1,240.00","813.24K","-1.61%"
"21-10-2024","1,276.80","1,253.15","1,300.00","1,250.00","737.41K","2.98%"
"18-10-2024","1,239.80","1,251.00","1,271.00","1,220.00","445.08K","-0.81%"
"17-10-2024","1,249.95","1,234.25","1,267.90","1,233.70","332.27K","1.27%"
"16-10-2024","1,234.25","1,207.70","1,240.00","1,198.70","313.01K","2.03%"
"15-10-2024","1,209.70","1,212.20","1,219.70","1,189.30","146.55K","0.32%"
"14-10-2024","1,205.90","1,197.20","1,228.50","1,182.40","286.36K","0.60%"
"11-10-2024","1,198.70","1,190.40","1,205.95","1,179.30","163.19K","0.70%"
"10-10-2024","1,190.40","1,206.60","1,222.15","1,185.80","198.60K","-1.20%"
"09-10-2024","1,204.80","1,197.00","1,219.80","1,167.70","525.58K","1.18%"
"08-10-2024","1,190.75","1,162.25","1,199.85","1,162.25","431.70K","2.61%"
"07-10-2024","1,160.50","1,186.00","1,203.00","1,140.10","395.68K","-3.28%"
"04-10-2024","1,199.85","1,190.30","1,209.75","1,165.00","195.02K","0.47%"
"03-10-2024","1,194.25","1,196.00","1,208.55","1,177.05","205.66K","-0.70%"
"01-10-2024","1,202.65","1,181.00","1,217.00","1,155.05","205.61K","2.53%"
"30-09-2024","1,173.00","1,164.65","1,203.70","1,152.45","452.50K","1.22%"
"27-09-2024","1,158.85","1,180.00","1,193.95","1,151.05","273.23K","-1.70%"
"26-09-2024","1,178.85","1,195.25","1,197.35","1,174.20","90.59K","-1.55%"
"25-09-2024","1,197.40","1,186.30","1,212.20","1,170.00","185.80K","0.95%"
"24-09-2024","1,186.10","1,259.90","1,261.25","1,180.00","284.52K","-5.05%"
"23-09-2024","1,249.20","1,230.00","1,287.90","1,222.75","542.06K","2.79%"
"20-09-2024","1,215.30","1,189.95","1,227.10","1,189.50","736.27K","3.04%"
"19-09-2024","1,179.50","1,160.00","1,246.80","1,143.00","2.64M","3.04%"
"18-09-2024","1,144.75","1,161.45","1,167.50","1,134.95","338.84K","-1.12%"
"17-09-2024","1,157.75","1,179.70","1,181.30","1,147.05","272.96K","-1.69%"
"16-09-2024","1,177.60","1,211.00","1,229.00","1,161.30","325.98K","-2.52%"
"13-09-2024","1,208.00","1,189.90","1,226.00","1,189.55","237.59K","1.92%"
"12-09-2024","1,185.30","1,190.95","1,205.00","1,175.10","230.20K","-0.42%"
"11-09-2024","1,190.25","1,200.00","1,226.00","1,181.35","271.31K","-0.31%"
"10-09-2024","1,193.90","1,225.00","1,257.00","1,177.00","657.09K","-1.00%"
"09-09-2024","1,206.00","1,200.15","1,225.00","1,175.45","499.27K","0.49%"
"06-09-2024","1,200.15","1,140.00","1,224.00","1,140.00","1.41M","4.26%"
"05-09-2024","1,151.10","1,118.40","1,156.50","1,118.40","265.56K","1.98%"
"04-09-2024","1,128.70","1,078.45","1,149.90","1,075.00","402.00K","3.09%"
"03-09-2024","1,094.85","1,076.60","1,108.95","1,066.55","154.46K","1.19%"
"02-09-2024","1,082.00","1,061.50","1,157.95","1,061.50","1.03M","0.79%"
"30-08-2024","1,073.55","1,062.40","1,094.40","1,053.00","267.62K","1.05%"
