"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","495.90","500.45","504.45","492.00","986.93K","0.03%"
"05-11-2024","495.75","478.00","499.00","478.00","1.07M","2.40%"
"04-11-2024","484.15","497.55","499.95","480.00","749.92K","-3.31%"
"01-11-2024","500.70","504.00","504.90","498.00","345.78K","0.18%"
"31-10-2024","499.80","495.10","504.80","492.85","1.16M","0.08%"
"30-10-2024","499.40","488.50","511.50","486.95","1.48M","1.39%"
"29-10-2024","492.55","478.50","497.40","471.10","1.13M","2.21%"
"28-10-2024","481.90","475.00","489.40","464.20","1.20M","3.58%"
"25-10-2024","465.25","481.95","486.00","455.70","1.56M","-2.77%"
"24-10-2024","478.50","489.00","493.20","474.80","1.40M","-1.16%"
"23-10-2024","484.10","490.05","498.75","476.10","1.37M","-0.48%"
"22-10-2024","486.45","522.90","522.90","483.20","1.93M","-6.57%"
"21-10-2024","520.65","541.00","543.20","518.65","947.08K","-3.63%"
"18-10-2024","540.25","536.00","547.45","526.65","859.93K","0.32%"
"17-10-2024","538.50","554.80","555.70","536.55","656.18K","-2.94%"
"16-10-2024","554.80","560.80","571.10","551.25","884.91K","-1.19%"
"15-10-2024","561.50","560.45","565.95","555.15","751.29K","0.12%"
"14-10-2024","560.80","571.00","571.95","556.45","743.58K","-1.52%"
"11-10-2024","569.45","556.95","574.30","553.20","1.09M","2.02%"
"10-10-2024","558.15","562.45","566.90","553.30","1.02M","-0.15%"
"09-10-2024","559.00","549.50","576.80","546.05","1.72M","2.10%"
"08-10-2024","547.50","515.00","555.00","509.55","1.98M","5.55%"
"07-10-2024","518.70","555.75","558.80","515.00","1.42M","-6.46%"
"04-10-2024","554.55","566.00","573.90","551.00","1.96M","-0.85%"
"03-10-2024","559.30","560.25","572.50","553.00","1.30M","-1.48%"
"01-10-2024","567.70","583.20","589.05","566.00","1.07M","-1.66%"
"30-09-2024","577.30","586.25","586.50","566.90","1.62M","-0.77%"
"27-09-2024","581.80","594.00","596.70","578.60","1.22M","-1.82%"
"26-09-2024","592.60","573.30","624.45","568.35","7.41M","4.39%"
