"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","903.85","876.00","914.65","869.05","2.58M","4.16%"
"05-11-2024","867.75","866.00","872.70","852.00","379.87K","0.29%"
"04-11-2024","865.20","863.55","870.00","850.00","362.49K","0.45%"
"01-11-2024","861.35","862.00","865.95","857.00","72.71K","0.13%"
"31-10-2024","860.25","860.95","863.60","846.45","949.92K","-0.19%"
"30-10-2024","861.85","851.00","863.30","839.00","616.40K","1.48%"
"29-10-2024","849.25","874.90","884.35","840.85","2.04M","-2.53%"
"28-10-2024","871.30","870.55","880.00","857.85","1.31M","-0.41%"
"25-10-2024","874.85","879.00","894.50","863.55","1.37M","-0.56%"
"24-10-2024","879.75","835.00","895.00","833.25","3.25M","5.13%"
"23-10-2024","836.85","838.70","854.00","828.65","1.00M","-0.22%"
"22-10-2024","838.70","851.10","860.80","832.25","672.86K","-1.92%"
"21-10-2024","855.15","874.00","884.35","852.75","360.46K","-2.54%"
"18-10-2024","877.40","875.85","885.55","873.40","252.02K","-0.13%"
"17-10-2024","878.55","886.40","896.20","870.30","530.23K","-0.86%"
"16-10-2024","886.15","881.60","890.00","877.05","406.57K","-0.08%"
"15-10-2024","886.85","893.35","894.35","881.55","176.55K","-0.35%"
"14-10-2024","890.00","884.95","892.00","875.80","208.06K","1.15%"
"11-10-2024","879.90","875.55","887.50","875.55","230.08K","-0.11%"
"10-10-2024","880.90","895.60","901.80","874.70","593.83K","-0.62%"
"09-10-2024","886.40","878.10","893.80","878.10","525.72K","1.08%"
"08-10-2024","876.95","870.35","881.00","862.50","214.20K","0.88%"
"07-10-2024","869.30","865.00","874.95","851.05","739.76K","0.42%"
"04-10-2024","865.70","880.20","894.40","862.55","974.70K","-2.11%"
"03-10-2024","884.35","875.00","902.35","873.15","566.03K","-2.74%"
"01-10-2024","909.25","892.20","911.95","892.20","375.12K","1.21%"
"30-09-2024","898.40","884.25","901.00","871.80","1.96M","1.61%"
"27-09-2024","884.15","880.00","895.10","877.65","782.83K","0.43%"
"26-09-2024","880.35","875.00","883.30","865.55","1.28M","0.15%"
"25-09-2024","879.05","895.00","895.80","872.40","726.13K","-1.71%"
"24-09-2024","894.30","892.00","899.00","877.95","797.87K","0.03%"
"23-09-2024","894.00","909.85","917.40","890.40","377.01K","-1.74%"
"20-09-2024","909.85","909.90","922.20","898.20","546.38K","0.86%"
"19-09-2024","902.10","893.10","914.60","889.75","952.86K","1.04%"
"18-09-2024","892.80","910.50","913.60","885.15","404.33K","-1.95%"
"17-09-2024","910.60","943.45","943.45","907.25","499.10K","-2.94%"
"16-09-2024","938.20","925.00","945.25","924.10","896.83K","1.55%"
"13-09-2024","923.85","917.15","928.50","911.20","343.44K","0.73%"
