"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","554.15","508.00","557.10","502.00","5.33M","9.36%"
"05-11-2024","506.70","507.00","522.40","501.45","1.88M","0.52%"
"04-11-2024","504.10","501.00","545.00","500.00","7.83M","-0.96%"
"01-11-2024","509.00","522.80","530.00","496.10","604.05K","-1.72%"
"31-10-2024","517.90","499.00","527.35","495.00","2.42M","2.52%"
"30-10-2024","505.15","486.30","509.00","481.45","8.10M","1.55%"
"29-10-2024","497.45","429.00","509.95","425.50","28.96M","15.11%"
"28-10-2024","432.15","389.55","442.50","385.85","12.24M","13.86%"
"25-10-2024","379.55","399.00","402.40","376.35","795.60K","-3.45%"
"24-10-2024","393.10","394.10","397.55","389.35","613.18K","-0.03%"
"23-10-2024","393.20","391.10","399.70","387.75","447.45K","-0.79%"
"22-10-2024","396.35","401.90","402.95","394.05","493.82K","-1.25%"
"21-10-2024","401.35","407.20","410.00","400.00","265.78K","-1.36%"
"18-10-2024","406.90","404.00","416.00","398.90","676.66K","0.28%"
"17-10-2024","405.75","409.45","410.90","403.40","328.80K","-0.84%"
"16-10-2024","409.20","411.15","413.90","408.25","270.38K","-0.85%"
"15-10-2024","412.70","418.15","418.45","411.20","184.82K","-0.72%"
"14-10-2024","415.70","418.55","419.05","409.50","246.20K","-0.28%"
"11-10-2024","416.85","415.80","419.00","411.65","182.94K","1.03%"
"10-10-2024","412.60","410.05","419.80","409.20","405.28K","0.92%"
"09-10-2024","408.85","412.35","413.50","408.05","346.37K","0.31%"
"08-10-2024","407.60","410.10","413.05","402.00","372.77K","-0.33%"
"07-10-2024","408.95","419.90","421.40","400.70","366.05K","-1.69%"
"04-10-2024","416.00","425.30","425.30","414.35","294.22K","-1.88%"
"03-10-2024","423.95","420.00","426.35","417.30","307.06K","-1.05%"
"01-10-2024","428.45","427.80","431.25","425.85","423.67K","0.86%"
"30-09-2024","424.80","445.50","446.00","420.20","686.75K","-3.63%"
"27-09-2024","440.80","453.00","460.60","438.15","498.77K","-2.28%"
"26-09-2024","451.10","460.05","462.60","446.80","351.13K","-1.62%"
"25-09-2024","458.55","444.55","472.80","442.40","2.83M","4.18%"
"24-09-2024","440.15","444.10","447.15","438.60","168.30K","-0.89%"
"23-09-2024","444.10","443.05","452.40","441.25","205.63K","0.24%"
"20-09-2024","443.05","448.00","448.00","438.20","247.32K","-0.39%"
"19-09-2024","444.80","447.85","448.95","435.00","357.99K","0.03%"
"18-09-2024","444.65","442.00","463.70","441.10","883.90K","0.94%"
"17-09-2024","440.50","453.90","454.95","438.70","443.71K","-2.74%"
"16-09-2024","452.90","465.20","468.95","452.00","388.93K","-3.26%"
"13-09-2024","468.15","459.90","480.50","454.60","1.76M","0.95%"
"12-09-2024","463.75","424.50","474.50","421.25","4.11M","10.52%"
"11-09-2024","419.60","421.95","423.20","418.05","132.54K","-0.07%"
"10-09-2024","419.90","427.00","429.60","418.75","394.19K","-0.78%"
"09-09-2024","423.20","429.65","429.65","417.20","282.77K","-1.50%"
"06-09-2024","429.65","437.00","443.70","428.10","215.64K","-1.29%"
"05-09-2024","435.25","438.05","443.30","434.95","159.67K","-0.61%"
"04-09-2024","437.90","430.00","438.90","429.00","317.88K","0.50%"
"03-09-2024","435.70","438.90","440.50","434.05","288.29K","-0.22%"
"02-09-2024","436.65","444.00","444.00","435.10","153.05K","-0.39%"
"30-08-2024","438.35","441.65","447.60","435.70","198.39K","-0.28%"
"29-08-2024","439.60","439.65","442.30","434.05","317.05K","0.18%"
"28-08-2024","438.80","436.50","443.90","435.60","240.40K","0.55%"
"27-08-2024","436.40","430.95","439.00","430.95","302.73K","1.37%"
"26-08-2024","430.50","455.10","460.95","429.00","778.14K","-5.24%"
"23-08-2024","454.30","441.60","462.95","437.00","867.90K","3.45%"
"22-08-2024","439.15","443.25","446.95","437.65","280.85K","-0.08%"
"21-08-2024","439.50","429.00","443.80","426.05","550.65K","2.66%"
"20-08-2024","428.10","426.95","433.70","423.85","387.40K","1.04%"
"19-08-2024","423.70","416.45","428.95","414.20","583.81K","3.01%"
"16-08-2024","411.30","415.00","415.10","407.30","360.13K","1.27%"
"14-08-2024","406.15","405.90","408.35","390.60","568.29K","1.02%"
"13-08-2024","402.05","405.95","409.40","398.30","524.93K","-0.80%"
"12-08-2024","405.30","417.80","418.50","404.25","675.56K","-2.29%"
"09-08-2024","414.80","407.00","420.00","407.00","647.14K","2.89%"
"08-08-2024","403.15","418.00","418.00","401.55","1.80M","-3.03%"
"07-08-2024","415.75","435.00","442.65","415.00","1.42M","-2.81%"
"06-08-2024","427.75","423.00","461.65","423.00","3.27M","-8.27%"
"05-08-2024","466.30","484.90","484.90","462.15","524.03K","-5.13%"
"02-08-2024","491.50","490.70","501.90","486.30","929.86K","-1.86%"
"01-08-2024","500.80","494.50","505.70","493.80","684.10K","1.27%"
"31-07-2024","494.50","491.50","498.90","490.00","441.47K","0.61%"
"30-07-2024","491.50","483.30","494.80","478.00","602.72K","2.18%"
"29-07-2024","481.00","484.00","489.50","479.20","562.58K","1.14%"
"26-07-2024","475.60","474.90","487.95","472.50","576.36K","1.21%"
"25-07-2024","469.90","465.90","479.40","463.55","331.83K","-0.66%"
"24-07-2024","473.00","464.60","475.90","460.90","204.77K","2.90%"
"23-07-2024","459.65","470.00","484.00","446.10","562.16K","-2.35%"
"22-07-2024","470.70","440.05","472.00","440.05","617.64K","3.88%"
"19-07-2024","453.10","462.50","465.75","448.30","597.46K","-2.03%"
"18-07-2024","462.50","479.00","480.50","460.10","682.94K","-3.55%"
"16-07-2024","479.50","485.85","488.65","477.00","248.00K","-1.53%"
"15-07-2024","486.95","489.60","492.20","480.40","184.78K","-0.07%"
"12-07-2024","487.30","484.70","490.95","483.30","298.70K","0.93%"
"11-07-2024","482.80","490.00","494.15","482.00","334.33K","-1.71%"
"10-07-2024","491.20","492.75","493.95","480.00","265.69K","0.06%"
"09-07-2024","490.90","495.10","501.40","488.00","303.19K","-0.85%"
"08-07-2024","495.10","504.80","506.00","491.70","444.73K","-1.37%"
"05-07-2024","502.00","506.65","512.90","499.00","525.07K","-0.88%"
"04-07-2024","506.45","497.90","509.55","497.30","599.63K","2.05%"
"03-07-2024","496.30","489.30","503.00","488.50","503.66K","2.14%"
"02-07-2024","485.90","494.90","499.40","484.00","594.04K","-1.08%"
"01-07-2024","491.20","497.00","499.70","487.30","415.65K","-1.17%"
"28-06-2024","497.00","507.25","509.90","495.20","533.86K","-1.65%"
"27-06-2024","505.35","503.10","516.55","497.85","858.80K","0.67%"
"26-06-2024","502.00","492.00","504.40","488.75","608.84K","2.18%"
"25-06-2024","491.30","499.95","521.85","490.00","3.17M","-1.70%"
"24-06-2024","499.80","503.10","512.30","496.50","1.40M","-0.27%"
"21-06-2024","501.15","482.45","528.85","482.45","6.76M","4.43%"
"20-06-2024","479.90","476.00","485.95","471.75","538.54K","0.88%"
"19-06-2024","475.70","475.90","482.50","470.20","429.54K","0.99%"
"18-06-2024","471.05","469.30","487.50","469.25","1.63M","1.13%"
"14-06-2024","465.80","468.85","480.00","461.75","413.86K","-0.14%"
"13-06-2024","466.45","471.00","476.65","465.50","438.89K","-0.94%"
"12-06-2024","470.90","471.25","480.55","468.00","707.00K","-0.04%"
"11-06-2024","471.10","461.20","476.00","461.20","600.08K","2.21%"
"10-06-2024","460.90","470.65","473.85","459.50","325.99K","-0.83%"
"07-06-2024","464.75","452.50","478.95","452.50","883.80K","2.71%"
"06-06-2024","452.50","448.90","460.00","444.75","755.12K","3.28%"
"05-06-2024","438.15","453.00","455.90","412.50","1.71M","-1.83%"
"04-06-2024","446.30","499.00","499.00","411.55","1.70M","-9.95%"
"03-06-2024","495.60","495.00","504.00","485.00","1.76M","3.24%"
"31-05-2024","480.05","476.00","482.90","474.35","1.12M","1.06%"
"30-05-2024","475.00","475.75","481.95","470.15","377.04K","-0.19%"
"29-05-2024","475.90","463.00","478.00","462.60","453.68K","1.88%"
"28-05-2024","467.10","476.55","478.20","465.05","580.57K","-1.80%"
"27-05-2024","475.65","478.70","492.90","466.80","1.15M","-0.64%"
"24-05-2024","478.70","452.05","488.35","450.00","3.25M","5.90%"
"23-05-2024","452.05","433.00","456.40","432.05","1.74M","4.99%"
"22-05-2024","430.55","421.25","434.00","414.05","1.57M","3.01%"
"21-05-2024","417.95","411.95","421.95","402.60","1.88M","1.30%"
"18-05-2024","412.60","412.60","412.60","412.60","","4.35%"
"17-05-2024","395.40","399.75","403.00","390.00","725.30K","-0.73%"
"16-05-2024","398.30","404.45","405.00","397.10","546.98K","-0.21%"
"15-05-2024","399.15","405.80","410.00","398.10","1.05M","0.19%"
"14-05-2024","398.40","395.10","422.40","386.10","4.44M","1.52%"
"13-05-2024","392.45","474.00","475.00","386.30","4.86M","-17.02%"
"10-05-2024","472.95","465.90","474.65","461.25","284.07K","2.02%"
"09-05-2024","463.60","479.00","482.90","459.80","315.53K","-3.32%"
"08-05-2024","479.50","478.50","481.15","473.00","121.10K","1.00%"
"07-05-2024","474.75","485.90","488.95","473.00","217.54K","-1.81%"
"06-05-2024","483.50","492.00","493.00","480.85","239.22K","-0.90%"
"03-05-2024","487.90","500.90","506.00","485.20","558.66K","-1.79%"
"02-05-2024","496.80","485.00","499.00","485.00","592.46K","1.85%"
"30-04-2024","487.80","482.00","494.00","482.00","374.59K","1.53%"
"29-04-2024","480.45","477.90","487.00","475.30","420.11K","1.09%"
"26-04-2024","475.25","474.85","478.45","473.45","206.88K","0.18%"
"25-04-2024","474.40","479.65","487.05","473.05","488.71K","-0.56%"
"24-04-2024","477.05","469.90","489.65","469.90","593.95K","2.05%"
"23-04-2024","467.45","478.45","479.05","466.10","333.20K","-1.57%"
"22-04-2024","474.90","471.05","477.00","470.45","154.17K","1.94%"
"19-04-2024","465.85","466.15","473.65","464.05","236.72K","-1.54%"
"18-04-2024","473.15","477.00","484.95","472.00","208.62K","0.28%"
"16-04-2024","471.85","474.00","484.00","468.90","224.59K","-1.47%"
"15-04-2024","478.90","476.50","484.00","470.80","200.49K","-1.94%"
"12-04-2024","488.35","476.00","492.15","475.30","289.71K","1.88%"
"10-04-2024","479.35","475.00","483.90","474.55","218.58K","1.19%"
"09-04-2024","473.70","489.80","495.00","472.00","486.52K","-2.85%"
"08-04-2024","487.60","496.70","500.00","486.05","302.16K","-1.12%"
"05-04-2024","493.10","499.85","501.95","491.05","244.45K","-1.42%"
"04-04-2024","500.20","499.50","502.95","484.10","621.43K","1.12%"
"03-04-2024","494.65","489.95","497.20","487.00","273.56K","0.55%"
"02-04-2024","491.95","491.95","503.25","485.95","643.02K","0.74%"
"01-04-2024","488.35","474.35","491.00","472.60","559.79K","4.93%"
"28-03-2024","465.40","474.00","477.00","461.30","494.10K","-1.78%"
"27-03-2024","473.85","477.75","477.75","470.10","520.06K","0.15%"
"26-03-2024","473.15","482.70","484.00","468.35","443.14K","-1.84%"
"22-03-2024","482.00","482.00","487.60","479.00","325.91K","-0.19%"
"21-03-2024","482.90","487.70","494.00","480.20","459.93K","0.13%"
"20-03-2024","482.25","490.00","494.00","477.10","888.74K","1.64%"
"19-03-2024","474.45","497.00","502.20","472.20","604.15K","-4.34%"
"18-03-2024","496.00","507.00","509.05","494.00","297.50K","-2.17%"
"15-03-2024","507.00","484.95","514.95","474.00","3.23M","4.46%"
"14-03-2024","485.35","456.00","492.00","450.00","1.12M","6.31%"
"13-03-2024","456.55","498.70","500.45","450.00","997.94K","-7.67%"
"12-03-2024","494.50","515.00","515.00","491.00","678.15K","-2.79%"
"11-03-2024","508.70","528.20","528.25","504.00","622.86K","-3.21%"
"07-03-2024","525.55","569.95","569.95","522.50","2.91M","1.11%"
"06-03-2024","519.80","524.00","531.65","515.00","426.93K","-1.82%"
"05-03-2024","529.45","538.95","538.95","523.10","258.16K","-1.18%"
"04-03-2024","535.75","547.20","548.60","533.00","250.82K","-1.20%"
"02-03-2024","542.25","538.00","543.00","536.15","46.60K","1.14%"
"01-03-2024","536.15","536.00","542.65","531.65","417.26K","2.25%"
"29-02-2024","524.35","507.00","537.85","494.10","1.10M","2.56%"
"28-02-2024","511.25","526.75","529.30","508.00","840.86K","-2.66%"
"27-02-2024","525.20","523.35","534.00","523.35","392.16K","0.49%"
"26-02-2024","522.65","525.90","540.00","518.00","835.42K","-0.49%"
"23-02-2024","525.20","510.30","528.35","510.30","578.94K","2.92%"
"22-02-2024","510.30","517.30","524.00","506.30","384.35K","-1.35%"
"21-02-2024","517.30","514.95","524.70","512.00","859.92K","1.17%"
"20-02-2024","511.30","516.20","524.70","509.40","379.20K","-0.95%"
"19-02-2024","516.20","517.45","530.00","511.80","738.91K","1.56%"
"16-02-2024","508.25","507.90","515.00","503.40","379.23K","1.16%"
"15-02-2024","502.40","507.90","517.55","500.00","503.40K","-0.21%"
"14-02-2024","503.45","503.35","516.75","501.10","545.20K","-1.26%"
"13-02-2024","509.90","500.00","513.95","491.00","460.85K","1.92%"
"12-02-2024","500.30","512.50","518.60","492.00","314.63K","-2.38%"
"09-02-2024","512.50","518.65","524.65","510.50","468.55K","-1.19%"
"08-02-2024","518.65","526.00","538.50","514.05","814.21K","-1.09%"
"07-02-2024","524.35","505.05","534.00","491.35","4.63M","-8.08%"
"06-02-2024","570.45","570.30","576.00","541.00","978.30K","0.90%"
"05-02-2024","565.35","587.65","587.65","560.55","388.85K","-2.76%"
"02-02-2024","581.40","591.90","601.95","579.25","596.92K","-0.56%"
"01-02-2024","584.65","601.65","601.65","581.20","209.32K","-2.35%"
"31-01-2024","598.70","602.95","602.95","595.00","323.44K","0.25%"
"30-01-2024","597.20","599.00","606.95","594.50","249.71K","-0.63%"
"29-01-2024","601.00","604.90","610.00","599.00","172.05K","0.08%"
"25-01-2024","600.50","609.00","617.50","598.00","396.57K","0.87%"
"24-01-2024","595.30","592.55","622.95","590.35","502.48K","0.19%"
"23-01-2024","594.15","608.25","614.50","588.50","259.45K","-1.99%"
"20-01-2024","606.20","611.00","617.00","605.60","143.87K","-0.78%"
"19-01-2024","610.95","606.00","615.90","606.00","274.86K","1.57%"
"18-01-2024","601.50","606.00","621.70","594.60","767.50K","-0.59%"
"17-01-2024","605.05","613.00","628.30","602.90","524.64K","-2.33%"
"16-01-2024","619.50","604.85","629.50","601.00","986.62K","2.34%"
"15-01-2024","605.35","620.00","622.10","599.10","461.99K","-1.40%"
"12-01-2024","613.95","614.05","622.05","611.60","398.57K","-0.58%"
"11-01-2024","617.55","613.95","622.35","608.45","636.33K","1.17%"
"10-01-2024","610.40","613.50","613.50","604.15","459.86K","0.02%"
"09-01-2024","610.25","614.00","625.40","606.10","451.04K","0.20%"
"08-01-2024","609.05","635.00","635.00","605.35","449.18K","-3.51%"
"05-01-2024","631.20","641.90","646.85","623.35","490.67K","-1.23%"
"04-01-2024","639.05","664.95","669.85","634.00","726.87K","-3.76%"
"03-01-2024","664.05","662.40","670.75","656.00","529.22K","0.91%"
"02-01-2024","658.05","662.95","666.45","651.05","282.97K","-0.23%"
"01-01-2024","659.55","665.45","672.80","658.00","366.60K","-1.71%"
"29-12-2023","671.00","663.40","677.00","660.50","438.95K","1.60%"
"28-12-2023","660.45","657.95","664.90","652.10","481.08K","0.49%"
"27-12-2023","657.20","669.40","670.00","652.10","1.04M","-1.08%"
"26-12-2023","664.40","674.90","674.95","660.45","566.56K","-0.95%"
"22-12-2023","670.80","679.50","682.00","666.60","540.49K","-0.46%"
"21-12-2023","673.90","669.65","685.00","646.00","1.22M","0.19%"
