"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,007.05","1,002.00","1,010.65","997.90","683.59K","0.63%"
"05-11-2024","1,000.75","985.10","1,013.10","985.10","1.16M","0.62%"
"04-11-2024","994.60","998.00","1,000.95","976.05","1.43M","-0.95%"
"01-11-2024","1,004.10","1,002.55","1,012.00","1,000.00","212.77K","0.15%"
"31-10-2024","1,002.55","1,025.00","1,027.90","997.10","1.38M","-1.97%"
"30-10-2024","1,022.70","991.25","1,027.00","988.15","2.05M","3.09%"
"29-10-2024","992.05","982.00","995.30","973.80","1.26M","1.65%"
"28-10-2024","975.90","973.05","983.35","964.00","2.36M","0.29%"
"25-10-2024","973.05","996.90","1,003.55","970.50","2.26M","-2.35%"
"24-10-2024","996.45","1,017.95","1,022.10","994.90","2.01M","-1.78%"
"23-10-2024","1,014.55","1,000.00","1,016.80","995.00","1.94M","1.63%"
"22-10-2024","998.25","1,023.30","1,023.85","994.50","2.74M","-1.85%"
"21-10-2024","1,017.05","1,047.00","1,059.45","986.35","11.48M","-6.97%"
"18-10-2024","1,093.25","1,090.15","1,098.15","1,072.05","953.93K","0.28%"
"17-10-2024","1,090.15","1,113.00","1,117.00","1,087.65","975.43K","-2.14%"
"16-10-2024","1,113.95","1,115.20","1,120.00","1,102.10","738.40K","-0.12%"
"15-10-2024","1,115.25","1,116.00","1,119.00","1,106.10","768.82K","0.15%"
"14-10-2024","1,113.55","1,120.00","1,138.00","1,105.60","513.80K","0.04%"
"11-10-2024","1,113.10","1,118.00","1,122.35","1,101.65","569.47K","-0.09%"
"10-10-2024","1,114.15","1,117.80","1,129.00","1,111.40","1.18M","-0.33%"
"09-10-2024","1,117.80","1,127.00","1,132.00","1,110.00","1.32M","-0.11%"
"08-10-2024","1,119.05","1,111.40","1,124.40","1,105.45","1.74M","0.69%"
"07-10-2024","1,111.40","1,130.40","1,142.65","1,106.95","1.54M","-1.68%"
"04-10-2024","1,130.40","1,150.00","1,154.75","1,125.20","1.77M","-1.94%"
"03-10-2024","1,152.75","1,186.00","1,190.00","1,150.15","1.91M","-3.64%"
"01-10-2024","1,196.25","1,196.95","1,205.45","1,191.60","892.38K","-0.06%"
"30-09-2024","1,196.95","1,194.95","1,213.65","1,194.95","1.22M","-0.38%"
"27-09-2024","1,201.55","1,213.95","1,215.70","1,199.00","2.18M","-0.98%"
"26-09-2024","1,213.45","1,195.00","1,217.00","1,191.15","2.32M","2.00%"
"25-09-2024","1,189.60","1,213.90","1,216.00","1,182.05","2.45M","-1.82%"
"24-09-2024","1,211.65","1,216.00","1,227.90","1,210.05","3.39M","0.01%"
"23-09-2024","1,211.55","1,222.00","1,233.65","1,210.25","2.82M","-0.44%"
"20-09-2024","1,216.85","1,220.00","1,230.95","1,213.35","3.53M","0.13%"
"19-09-2024","1,215.25","1,207.00","1,225.60","1,204.05","2.74M","1.20%"
"18-09-2024","1,200.85","1,220.25","1,223.40","1,194.00","930.90K","-1.59%"
"17-09-2024","1,220.25","1,223.00","1,234.30","1,212.15","1.45M","0.14%"
"16-09-2024","1,218.50","1,220.00","1,223.75","1,207.00","984.58K","0.68%"
"13-09-2024","1,210.30","1,226.00","1,227.00","1,208.05","1.57M","-1.02%"
"12-09-2024","1,222.75","1,210.00","1,225.95","1,199.35","2.64M","1.52%"
"11-09-2024","1,204.40","1,209.90","1,219.00","1,201.25","1.84M","0.02%"
"10-09-2024","1,204.15","1,200.00","1,212.95","1,196.25","1.82M","1.02%"
"09-09-2024","1,192.05","1,173.85","1,195.95","1,169.90","1.97M","1.55%"
"06-09-2024","1,173.85","1,188.00","1,191.75","1,168.75","989.66K","-1.25%"
"05-09-2024","1,188.65","1,199.50","1,206.85","1,185.65","1.06M","-0.53%"
"04-09-2024","1,194.95","1,196.05","1,198.95","1,175.00","1.63M","-0.34%"
"03-09-2024","1,199.00","1,209.00","1,218.35","1,196.30","1.88M","-0.06%"
"02-09-2024","1,199.70","1,200.00","1,227.00","1,197.20","1.85M","-0.04%"
"30-08-2024","1,200.15","1,195.00","1,207.50","1,195.00","2.55M","0.14%"
