"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,809.05","1,759.60","1,815.20","1,754.80","379.10K","3.02%"
"05-11-2024","1,756.05","1,745.00","1,760.00","1,715.05","240.64K","0.56%"
"04-11-2024","1,746.35","1,781.05","1,787.90","1,724.00","368.44K","-2.48%"
"01-11-2024","1,790.80","1,795.00","1,797.45","1,778.50","41.08K","0.91%"
"31-10-2024","1,774.65","1,792.10","1,792.10","1,747.15","556.95K","-0.70%"
"30-10-2024","1,787.15","1,780.00","1,825.00","1,769.00","383.59K","0.17%"
"29-10-2024","1,784.05","1,796.80","1,798.40","1,761.40","331.85K","-0.18%"
"28-10-2024","1,787.35","1,779.10","1,813.35","1,769.20","213.90K","0.55%"
"25-10-2024","1,777.60","1,787.25","1,792.45","1,738.05","405.21K","-0.53%"
"24-10-2024","1,787.00","1,799.00","1,841.95","1,773.75","780.08K","0.45%"
"23-10-2024","1,779.05","1,790.00","1,827.90","1,772.10","262.32K","-1.12%"
"22-10-2024","1,799.20","1,854.95","1,867.95","1,793.15","365.60K","-2.90%"
"21-10-2024","1,852.85","1,873.05","1,906.00","1,848.20","326.58K","-1.08%"
"18-10-2024","1,873.00","1,819.00","1,880.70","1,808.10","669.94K","2.35%"
"17-10-2024","1,830.05","1,929.00","1,929.00","1,811.00","1.13M","-4.81%"
"16-10-2024","1,922.45","1,934.95","1,950.00","1,908.00","210.46K","-0.46%"
"15-10-2024","1,931.30","1,951.00","1,955.50","1,910.20","342.24K","-1.03%"
"14-10-2024","1,951.35","1,963.75","1,974.10","1,935.00","171.60K","-0.63%"
"11-10-2024","1,963.75","1,955.30","1,993.70","1,954.95","333.88K","0.61%"
"10-10-2024","1,951.80","1,953.00","1,984.30","1,945.00","417.12K","0.13%"
"09-10-2024","1,949.35","2,005.00","2,013.05","1,945.00","309.95K","-2.73%"
"08-10-2024","2,004.15","1,980.00","2,024.00","1,970.00","266.87K","1.22%"
"07-10-2024","1,980.00","2,082.05","2,096.40","1,968.60","520.67K","-4.90%"
"04-10-2024","2,082.05","2,143.00","2,157.70","2,072.20","469.61K","-2.85%"
"03-10-2024","2,143.10","2,120.00","2,175.00","2,101.15","673.76K","-0.72%"
"01-10-2024","2,158.75","2,143.00","2,175.00","2,131.65","826.48K","1.12%"
"30-09-2024","2,134.75","2,118.00","2,142.90","2,094.10","474.79K","0.39%"
"27-09-2024","2,126.45","2,145.00","2,168.00","2,120.10","504.34K","-0.87%"
"26-09-2024","2,145.15","2,140.00","2,158.80","2,116.00","1.74M","0.82%"
"25-09-2024","2,127.70","2,025.00","2,134.35","2,012.10","2.69M","5.18%"
"24-09-2024","2,022.95","2,012.80","2,042.00","2,010.05","435.60K","0.76%"
"23-09-2024","2,007.75","1,978.05","2,025.00","1,978.05","319.32K","2.02%"
"20-09-2024","1,968.00","1,985.60","1,986.90","1,942.20","372.96K","-0.37%"
"19-09-2024","1,975.25","2,000.00","2,028.95","1,948.00","501.37K","-0.99%"
"18-09-2024","1,995.10","2,021.10","2,029.90","1,977.10","226.56K","-1.72%"
"17-09-2024","2,029.95","2,036.00","2,047.50","2,007.50","285.53K","-0.86%"
"16-09-2024","2,047.50","2,074.00","2,079.00","2,040.00","173.82K","-0.62%"
"13-09-2024","2,060.20","2,033.90","2,070.00","2,022.55","1.01M","1.92%"
"12-09-2024","2,021.45","1,990.95","2,032.20","1,981.00","1.49M","1.96%"
"11-09-2024","1,982.65","2,010.00","2,030.00","1,977.10","924.11K","-0.73%"
"10-09-2024","1,997.30","1,935.95","2,006.00","1,930.00","1.07M","3.71%"
"09-09-2024","1,925.85","1,924.00","1,934.65","1,909.40","225.00K","-0.80%"
"06-09-2024","1,941.35","1,972.30","1,979.90","1,939.00","180.12K","-1.81%"
"05-09-2024","1,977.15","1,961.00","1,988.55","1,943.70","216.62K","1.28%"
"04-09-2024","1,952.10","1,960.00","1,969.20","1,944.05","178.35K","-1.48%"
"03-09-2024","1,981.45","1,965.20","2,019.90","1,963.00","597.37K","0.83%"
"02-09-2024","1,965.20","1,963.05","1,973.60","1,943.45","305.12K","0.17%"
"30-08-2024","1,961.85","1,943.90","1,981.00","1,932.95","787.43K","1.50%"
"29-08-2024","1,932.95","1,932.00","1,949.00","1,908.15","163.37K","0.23%"
"28-08-2024","1,928.50","1,957.00","1,974.80","1,923.60","508.81K","-0.91%"
"27-08-2024","1,946.15","1,955.00","1,965.00","1,926.55","262.77K","-0.08%"
"26-08-2024","1,947.70","1,915.50","1,953.70","1,911.20","464.68K","2.14%"
"23-08-2024","1,906.90","1,929.90","1,934.35","1,901.00","186.73K","-0.63%"
"22-08-2024","1,918.95","1,891.90","1,931.75","1,887.30","354.78K","1.69%"
"21-08-2024","1,887.10","1,879.05","1,892.45","1,865.20","193.20K","0.41%"
"20-08-2024","1,879.45","1,875.00","1,887.00","1,866.35","405.11K","0.44%"
"19-08-2024","1,871.25","1,864.85","1,883.70","1,864.85","170.95K","0.36%"
"16-08-2024","1,864.60","1,842.95","1,870.00","1,840.15","146.38K","1.70%"
"14-08-2024","1,833.35","1,849.45","1,857.95","1,814.90","237.22K","-0.87%"
"13-08-2024","1,849.45","1,885.95","1,889.45","1,837.90","179.44K","-1.98%"
"12-08-2024","1,886.75","1,870.35","1,900.15","1,852.50","356.13K","-0.04%"
"09-08-2024","1,887.50","1,866.45","1,905.95","1,863.05","249.05K","1.78%"
"08-08-2024","1,854.50","1,880.00","1,889.05","1,851.05","218.28K","-1.19%"
"07-08-2024","1,876.75","1,860.00","1,885.00","1,844.85","470.44K","1.90%"
"06-08-2024","1,841.70","1,880.30","1,911.50","1,835.55","273.05K","-1.51%"
"05-08-2024","1,869.95","1,897.40","1,939.00","1,858.00","527.97K","-4.17%"
"02-08-2024","1,951.35","1,954.00","1,989.95","1,929.65","476.19K","-0.99%"
"01-08-2024","1,970.85","1,992.75","2,005.85","1,956.65","601.24K","-1.00%"
"31-07-2024","1,990.75","1,910.00","2,004.50","1,910.00","2.22M","4.36%"
"30-07-2024","1,907.50","1,885.00","1,931.70","1,876.60","1.31M","1.70%"
"29-07-2024","1,875.60","1,894.95","1,895.00","1,863.00","388.10K","-0.57%"
"26-07-2024","1,886.40","1,842.00","1,893.95","1,835.10","588.63K","3.01%"
"25-07-2024","1,831.35","1,825.00","1,846.35","1,816.65","287.25K","-0.93%"
"24-07-2024","1,848.50","1,787.00","1,858.20","1,774.55","794.72K","3.53%"
"23-07-2024","1,785.55","1,795.05","1,802.25","1,720.05","476.07K","-0.01%"
"22-07-2024","1,785.70","1,785.05","1,817.95","1,767.25","605.99K","-0.15%"
"19-07-2024","1,788.40","1,875.00","1,883.90","1,780.05","1.55M","-4.39%"
"18-07-2024","1,870.45","1,835.00","1,888.00","1,825.55","856.14K","1.05%"
"16-07-2024","1,851.05","1,871.15","1,882.95","1,846.55","223.94K","-1.07%"
"15-07-2024","1,871.15","1,863.05","1,882.95","1,850.00","183.19K","0.63%"
"12-07-2024","1,859.50","1,873.70","1,875.00","1,855.00","172.88K","-0.51%"
"11-07-2024","1,869.00","1,858.95","1,872.00","1,843.05","262.27K","0.77%"
"10-07-2024","1,854.75","1,853.50","1,863.20","1,810.05","248.41K","0.60%"
"09-07-2024","1,843.75","1,853.00","1,871.50","1,824.00","482.74K","-0.72%"
"08-07-2024","1,857.20","1,888.30","1,892.95","1,840.00","269.81K","-1.65%"
"05-07-2024","1,888.30","1,878.70","1,893.00","1,873.20","247.62K","0.64%"
"04-07-2024","1,876.30","1,896.00","1,900.00","1,874.30","391.03K","-0.97%"
"03-07-2024","1,894.75","1,894.65","1,902.00","1,870.05","651.06K","0.28%"
"02-07-2024","1,889.50","1,857.00","1,905.50","1,836.55","1.28M","1.81%"
"01-07-2024","1,855.85","1,846.45","1,868.10","1,838.05","220.51K","0.08%"
"28-06-2024","1,854.45","1,868.00","1,883.90","1,842.10","343.29K","-0.21%"
"27-06-2024","1,858.40","1,841.80","1,878.95","1,832.10","426.73K","0.91%"
"26-06-2024","1,841.60","1,838.00","1,864.45","1,820.15","371.71K","0.22%"
"25-06-2024","1,837.50","1,853.95","1,865.95","1,827.85","215.96K","-0.64%"
"24-06-2024","1,849.35","1,845.05","1,856.40","1,829.05","188.24K","0.20%"
"21-06-2024","1,845.75","1,870.00","1,877.95","1,840.00","364.80K","-1.04%"
"20-06-2024","1,865.20","1,834.95","1,880.00","1,818.90","531.54K","1.85%"
"19-06-2024","1,831.25","1,871.00","1,872.45","1,827.85","516.88K","-1.98%"
"18-06-2024","1,868.20","1,875.80","1,878.20","1,855.10","342.15K","-0.01%"
"14-06-2024","1,868.40","1,882.05","1,885.80","1,860.55","276.06K","-0.46%"
"13-06-2024","1,877.00","1,926.00","1,926.00","1,865.00","732.63K","-1.05%"
"12-06-2024","1,897.00","1,895.00","1,917.15","1,887.95","666.24K","0.97%"
"11-06-2024","1,878.75","1,865.00","1,909.00","1,851.00","573.63K","1.06%"
"10-06-2024","1,859.00","1,829.00","1,877.60","1,819.25","1.14M","2.55%"
"07-06-2024","1,812.75","1,799.00","1,817.75","1,780.10","406.70K","1.21%"
"06-06-2024","1,791.10","1,748.30","1,799.00","1,748.00","375.93K","2.45%"
"05-06-2024","1,748.30","1,670.00","1,755.70","1,655.65","660.37K","4.80%"
"04-06-2024","1,668.25","1,771.45","1,771.45","1,585.55","889.19K","-6.03%"
"03-06-2024","1,775.25","1,804.95","1,821.40","1,769.05","1.02M","-0.17%"
"31-05-2024","1,778.30","1,769.00","1,784.00","1,761.65","592.94K","0.89%"
"30-05-2024","1,762.70","1,785.40","1,796.45","1,756.05","283.69K","-1.55%"
"29-05-2024","1,790.45","1,785.00","1,808.80","1,785.00","205.86K","-0.52%"
"28-05-2024","1,799.75","1,823.95","1,828.10","1,781.10","373.27K","-1.03%"
"27-05-2024","1,818.50","1,840.00","1,842.40","1,806.95","264.14K","-1.09%"
"24-05-2024","1,838.55","1,837.00","1,845.00","1,826.25","194.44K","0.22%"
