"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,033.90","1,020.00","1,038.00","1,014.25","841.28K","2.15%"
"05-11-2024","1,012.10","1,010.00","1,014.80","1,003.95","513.63K","0.14%"
"04-11-2024","1,010.70","1,029.00","1,029.00","1,002.00","617.62K","-1.61%"
"01-11-2024","1,027.20","1,015.00","1,032.00","1,012.00","457.09K","2.08%"
"31-10-2024","1,006.30","1,005.60","1,012.90","1,000.20","458.84K","0.07%"
"30-10-2024","1,005.60","1,005.00","1,012.85","1,000.15","768.15K","0.59%"
"29-10-2024","999.75","1,004.50","1,016.40","986.75","1.71M","0.03%"
"28-10-2024","999.50","1,016.00","1,030.60","994.50","1.34M","-1.18%"
"25-10-2024","1,011.45","1,028.00","1,032.90","1,000.10","1.21M","-1.31%"
"24-10-2024","1,024.85","1,040.90","1,051.30","1,018.15","1.02M","-1.46%"
"23-10-2024","1,040.05","1,023.65","1,056.90","1,014.05","1.32M","1.71%"
"22-10-2024","1,022.55","1,056.00","1,063.80","1,020.05","1.15M","-2.87%"
"21-10-2024","1,052.75","1,063.45","1,074.95","1,050.00","952.18K","-0.69%"
"18-10-2024","1,060.10","1,055.00","1,067.45","1,044.55","809.48K","0.02%"
"17-10-2024","1,059.90","1,076.90","1,087.85","1,058.00","1.26M","-1.65%"
"16-10-2024","1,077.65","1,042.00","1,080.00","1,042.00","1.48M","1.99%"
"15-10-2024","1,056.65","1,057.90","1,064.00","1,052.35","738.52K","0.54%"
"14-10-2024","1,050.95","1,057.50","1,062.45","1,048.10","805.32K","-0.35%"
"11-10-2024","1,054.60","1,064.70","1,068.50","1,051.70","822.06K","-0.95%"
"10-10-2024","1,064.70","1,045.10","1,089.15","1,045.10","2.99M","1.53%"
"09-10-2024","1,048.70","1,064.00","1,064.05","1,044.20","1.35M","0.45%"
"08-10-2024","1,044.00","1,030.00","1,048.55","1,021.55","977.24K","1.77%"
"07-10-2024","1,025.85","1,065.00","1,070.65","1,016.50","2.13M","-2.99%"
"04-10-2024","1,057.45","1,063.35","1,082.00","1,047.25","1.92M","-0.55%"
"03-10-2024","1,063.30","1,078.90","1,087.70","1,061.05","1.40M","-2.83%"
"01-10-2024","1,094.25","1,105.00","1,112.00","1,091.40","993.85K","-0.81%"
"30-09-2024","1,103.15","1,115.00","1,118.00","1,100.20","1.34M","-1.59%"
"27-09-2024","1,121.00","1,099.00","1,134.70","1,098.70","3.50M","2.38%"
"26-09-2024","1,094.95","1,090.00","1,107.00","1,084.00","1.32M","0.58%"
"25-09-2024","1,088.60","1,100.80","1,111.00","1,085.00","1.22M","-0.90%"
"24-09-2024","1,098.50","1,109.70","1,113.30","1,096.00","1.21M","-0.74%"
"23-09-2024","1,106.70","1,130.00","1,130.00","1,101.00","3.10M","-0.72%"
"20-09-2024","1,114.70","1,069.35","1,136.00","1,067.00","9.38M","5.09%"
"19-09-2024","1,060.75","1,080.45","1,096.95","1,051.85","3.07M","-0.47%"
"18-09-2024","1,065.80","1,082.00","1,086.85","1,062.10","1.55M","-1.34%"
"17-09-2024","1,080.30","1,095.50","1,100.45","1,077.90","1.43M","-1.31%"
"16-09-2024","1,094.65","1,106.00","1,120.85","1,090.75","3.11M","0.45%"
"13-09-2024","1,089.70","1,090.00","1,105.90","1,085.30","2.20M","0.55%"
"12-09-2024","1,083.75","1,089.90","1,095.00","1,079.20","1.89M","0.55%"
"11-09-2024","1,077.85","1,098.00","1,107.80","1,073.90","2.81M","-1.21%"
"10-09-2024","1,091.00","1,088.90","1,109.70","1,085.05","3.21M","1.25%"
"09-09-2024","1,077.55","1,115.00","1,115.00","1,074.25","4.38M","-3.15%"
"06-09-2024","1,112.65","1,083.00","1,122.90","1,075.05","13.37M","3.51%"
"05-09-2024","1,074.90","1,063.00","1,088.00","1,058.25","4.76M","1.77%"
"04-09-2024","1,056.20","1,058.00","1,068.00","1,051.60","2.33M","-1.18%"
"03-09-2024","1,068.80","1,057.00","1,074.30","1,045.55","4.40M","1.70%"
"02-09-2024","1,050.95","1,075.00","1,076.00","1,048.00","3.26M","-1.37%"
"30-08-2024","1,065.60","1,069.00","1,080.00","1,054.20","5.29M","0.41%"
"29-08-2024","1,061.30","1,080.00","1,089.90","1,057.40","4.38M","-1.62%"
"28-08-2024","1,078.80","1,107.00","1,115.00","1,075.05","11.55M","-1.87%"
"27-08-2024","1,099.40","1,038.00","1,107.00","1,021.55","23.58M","4.84%"
"26-08-2024","1,048.65","1,053.00","1,064.90","1,040.00","9.13M","1.13%"
"23-08-2024","1,036.95","1,012.95","1,054.80","1,012.95","17.49M","2.95%"
"22-08-2024","1,007.20","1,036.50","1,045.00","1,002.40","3.58M","-1.78%"
"21-08-2024","1,025.45","1,007.00","1,048.75","1,000.45","5.02M","2.10%"
"20-08-2024","1,004.40","1,001.00","1,040.00","998.00","3.45M","0.57%"
"19-08-2024","998.70","1,007.35","1,007.35","996.00","344.30K","-0.04%"
"16-08-2024","999.05","994.95","1,012.00","993.15","1.20M","0.67%"
"14-08-2024","992.40","994.05","996.00","980.00","347.20K","-0.21%"
"13-08-2024","994.45","993.00","996.90","988.00","438.97K","0.14%"
"12-08-2024","993.10","985.00","994.90","980.35","386.11K","0.35%"
"09-08-2024","989.65","1,004.70","1,009.95","987.50","391.53K","-0.92%"
"08-08-2024","998.80","1,000.00","1,004.30","992.20","445.57K","-0.04%"
"07-08-2024","999.15","990.00","1,001.95","983.10","564.97K","1.64%"
"06-08-2024","983.05","976.25","993.95","976.00","656.50K","0.69%"
"05-08-2024","976.30","981.00","985.50","970.10","1.06M","-1.58%"
"02-08-2024","992.00","993.00","997.20","990.80","355.34K","-0.34%"
"01-08-2024","995.40","1,001.00","1,004.00","994.00","578.84K","-0.40%"
"31-07-2024","999.35","1,000.00","1,004.00","998.95","323.17K","0.03%"
"30-07-2024","999.05","1,004.50","1,004.50","998.00","434.07K","-0.14%"
"29-07-2024","1,000.50","1,002.00","1,007.35","999.05","400.95K","0.15%"
"26-07-2024","999.00","1,000.00","1,004.00","997.10","736.31K","-0.06%"
"25-07-2024","999.55","996.00","1,002.00","994.00","382.08K","0.23%"
"24-07-2024","997.25","995.00","1,007.65","994.00","366.52K","0.06%"
"23-07-2024","996.65","995.00","1,007.00","983.00","761.47K","0.40%"
"22-07-2024","992.70","997.20","998.00","990.50","594.89K","-0.45%"
"19-07-2024","997.20","998.00","1,005.80","990.00","1.18M","-1.18%"
"18-07-2024","1,009.15","1,019.25","1,020.00","1,008.00","655.96K","-0.60%"
"16-07-2024","1,015.25","1,027.35","1,033.00","1,012.25","802.14K","-0.99%"
"15-07-2024","1,025.35","1,040.00","1,043.90","1,022.00","1.10M","-0.78%"
"12-07-2024","1,033.40","1,019.50","1,043.00","1,015.00","2.88M","1.82%"
"11-07-2024","1,014.95","1,014.80","1,022.90","1,011.95","693.39K","0.34%"
"10-07-2024","1,011.50","1,012.00","1,026.75","1,007.70","902.49K","-0.08%"
"09-07-2024","1,012.30","1,004.55","1,024.60","1,004.50","1.00M","0.77%"
"08-07-2024","1,004.55","1,014.85","1,015.75","1,003.00","459.74K","-0.57%"
"05-07-2024","1,010.35","1,012.95","1,019.00","1,009.05","704.83K","0.13%"
"04-07-2024","1,009.00","1,013.35","1,013.35","1,006.20","460.87K","-0.07%"
"03-07-2024","1,009.75","1,014.25","1,014.30","1,008.15","409.47K","0.01%"
"02-07-2024","1,009.60","1,014.85","1,019.10","1,006.75","433.25K","-0.52%"
"01-07-2024","1,014.85","1,023.30","1,029.50","1,012.00","627.20K","-0.69%"
"28-06-2024","1,021.95","1,019.20","1,027.90","1,017.25","744.58K","0.46%"
"27-06-2024","1,017.25","1,005.00","1,026.50","1,003.00","1.34M","1.37%"
"26-06-2024","1,003.55","1,004.00","1,010.00","1,000.35","512.83K","0.26%"
"25-06-2024","1,000.95","1,004.00","1,007.00","1,000.00","468.34K","0.13%"
"24-06-2024","999.65","992.25","1,006.95","989.75","1.09M","0.75%"
"21-06-2024","992.25","1,010.35","1,013.90","982.65","7.04M","-1.79%"
"20-06-2024","1,010.35","1,027.35","1,027.35","1,004.25","2.39M","-1.67%"
"19-06-2024","1,027.50","1,040.00","1,043.90","1,021.00","1.12M","-0.20%"
"18-06-2024","1,029.60","1,040.40","1,042.00","1,027.95","1.19M","-0.78%"
"14-06-2024","1,037.65","1,049.05","1,049.50","1,036.85","1.15M","-1.09%"
"13-06-2024","1,049.05","1,058.00","1,063.00","1,046.50","959.54K","-0.77%"
"12-06-2024","1,057.20","1,061.34","1,065.79","1,053.36","840.94K","-0.08%"
"11-06-2024","1,058.00","1,061.39","1,072.03","1,056.40","854.85K","0.20%"
"10-06-2024","1,055.90","1,059.75","1,067.78","1,052.26","689.54K","-0.36%"
"07-06-2024","1,059.75","1,055.30","1,069.38","1,048.36","1.00M","1.22%"
"06-06-2024","1,047.02","1,041.38","1,059.35","1,034.69","915.63K","1.83%"
"05-06-2024","1,028.20","1,025.40","1,031.94","998.54","662.40K","1.61%"
"04-06-2024","1,011.87","1,033.89","1,035.88","980.72","1.74M","-2.13%"
"03-06-2024","1,033.89","1,068.33","1,068.33","1,032.54","806.19K","0.51%"
"31-05-2024","1,028.59","1,047.42","1,054.35","1,022.21","676.79K","-1.88%"
"30-05-2024","1,048.31","1,050.86","1,065.64","1,043.42","540.21K","-0.24%"
"29-05-2024","1,050.86","1,055.35","1,070.63","1,049.36","465.78K","-1.26%"
"28-05-2024","1,064.29","1,076.32","1,086.16","1,061.34","597.49K","-2.28%"
"27-05-2024","1,089.15","1,091.95","1,114.16","1,083.46","1.32M","0.59%"
"24-05-2024","1,082.76","1,049.11","1,108.12","1,047.37","2.24M","3.30%"
"23-05-2024","1,048.21","1,053.16","1,058.15","1,046.62","309.62K","-0.30%"
"22-05-2024","1,051.41","1,058.25","1,060.15","1,048.46","241.61K","0.13%"
"21-05-2024","1,050.06","1,056.35","1,059.15","1,047.07","353.87K","-0.15%"
"18-05-2024","1,051.65","1,051.65","1,051.65","1,051.65","","0.66%"
"17-05-2024","1,044.77","1,051.36","1,051.86","1,042.37","335.95K","-0.25%"
"16-05-2024","1,047.37","1,054.75","1,060.49","1,044.37","241.26K","-0.16%"
"15-05-2024","1,049.01","1,056.35","1,059.45","1,046.37","434.40K","-0.71%"
"14-05-2024","1,056.50","1,028.24","1,061.44","1,020.56","895.98K","3.64%"
"13-05-2024","1,019.41","1,012.77","1,025.25","1,003.43","436.40K","1.12%"
"10-05-2024","1,008.08","1,017.76","1,021.21","1,004.48","652.74K","-0.56%"
"09-05-2024","1,013.77","1,032.79","1,034.54","1,010.42","692.89K","-1.36%"
"08-05-2024","1,027.70","1,038.38","1,043.12","1,026.40","526.74K","-0.98%"
"07-05-2024","1,037.83","1,048.36","1,053.81","1,023.45","975.63K","-0.55%"
"06-05-2024","1,043.57","1,040.38","1,056.80","1,031.09","1.88M","-3.83%"
"03-05-2024","1,085.11","1,098.29","1,108.07","1,074.32","1.61M","-0.31%"
"02-05-2024","1,088.50","1,067.73","1,093.29","1,062.89","1.72M","2.16%"
"30-04-2024","1,065.49","1,065.34","1,068.33","1,056.35","566.38K","0.02%"
"29-04-2024","1,065.24","1,078.37","1,078.37","1,061.34","689.23K","-0.53%"
"26-04-2024","1,070.88","1,073.03","1,080.21","1,068.33","403.56K","0.30%"
"25-04-2024","1,067.63","1,083.01","1,083.01","1,065.44","729.38K","-1.63%"
"24-04-2024","1,085.31","1,086.70","1,088.45","1,076.37","659.17K","0.42%"
"23-04-2024","1,080.76","1,053.36","1,092.99","1,052.26","1.23M","2.92%"
"22-04-2024","1,050.06","1,051.91","1,061.64","1,041.92","694.13K","1.06%"
"19-04-2024","1,039.03","1,038.38","1,043.62","1,031.44","853.01K","-0.82%"
"18-04-2024","1,047.61","1,066.34","1,069.98","1,045.42","809.39K","-0.45%"
"16-04-2024","1,052.36","1,058.35","1,080.02","1,048.36","1.26M","-1.07%"
"15-04-2024","1,063.79","1,060.34","1,072.63","1,048.71","1.07M","-2.28%"
"12-04-2024","1,088.65","1,098.24","1,105.68","1,087.20","677.95K","-1.05%"
"10-04-2024","1,100.18","1,108.27","1,116.26","1,096.39","856.60K","-0.50%"
"09-04-2024","1,105.72","1,109.17","1,127.94","1,089.40","4.44M","0.50%"
"08-04-2024","1,100.18","1,128.29","1,128.89","1,098.29","999.89K","-1.76%"
"05-04-2024","1,119.90","1,131.23","1,136.18","1,114.26","1.31M","-1.38%"
"04-04-2024","1,135.58","1,141.17","1,145.96","1,114.41","2.51M","0.28%"
"03-04-2024","1,132.38","1,102.98","1,144.21","1,056.75","4.91M","3.86%"
"02-04-2024","1,090.30","1,057.85","1,125.24","1,046.42","5.51M","4.02%"
"01-04-2024","1,048.16","1,038.38","1,055.80","1,031.89","957.84K","2.86%"
"28-03-2024","1,019.01","1,027.90","1,036.63","1,018.41","886.28K","-0.84%"
"27-03-2024","1,027.60","1,023.85","1,031.39","1,019.41","988.89K","0.71%"
"26-03-2024","1,020.36","1,030.39","1,034.39","1,018.41","870.12K","-0.97%"
"22-03-2024","1,030.39","1,029.39","1,036.33","1,025.40","593.74K","0.07%"
"21-03-2024","1,029.69","1,041.38","1,046.37","1,027.45","783.62K","-0.17%"
"20-03-2024","1,031.44","1,040.23","1,045.42","1,025.00","689.33K","-0.86%"
"19-03-2024","1,040.43","1,046.37","1,053.36","1,038.88","391.91K","-0.52%"
"18-03-2024","1,045.82","1,049.36","1,053.11","1,039.93","521.73K","-0.21%"
"15-03-2024","1,048.02","1,051.06","1,058.35","1,040.63","706.49K","-0.24%"
"14-03-2024","1,050.51","1,036.33","1,063.34","1,029.49","962.81K","1.42%"
"13-03-2024","1,035.83","1,080.36","1,095.29","1,018.41","1.63M","-2.76%"
"12-03-2024","1,065.19","1,085.26","1,090.55","1,062.04","904.06K","-1.64%"
"11-03-2024","1,082.96","1,128.24","1,128.24","1,078.32","1.50M","-3.79%"
"07-03-2024","1,125.64","1,068.58","1,144.66","1,068.58","4.51M","5.45%"
"06-03-2024","1,067.48","1,073.77","1,074.52","1,056.35","539.70K","-0.59%"
"05-03-2024","1,073.77","1,085.31","1,098.54","1,070.43","1.04M","0.24%"
"04-03-2024","1,071.23","1,094.99","1,094.99","1,068.33","573.20K","-2.12%"
"02-03-2024","1,094.45","1,091.60","1,098.00","1,090.00","156.12K","0.71%"
"01-03-2024","1,086.70","1,095.94","1,103.28","1,084.41","718.13K","0.46%"
"29-02-2024","1,081.71","1,043.32","1,093.29","1,031.49","2.11M","3.58%"
"28-02-2024","1,044.32","1,078.32","1,084.81","1,041.38","1.80M","-2.77%"
"27-02-2024","1,074.07","1,102.23","1,108.37","1,071.88","1.59M","-2.09%"
"26-02-2024","1,096.99","1,158.69","1,159.19","1,094.54","2.76M","-5.33%"
"23-02-2024","1,158.69","1,159.89","1,177.16","1,154.45","942.66K","0.32%"
"22-02-2024","1,154.95","1,158.14","1,163.23","1,140.42","552.41K","0.20%"
"21-02-2024","1,152.60","1,163.19","1,168.18","1,136.48","1.19M","0.15%"
"20-02-2024","1,150.85","1,122.00","1,165.88","1,119.25","1.87M","2.62%"
"19-02-2024","1,121.50","1,106.97","1,131.29","1,105.53","697.68K","1.57%"
"16-02-2024","1,104.13","1,109.97","1,112.21","1,099.33","377.79K","-0.11%"
"15-02-2024","1,105.38","1,111.22","1,118.06","1,099.14","372.95K","0.03%"
"14-02-2024","1,105.08","1,091.30","1,118.26","1,087.55","443.94K","0.21%"
"13-02-2024","1,102.73","1,118.26","1,118.26","1,082.91","585.32K","-0.54%"
"12-02-2024","1,108.67","1,132.23","1,135.23","1,104.28","618.74K","-1.76%"
"09-02-2024","1,128.54","1,114.66","1,152.60","1,096.99","1.24M","1.48%"
"08-02-2024","1,112.11","1,121.05","1,134.13","1,104.63","736.69K","0.00%"
"07-02-2024","1,112.17","1,146.51","1,146.96","1,107.62","999.99K","-1.45%"
"06-02-2024","1,128.49","1,080.81","1,161.74","1,069.38","3.43M","4.48%"
"05-02-2024","1,080.06","1,099.33","1,100.68","1,078.32","845.96K","-1.51%"
"02-02-2024","1,096.59","1,099.33","1,104.28","1,086.35","873.71K","-0.02%"
"01-02-2024","1,096.79","1,117.26","1,117.26","1,092.40","1.09M","-1.16%"
"31-01-2024","1,109.67","1,122.95","1,122.95","1,107.07","780.69K","-0.84%"
"30-01-2024","1,119.10","1,139.72","1,142.22","1,116.36","1.12M","-1.56%"
"29-01-2024","1,136.83","1,159.19","1,161.19","1,135.23","1.04M","-0.52%"
"25-01-2024","1,142.77","1,144.21","1,149.76","1,136.73","556.58K","0.18%"
"24-01-2024","1,140.77","1,147.21","1,152.10","1,137.72","469.82K","0.01%"
"23-01-2024","1,140.62","1,160.39","1,161.69","1,138.22","571.92K","-0.88%"
"20-01-2024","1,150.80","1,143.95","1,169.05","1,142.90","595.71K","1.05%"
"19-01-2024","1,138.87","1,155.20","1,155.20","1,138.22","835.63K","-0.85%"
"18-01-2024","1,148.61","1,153.30","1,159.09","1,128.34","763.69K","-0.53%"
"17-01-2024","1,154.70","1,156.10","1,164.58","1,151.45","718.62K","-0.58%"
"16-01-2024","1,161.49","1,170.07","1,170.07","1,158.19","729.57K","-0.72%"
"15-01-2024","1,169.92","1,178.16","1,183.05","1,167.33","757.17K","0.37%"
