"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,096.80","4,186.70","4,217.40","4,080.00","168.72K","-2.07%"
"05-11-2024","4,183.30","4,265.00","4,299.95","4,106.95","250.85K","-3.76%"
"04-11-2024","4,346.95","4,449.70","4,515.00","4,311.00","219.69K","-2.84%"
"01-11-2024","4,473.90","4,540.00","4,540.00","4,436.00","6.22K","-0.18%"
"31-10-2024","4,481.95","4,460.00","4,534.75","4,367.50","118.79K","0.41%"
"30-10-2024","4,463.45","4,500.00","4,540.85","4,430.00","200.91K","-2.19%"
"29-10-2024","4,563.30","4,651.40","4,660.55","4,472.00","194.92K","-1.89%"
"28-10-2024","4,651.40","4,616.00","4,737.65","4,595.00","127.54K","0.51%"
"25-10-2024","4,627.75","4,730.00","4,771.15","4,545.00","99.43K","-1.88%"
"24-10-2024","4,716.60","4,522.00","4,755.05","4,466.00","248.78K","1.76%"
"23-10-2024","4,634.95","4,441.15","4,810.80","4,434.80","495.90K","3.31%"
"22-10-2024","4,486.35","4,352.00","4,522.00","4,352.00","655.54K","2.25%"
"21-10-2024","4,387.45","4,489.00","4,525.30","4,367.45","123.75K","-2.26%"
"18-10-2024","4,488.75","4,420.80","4,517.00","4,400.35","89.55K","0.61%"
"17-10-2024","4,461.35","4,500.20","4,510.00","4,400.00","156.59K","-1.10%"
"16-10-2024","4,510.80","4,320.75","4,536.00","4,291.45","446.07K","4.25%"
"15-10-2024","4,326.95","4,220.10","4,336.00","4,161.55","240.76K","2.32%"
"14-10-2024","4,228.65","4,239.95","4,277.00","4,167.05","111.05K","0.07%"
"11-10-2024","4,225.65","4,148.00","4,259.15","4,087.65","148.64K","2.41%"
"10-10-2024","4,126.25","4,205.85","4,242.95","4,112.00","126.31K","-1.38%"
"09-10-2024","4,183.85","4,114.00","4,310.70","4,086.10","349.78K","3.16%"
"08-10-2024","4,055.75","4,022.60","4,080.00","3,965.30","189.06K","0.82%"
"07-10-2024","4,022.60","4,127.65","4,127.65","3,927.00","279.01K","-1.37%"
"04-10-2024","4,078.40","4,178.05","4,178.05","4,042.80","126.62K","-2.64%"
"03-10-2024","4,188.80","4,250.10","4,295.20","4,152.00","189.72K","-3.50%"
"01-10-2024","4,340.60","4,306.00","4,400.00","4,246.55","234.61K","0.10%"
"30-09-2024","4,336.05","4,159.00","4,406.00","4,147.55","565.04K","4.56%"
"27-09-2024","4,146.95","4,124.70","4,206.95","4,110.25","225.37K","0.74%"
"26-09-2024","4,116.55","4,182.00","4,182.00","4,082.00","284.02K","-0.72%"
"25-09-2024","4,146.25","4,256.00","4,304.95","4,132.00","156.17K","-2.26%"
"24-09-2024","4,242.10","4,282.90","4,366.65","4,229.95","412.07K","-0.96%"
"23-09-2024","4,283.25","4,186.05","4,293.00","4,186.05","184.62K","-0.20%"
"20-09-2024","4,291.95","4,019.00","4,450.65","3,981.15","1.41M","7.85%"
"19-09-2024","3,979.40","4,035.05","4,049.15","3,939.60","270.14K","-1.08%"
"18-09-2024","4,023.00","4,135.65","4,139.00","4,003.25","223.90K","-2.72%"
"17-09-2024","4,135.65","4,077.70","4,166.80","4,047.10","522.75K","2.19%"
"16-09-2024","4,047.10","4,099.80","4,132.45","4,018.30","341.45K","-1.24%"
"13-09-2024","4,097.85","3,978.95","4,141.95","3,962.15","844.76K","3.87%"
"12-09-2024","3,945.05","3,932.45","3,967.00","3,916.10","399.51K","0.65%"
"11-09-2024","3,919.65","3,905.00","3,954.40","3,882.25","137.87K","-0.05%"
"10-09-2024","3,921.70","3,909.65","3,974.80","3,900.00","159.26K","0.64%"
"09-09-2024","3,896.85","3,932.70","3,986.00","3,871.60","165.48K","-0.40%"
"06-09-2024","3,912.40","4,081.90","4,142.00","3,892.05","249.78K","-3.93%"
"05-09-2024","4,072.55","4,135.00","4,145.00","4,055.20","538.64K","-1.19%"
"04-09-2024","4,121.55","4,075.00","4,136.05","4,052.05","110.23K","0.88%"
"03-09-2024","4,085.55","4,112.00","4,168.85","4,061.15","150.48K","-0.36%"
"02-09-2024","4,100.20","4,058.00","4,117.00","4,022.00","100.96K","1.72%"
"30-08-2024","4,030.80","4,050.00","4,058.00","3,985.10","318.57K","0.66%"
"29-08-2024","4,004.55","4,154.00","4,163.20","3,993.05","151.64K","-3.60%"
"28-08-2024","4,154.20","4,167.10","4,197.00","4,085.15","98.36K","-0.11%"
"27-08-2024","4,158.65","4,139.00","4,185.00","4,106.10","128.10K","0.94%"
"26-08-2024","4,120.10","4,070.00","4,151.00","4,027.55","190.64K","1.37%"
"23-08-2024","4,064.40","4,160.00","4,160.00","4,050.00","84.45K","-1.77%"
"22-08-2024","4,137.80","4,068.25","4,148.90","4,061.55","191.31K","2.15%"
"21-08-2024","4,050.80","4,129.00","4,129.00","4,035.00","78.25K","-1.53%"
"20-08-2024","4,113.55","4,012.55","4,128.00","3,983.80","170.63K","3.26%"
"19-08-2024","3,983.80","4,011.25","4,059.65","3,965.00","95.47K","-0.68%"
"16-08-2024","4,011.25","3,944.20","4,029.95","3,944.20","195.30K","2.24%"
"14-08-2024","3,923.55","3,994.75","3,994.75","3,900.00","114.39K","-1.27%"
"13-08-2024","3,973.95","3,949.45","4,045.50","3,926.15","114.38K","1.42%"
"12-08-2024","3,918.20","4,007.50","4,012.90","3,901.30","176.23K","-2.22%"
"09-08-2024","4,007.15","4,015.10","4,054.90","3,985.00","69.44K","-0.02%"
"08-08-2024","4,007.80","4,108.00","4,110.85","3,980.05","126.12K","-2.24%"
"07-08-2024","4,099.70","4,059.90","4,129.90","4,015.15","119.98K","1.73%"
"06-08-2024","4,030.15","4,045.00","4,110.00","3,906.00","145.16K","0.60%"
"05-08-2024","4,006.25","3,966.75","4,108.90","3,859.50","454.47K","-1.09%"
"02-08-2024","4,050.20","4,089.00","4,131.00","4,001.10","115.86K","-0.97%"
"01-08-2024","4,089.85","4,168.00","4,171.15","4,035.15","278.19K","-1.18%"
"31-07-2024","4,138.55","4,220.00","4,220.00","4,121.30","140.94K","-1.08%"
"30-07-2024","4,183.90","4,148.05","4,238.25","4,125.75","446.53K","0.61%"
"29-07-2024","4,158.55","4,175.00","4,210.00","4,069.15","611.34K","-0.11%"
"26-07-2024","4,162.95","4,050.00","4,185.00","4,050.00","222.41K","3.30%"
"25-07-2024","4,030.00","3,940.10","4,077.00","3,911.15","216.65K","1.89%"
"24-07-2024","3,955.40","4,027.00","4,060.00","3,941.00","208.60K","-1.45%"
"23-07-2024","4,013.60","4,140.00","4,191.85","3,942.05","167.08K","-2.57%"
