"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,609.20","1,589.05","1,624.95","1,553.80","254.95K","2.51%"
"05-11-2024","1,569.80","1,595.10","1,615.00","1,560.05","26.49K","-2.61%"
"04-11-2024","1,611.95","1,668.10","1,668.10","1,601.00","413.06K","-3.37%"
"01-11-2024","1,668.10","1,678.00","1,678.00","1,623.00","5.74K","2.77%"
"31-10-2024","1,623.10","1,583.40","1,654.00","1,571.70","36.06K","2.51%"
"30-10-2024","1,583.40","1,560.70","1,614.85","1,540.65","50.04K","1.45%"
"29-10-2024","1,560.70","1,575.00","1,590.95","1,552.10","70.52K","-0.98%"
"28-10-2024","1,576.10","1,601.00","1,601.00","1,571.35","27.30K","-1.61%"
"25-10-2024","1,601.85","1,594.25","1,629.20","1,588.00","33.55K","0.69%"
"24-10-2024","1,590.80","1,611.05","1,629.75","1,568.40","33.41K","-1.07%"
"23-10-2024","1,607.95","1,582.00","1,647.95","1,582.00","79.77K","0.05%"
"22-10-2024","1,607.10","1,679.80","1,680.65","1,600.00","26.70K","-3.55%"
"21-10-2024","1,666.30","1,701.70","1,704.80","1,658.55","45.18K","-2.04%"
"18-10-2024","1,701.00","1,705.00","1,715.00","1,681.25","16.21K","-0.86%"
"17-10-2024","1,715.75","1,743.25","1,743.25","1,703.60","9.90K","-0.60%"
"16-10-2024","1,726.05","1,730.20","1,745.80","1,720.00","9.87K","-1.02%"
"15-10-2024","1,743.75","1,744.00","1,783.00","1,715.30","31.80K","1.05%"
"14-10-2024","1,725.65","1,771.95","1,771.95","1,696.70","26.50K","-1.15%"
"11-10-2024","1,745.75","1,737.55","1,784.00","1,680.05","83.73K","1.94%"
"10-10-2024","1,712.55","1,747.80","1,765.05","1,705.55","17.19K","-1.81%"
"09-10-2024","1,744.10","1,703.15","1,752.65","1,688.40","16.86K","2.02%"
"08-10-2024","1,709.50","1,687.00","1,719.00","1,666.15","12.24K","1.33%"
"07-10-2024","1,687.00","1,770.00","1,772.55","1,665.05","48.02K","-3.55%"
"04-10-2024","1,749.10","1,770.20","1,798.00","1,730.05","63.17K","-2.18%"
"03-10-2024","1,788.05","1,800.00","1,808.90","1,749.90","55.99K","-1.35%"
"01-10-2024","1,812.50","1,794.30","1,829.95","1,767.05","22.95K","1.01%"
"30-09-2024","1,794.30","1,845.00","1,850.00","1,781.00","43.09K","-2.86%"
"27-09-2024","1,847.15","1,759.00","1,890.00","1,749.15","112.92K","5.53%"
